tm,pm10,pm25,o3,no2,co,so2
2024-06-26:06,33,22,0.0224,0.0153,0.20,0.0033
2024-06-26:05,33,22,0.0278,0.0136,0.21,0.0036
2024-06-26:04,29,18,0.0363,0.0115,0.21,0.0040
2024-06-26:03,29,18,0.0340,0.0115,0.26,0.0033
2024-06-26:02,35,18,0.0370,0.0122,0.27,0.0038
2024-06-26:01,33,18,0.0322,0.0156,0.20,0.0034
2024-06-25:24,24,17,0.0321,0.0168,0.23,0.0031
2024-06-25:23,21,14,0.0330,0.0182,0.23,0.0030
2024-06-25:22,24,12,0.0376,0.0174,0.20,0.0027
2024-06-25:21,24,18,0.0387,0.0183,0.18,0.0027
2024-06-25:20,22,16,0.0454,0.0179,0.14,0.0026
2024-06-25:19,14,10,0.0495,0.0140,0.11,0.0023
2024-06-25:18,23,11,0.0527,0.0135,0.11,0.0023
2024-06-25:17,15,6,0.0581,0.0088,0.05,0.0022
2024-06-25:16,14,7,0.0590,0.0081,0.05,0.0023
2024-06-25:15,17,9,0.0587,0.0077,0.04,0.0024
2024-06-25:14,23,9,0.0600,0.0074,0.06,0.0022
2024-06-25:13,32,13,0.0587,0.0072,0.07,0.0024
2024-06-25:12,56,20,0.0548,0.0077,0.09,0.0023
2024-06-25:11,69,23,0.0530,0.0083,0.10,0.0023
2024-06-25:10,77,30,0.0467,0.0107,0.13,0.0025
2024-06-25:09,,,,,,
2024-06-25:08,,,,,,
2024-06-25:07,,,,,,
2024-06-25:06,,,,,,
2024-06-25:05,,,,,,
2024-06-25:04,,,,,,
2024-06-25:03,,,,,,
2024-06-25:02,,,,,,
2024-06-25:01,,,,,,
2024-06-24:24,,,,,,
2024-06-24:23,,,,,,
2024-06-24:22,,,,,,
2024-06-24:21,,,,,,
2024-06-24:20,,,,,,
2024-06-24:19,,,,,,
2024-06-24:18,,,,,,
2024-06-24:17,,,,,,
2024-06-24:16,,,,,,
2024-06-24:15,,,,,,
2024-06-24:14,,,,,,
2024-06-24:13,30,23,0.0721,0.0112,0.25,0.0016
2024-06-24:12,29,20,0.0642,0.0138,0.26,0.0018
2024-06-24:11,20,14,0.0536,0.0152,0.24,0.0019
2024-06-24:10,11,,0.0464,0.0117,0.21,0.0020
2024-06-24:09,12,,0.0417,0.0104,0.17,0.0016
2024-06-24:08,18,18,0.0290,0.0168,0.20,0.0014
2024-06-24:07,23,18,0.0211,0.0217,0.26,0.0017
2024-06-24:06,23,19,0.0258,0.0141,0.27,0.0019
2024-06-24:05,20,15,0.0279,0.0113,0.25,0.0021
2024-06-24:04,20,,0.0236,0.0128,0.27,0.0019
2024-06-24:03,26,16,0.0228,0.0121,0.30,0.0016
2024-06-24:02,19,15,0.0195,0.0134,0.33,0.0014
2024-06-24:01,16,15,0.0220,0.0114,0.27,0.0014
2024-06-23:24,19,14,0.0254,0.0126,0.35,0.0015
2024-06-23:23,19,,0.0271,0.0165,0.38,0.0017
2024-06-23:22,18,10,0.0296,0.0173,0.40,0.0015
2024-06-23:21,16,16,0.0427,0.0115,0.35,0.0017
2024-06-23:20,18,8,0.0503,0.0089,0.31,0.0019
2024-06-23:19,19,11,0.0481,0.0127,0.34,0.0022
2024-06-23:18,13,9,0.0506,0.0089,0.25,0.0015
2024-06-23:17,11,8,0.0509,0.0082,0.23,0.0014
2024-06-23:16,11,9,0.0529,0.0077,0.25,0.0016
2024-06-23:15,16,11,0.0516,0.0079,0.26,0.0014
2024-06-23:14,15,,0.0518,0.0087,0.26,0.0017
2024-06-23:13,19,11,0.0487,0.0092,0.26,0.0018
2024-06-23:12,13,11,0.0460,0.0094,0.27,0.0015
2024-06-23:11,14,12,0.0432,0.0106,0.27,0.0014
2024-06-23:10,14,11,0.0445,0.0098,0.26,0.0015
2024-06-23:09,12,12,0.0461,0.0090,0.26,0.0015
2024-06-23:08,14,11,0.0447,0.0092,0.26,0.0014
2024-06-23:07,15,10,0.0475,0.0077,0.26,0.0013
2024-06-23:06,13,,0.0464,0.0074,0.25,0.0013
2024-06-23:05,14,10,0.0536,0.0054,0.24,0.0013
2024-06-23:04,17,12,0.0517,0.0057,0.23,0.0013
2024-06-23:03,23,12,0.0485,0.0057,0.23,0.0012
2024-06-23:02,25,12,0.0451,0.0060,0.22,0.0011
2024-06-23:01,21,18,0.0396,0.0062,0.15,0.0011
2024-06-22:24,20,14,0.0386,0.0060,0.21,0.0010
2024-06-22:23,16,,0.0371,0.0066,0.20,0.0011
2024-06-22:22,14,6,0.0347,0.0075,0.19,0.0011
2024-06-22:21,8,6,0.0337,0.0077,0.18,0.0012
2024-06-22:20,5,3,0.0329,0.0079,0.18,0.0012
2024-06-22:19,4,,0.0208,0.0126,0.15,0.0013
2024-06-22:18,6,,0.0208,0.0106,0.13,0.0012
2024-06-22:17,4,,0.0191,0.0115,0.12,0.0013
2024-06-22:16,0,,0.0203,0.0141,0.16,0.0013
2024-06-22:15,5,5,0.0225,0.0152,0.20,0.0012
2024-06-22:14,6,,0.0208,0.0204,0.25,0.0013
2024-06-22:13,4,,0.0240,0.0192,0.25,0.0013
2024-06-22:12,7,6,0.0271,0.0180,0.23,0.0014
2024-06-22:11,4,,0.0244,0.0221,0.23,0.0014
2024-06-22:10,6,,0.0273,0.0190,0.21,0.0015
2024-06-22:09,10,10,0.0277,0.0198,0.21,0.0017
2024-06-22:08,12,9,0.0380,0.0125,0.16,0.0016
2024-06-22:07,10,7,0.0397,0.0126,0.17,0.0016
2024-06-22:06,10,8,0.0405,0.0107,0.15,0.0015
2024-06-22:05,12,8,0.0371,0.0110,0.15,0.0019
2024-06-22:04,15,13,0.0374,0.0111,0.15,0.0019
2024-06-22:03,17,11,0.0327,0.0143,0.15,0.0024
2024-06-22:02,17,7,0.0302,0.0156,0.16,0.0019
2024-06-22:01,15,13,0.0332,0.0143,0.12,0.0017
2024-06-21:24,14,,0.0352,0.0158,0.18,0.0018
2024-06-21:23,13,,0.0364,0.0176,0.19,0.0022
2024-06-21:22,12,11,0.0350,0.0206,0.18,0.0026
2024-06-21:21,7,,0.0446,0.0152,0.16,0.0017
2024-06-21:20,8,4,0.0503,0.0112,0.14,0.0014
2024-06-21:19,17,6,0.0482,0.0136,0.13,0.0017
2024-06-21:18,24,15,0.0579,0.0178,0.15,0.0020
2024-06-21:17,20,15,0.0722,0.0148,0.15,0.0022
2024-06-21:16,23,12,0.0609,0.0173,0.15,0.0019
2024-06-21:15,24,17,0.0727,0.0162,0.17,0.0023
2024-06-21:14,24,23,0.0784,0.0165,0.19,0.0029
2024-06-21:13,28,18,0.0644,0.0188,0.22,0.0034
2024-06-21:12,31,22,0.0504,0.0216,0.24,0.0039
2024-06-21:11,23,22,0.0433,0.0214,0.25,0.0041
2024-06-21:10,26,17,0.0422,0.0158,0.21,0.0029
2024-06-21:09,31,20,0.0349,0.0176,0.23,0.0030
2024-06-21:08,26,22,0.0308,0.0157,0.23,0.0038
2024-06-21:07,26,23,0.0285,0.0141,0.23,0.0043
2024-06-21:06,20,,0.0310,0.0094,0.21,0.0029
2024-06-21:05,22,22,0.0317,0.0078,0.19,0.0029
2024-06-21:04,19,,0.0372,0.0067,0.17,0.0027
2024-06-21:03,16,13,0.0436,0.0058,0.17,0.0020
2024-06-21:02,19,10,0.0448,0.0058,0.17,0.0017
2024-06-21:01,12,9,0.0463,0.0058,0.12,0.0019
2024-06-20:24,14,9,0.0446,0.0065,0.11,0.0017
2024-06-20:23,16,14,0.0428,0.0082,0.14,0.0020
2024-06-20:22,21,16,0.0447,0.0088,0.14,0.0027
2024-06-20:21,22,18,0.0482,0.0105,0.19,0.0027
2024-06-20:20,22,20,0.0543,0.0109,0.20,0.0029
2024-06-20:19,28,19,0.0561,0.0122,0.19,0.0041
2024-06-20:18,28,21,,,,
2024-06-20:17,28,19,,,,
2024-06-20:16,25,15,,,,
2024-06-20:15,21,,,,,
2024-06-20:14,19,16,,,,
2024-06-20:13,23,10,,,,
2024-06-20:12,22,15,,,,
2024-06-20:11,23,2,,,,
2024-06-20:10,33,24,,,,
2024-06-20:09,45,30,0.0126,0.0420,0.30,0.0064
2024-06-20:08,35,29,0.0139,0.0402,0.31,0.0113
2024-06-20:07,27,21,0.0295,0.0228,0.22,0.0071
2024-06-20:06,26,21,0.0316,0.0212,0.20,0.0057
2024-06-20:05,25,25,0.0461,0.0119,0.15,0.0045
2024-06-20:04,25,16,0.0470,0.0114,0.15,0.0032
2024-06-20:03,23,17,0.0488,0.0107,0.15,0.0030
2024-06-20:02,25,13,0.0508,0.0105,0.14,0.0029
2024-06-20:01,26,9,0.0543,0.0105,0.09,0.0031
2024-06-19:24,22,15,0.0525,0.0139,0.15,0.0033
2024-06-19:23,25,21,0.0476,0.0194,0.15,0.0035
2024-06-19:22,28,19,0.0523,0.0198,0.17,0.0033
2024-06-19:21,30,19,0.0586,0.0172,0.15,0.0032
2024-06-19:20,38,18,0.0573,0.0208,0.17,0.0032
2024-06-19:19,39,19,0.0616,0.0246,0.20,0.0035
2024-06-19:18,,,,,,
2024-06-19:17,,,,,,
2024-06-19:16,,,,,,
2024-06-19:15,56,37,0.1019,0.0219,0.17,0.0037
2024-06-19:14,60,37,0.1118,0.0261,0.27,0.0043
2024-06-19:13,52,40,0.1032,0.0283,0.27,0.0042
2024-06-19:12,52,34,0.0995,0.0143,0.22,0.0034
2024-06-19:11,60,41,0.0802,0.0193,0.27,0.0043
2024-06-19:10,65,42,0.0615,0.0240,0.32,0.0047
2024-06-19:09,55,47,0.0431,0.0323,0.38,0.0068
2024-06-19:08,51,42,0.0323,0.0385,0.41,0.0068
2024-06-19:07,48,41,0.0285,0.0337,0.40,0.0058
2024-06-19:06,43,34,0.0457,0.0185,0.34,0.0052
2024-06-19:05,38,30,0.0476,0.0154,0.33,0.0042
2024-06-19:04,38,33,0.0485,0.0166,0.33,0.0039
2024-06-19:03,39,26,0.0569,0.0137,0.32,0.0045
2024-06-19:02,42,31,0.0632,0.0134,0.33,0.0059
2024-06-19:01,39,27,0.0627,0.0149,0.26,0.0061
2024-06-18:24,28,28,0.0662,0.0161,0.33,0.0042
2024-06-18:23,22,,0.0691,0.0176,0.32,0.0034
2024-06-18:22,31,27,0.0707,0.0202,0.32,0.0034
2024-06-18:21,28,22,0.0797,0.0221,0.32,0.0036
2024-06-18:20,36,24,0.0905,0.0204,0.28,0.0036
2024-06-18:19,35,23,0.1012,0.0174,0.24,0.0031
2024-06-18:18,38,21,0.1095,0.0149,0.23,0.0034
2024-06-18:17,43,21,0.1101,0.0139,0.22,0.0034
2024-06-18:16,49,27,0.1098,0.0142,0.24,0.0034
