tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,4,,0.0536,0.0041,0.32,0.0021
2024-04-30:23,6,6,0.0543,0.0048,0.34,0.0021
2024-04-30:22,10,9,0.0536,0.0069,0.35,0.0022
2024-04-30:21,16,12,0.0461,0.0116,0.40,0.0027
2024-04-30:20,20,11,0.0523,0.0123,0.39,0.0023
2024-04-30:19,31,29,0.0570,0.0129,0.40,0.0023
2024-04-30:18,33,30,0.0587,0.0222,0.45,0.0028
2024-04-30:17,27,26,0.0552,0.0186,0.40,0.0025
2024-04-30:16,26,21,0.0549,0.0170,0.38,0.0024
2024-04-30:15,24,,0.0462,0.0196,0.40,0.0024
2024-04-30:14,21,20,0.0467,0.0186,0.38,0.0022
2024-04-30:13,24,20,0.0549,0.0136,0.38,0.0023
2024-04-30:12,24,17,0.0532,0.0106,0.37,0.0023
2024-04-30:11,16,15,0.0442,0.0117,0.37,0.0023
2024-04-30:10,17,,0.0348,0.0146,0.40,0.0025
2024-04-30:09,18,11,0.0345,0.0124,0.37,0.0025
2024-04-30:08,20,10,0.0330,0.0128,0.37,0.0023
2024-04-30:07,19,12,0.0296,0.0141,0.37,0.0024
2024-04-30:06,22,12,0.0349,0.0077,0.35,0.0022
2024-04-30:05,18,11,0.0378,0.0066,0.35,0.0023
2024-04-30:04,14,8,0.0421,0.0048,0.34,0.0022
2024-04-30:03,14,8,0.0452,0.0036,0.33,0.0021
2024-04-30:02,19,11,0.0432,0.0057,0.36,0.0022
2024-04-30:01,17,12,0.0398,0.0079,0.36,0.0022
2024-04-29:24,19,14,0.0426,0.0074,0.36,0.0022
2024-04-29:23,17,11,0.0378,0.0098,0.40,0.0023
2024-04-29:22,20,16,0.0399,0.0109,0.39,0.0022
2024-04-29:21,14,,0.0448,0.0114,0.41,0.0022
2024-04-29:20,7,6,0.0537,0.0081,0.37,0.0021
2024-04-29:19,8,6,0.0548,0.0088,0.38,0.0020
2024-04-29:18,6,,0.0559,0.0085,0.37,0.0021
2024-04-29:17,9,,0.0576,0.0080,0.37,0.0021
2024-04-29:16,6,,0.0552,0.0097,0.39,0.0022
2024-04-29:15,8,,0.0530,0.0096,0.40,0.0024
2024-04-29:14,,,,,,
2024-04-29:13,8,,0.0520,0.0105,0.40,0.0022
2024-04-29:12,12,,0.0509,0.0110,0.39,0.0022
2024-04-29:11,16,,0.0485,0.0123,0.41,0.0023
2024-04-29:10,29,20,0.0436,0.0150,0.42,0.0022
2024-04-29:09,36,31,0.0355,0.0203,0.46,0.0024
2024-04-29:08,38,29,0.0355,0.0205,0.44,0.0026
2024-04-29:07,33,23,0.0451,0.0126,0.39,0.0024
2024-04-29:06,30,23,0.0513,0.0078,0.35,0.0026
2024-04-29:05,34,22,0.0534,0.0055,0.35,0.0025
2024-04-29:04,47,24,0.0551,0.0057,0.36,0.0026
2024-04-29:03,51,30,0.0499,0.0078,0.41,0.0027
2024-04-29:02,53,32,0.0495,0.0093,0.43,0.0030
2024-04-29:01,46,30,0.0516,0.0096,0.43,0.0033
