tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,13,13,0.0280,0.0125,0.37,0.0027
2024-02-29:23,15,10,0.0310,0.0128,0.36,0.0027
2024-02-29:22,8,6,0.0320,0.0120,0.35,0.0027
2024-02-29:21,8,2,0.0340,0.0110,0.34,0.0027
2024-02-29:20,7,3,0.0360,0.0114,0.34,0.0026
2024-02-29:19,4,,0.0350,0.0132,0.35,0.0028
2024-02-29:18,3,,0.0340,0.0136,0.33,0.0027
2024-02-29:17,3,,0.0340,0.0141,0.34,0.0026
2024-02-29:16,7,6,0.0360,0.0127,0.31,0.0026
2024-02-29:15,8,,0.0350,0.0119,0.32,0.0027
2024-02-29:14,16,8,0.0350,0.0127,0.29,0.0028
2024-02-29:13,23,11,0.0260,0.0195,0.32,0.0028
2024-02-29:12,30,19,0.0200,0.0232,0.34,0.0029
2024-02-29:11,21,14,0.0250,0.0216,0.31,0.0033
2024-02-29:10,32,13,0.0300,0.0193,0.31,0.0033
2024-02-29:09,32,17,0.0190,0.0270,0.35,0.0047
2024-02-29:08,38,22,0.0140,0.0291,0.35,0.0043
2024-02-29:07,34,30,0.0180,0.0214,0.31,0.0042
2024-02-29:06,27,25,0.0220,0.0174,0.30,0.0036
2024-02-29:05,25,18,0.0280,0.0147,0.31,0.0042
2024-02-29:04,23,16,0.0300,0.0134,0.26,0.0042
2024-02-29:03,22,15,0.0320,0.0143,0.24,0.0039
2024-02-29:02,22,12,0.0350,0.0136,0.27,0.0040
2024-02-29:01,18,13,0.0320,0.0179,0.35,0.0032
2024-02-28:24,21,14,0.0310,0.0194,0.34,0.0032
2024-02-28:23,17,15,0.0390,0.0141,0.31,0.0035
2024-02-28:22,21,11,0.0430,0.0116,0.30,0.0038
2024-02-28:21,27,14,0.0340,0.0211,0.36,0.0039
2024-02-28:20,24,16,0.0390,0.0163,0.33,0.0042
2024-02-28:19,24,12,0.0400,0.0168,0.31,0.0037
2024-02-28:18,23,13,0.0480,0.0131,0.31,0.0036
2024-02-28:17,20,13,0.0490,0.0128,0.30,0.0035
2024-02-28:16,25,15,0.0510,0.0120,0.30,0.0034
2024-02-28:15,25,20,0.0520,0.0123,0.28,0.0029
2024-02-28:14,23,15,0.0490,0.0115,0.30,0.0030
2024-02-28:13,21,18,0.0460,0.0110,0.29,0.0030
2024-02-28:12,31,16,0.0390,0.0136,0.29,0.0035
2024-02-28:11,45,20,0.0290,0.0164,0.34,0.0041
2024-02-28:10,51,27,0.0200,0.0216,0.41,0.0048
2024-02-28:09,43,28,0.0180,0.0234,0.42,0.0045
2024-02-28:08,38,18,0.0080,0.0355,0.48,0.0043
2024-02-28:07,36,13,0.0220,0.0214,0.39,0.0035
2024-02-28:06,32,14,0.0320,0.0111,0.34,0.0037
2024-02-28:05,33,13,0.0320,0.0106,0.33,0.0034
2024-02-28:04,31,13,0.0250,0.0155,0.36,0.0035
2024-02-28:03,36,14,0.0320,0.0108,0.34,0.0037
2024-02-28:02,36,21,0.0320,0.0114,0.35,0.0038
