tm,pm10,pm25,o3,no2,co,so2
2024-02-25:20,7,7,0.0300,0.0070,0.31,0.0020
2024-02-25:19,9,7,0.0310,0.0065,0.31,0.0020
2024-02-25:18,6,6,0.0320,0.0058,0.28,0.0020
2024-02-25:17,5,,0.0330,0.0048,0.23,0.0020
2024-02-25:16,8,5,0.0340,0.0043,0.25,0.0020
2024-02-25:15,1,,0.0330,0.0042,0.28,0.0021
2024-02-25:14,3,3,0.0330,0.0042,0.30,0.0021
2024-02-25:13,4,4,0.0330,0.0039,0.27,0.0021
2024-02-25:12,,3,0.0330,0.0041,0.29,0.0022
2024-02-25:11,2,,0.0310,0.0046,0.31,0.0022
2024-02-25:10,5,5,0.0310,0.0038,0.31,0.0022
2024-02-25:09,7,5,0.0320,0.0033,0.30,0.0022
2024-02-25:08,4,,0.0320,0.0028,0.30,0.0021
2024-02-25:07,,4,0.0320,0.0027,0.35,0.0022
2024-02-25:06,6,4,0.0320,0.0027,0.36,0.0022
2024-02-25:05,5,4,0.0320,0.0028,0.35,0.0021
2024-02-25:04,6,4,0.0310,0.0028,0.35,0.0021
2024-02-25:03,5,4,0.0320,0.0028,0.34,0.0021
2024-02-25:02,2,,0.0320,0.0031,0.33,0.0021
2024-02-25:01,4,,0.0330,0.0033,0.37,0.0021
2024-02-24:24,13,8,0.0340,0.0037,0.38,0.0021
2024-02-24:23,16,9,0.0340,0.0038,0.36,0.0021
2024-02-24:22,19,9,0.0350,0.0044,0.34,0.0022
2024-02-24:21,18,8,0.0350,0.0042,0.31,0.0021
2024-02-24:20,21,8,0.0360,0.0041,0.31,0.0021
2024-02-24:19,17,7,0.0370,0.0044,0.30,0.0021
2024-02-24:18,17,7,0.0370,0.0050,0.28,0.0021
2024-02-24:17,15,7,0.0370,0.0047,0.28,0.0024
2024-02-24:16,14,5,0.0390,0.0042,0.26,0.0023
2024-02-24:15,11,5,0.0390,0.0044,0.24,0.0022
2024-02-24:14,13,6,0.0380,0.0045,0.25,0.0022
2024-02-24:13,13,6,0.0370,0.0051,0.28,0.0023
2024-02-24:12,12,6,0.0350,0.0060,0.27,0.0023
2024-02-24:11,12,7,0.0350,0.0056,0.28,0.0023
2024-02-24:10,12,7,0.0350,0.0058,0.28,0.0023
2024-02-24:09,10,8,0.0340,0.0061,0.29,0.0023
2024-02-24:08,15,8,0.0340,0.0064,0.31,0.0022
2024-02-24:07,15,8,0.0360,0.0049,0.28,0.0023
2024-02-24:06,16,8,0.0370,0.0036,0.28,0.0022
2024-02-24:05,13,7,0.0370,0.0031,0.28,0.0022
2024-02-24:04,11,8,0.0360,0.0033,0.29,0.0021
2024-02-24:03,16,8,0.0360,0.0034,0.27,0.0022
2024-02-24:02,10,9,0.0380,0.0032,0.25,0.0021
2024-02-24:01,6,,0.0390,0.0030,0.26,0.0022
2024-02-23:24,14,9,0.0370,0.0034,0.27,0.0021
2024-02-23:23,15,10,0.0360,0.0045,0.33,0.0021
2024-02-23:22,13,11,0.0360,0.0051,0.32,0.0021
2024-02-23:21,19,11,0.0340,0.0061,0.34,0.0021
2024-02-23:20,20,11,0.0360,0.0055,0.33,0.0021
2024-02-23:19,17,9,0.0360,0.0062,0.31,0.0021
2024-02-23:18,14,5,0.0360,0.0062,0.28,0.0020
2024-02-23:17,8,4,0.0370,0.0055,0.29,0.0020
2024-02-23:16,7,4,0.0360,0.0062,0.27,0.0021
2024-02-23:15,3,,0.0380,0.0053,0.29,0.0021
2024-02-23:14,4,4,0.0360,0.0058,0.29,0.0021
2024-02-23:13,5,5,0.0330,0.0068,0.25,0.0020
2024-02-23:12,2,,0.0320,0.0072,0.25,0.0021
2024-02-23:11,6,,0.0300,0.0073,0.27,0.0021
2024-02-23:10,7,,0.0300,0.0076,0.29,0.0021
2024-02-23:09,11,8,0.0310,0.0071,0.27,0.0021
2024-02-23:08,9,9,0.0310,0.0067,0.29,0.0021
2024-02-23:07,13,8,0.0320,0.0058,0.29,0.0021
