tm,pm10,pm25,o3,no2,co,so2
2024-02-25:17,11,6,0.0335,0.0055,0.29,0.0020
2024-02-25:16,10,10,0.0316,0.0056,0.28,0.0020
2024-02-25:15,8,,0.0317,0.0054,0.29,0.0020
2024-02-25:14,7,7,0.0314,0.0054,0.29,0.0020
2024-02-25:13,9,,0.0303,0.0057,0.29,0.0020
2024-02-25:12,9,,0.0257,0.0067,0.31,0.0020
2024-02-25:11,11,11,0.0238,0.0073,0.34,0.0020
2024-02-25:10,13,,0.0164,0.0109,0.37,0.0020
2024-02-25:09,12,11,0.0096,0.0150,0.41,0.0020
2024-02-25:08,13,12,0.0081,0.0153,0.43,0.0020
2024-02-25:07,10,10,0.0139,0.0083,0.35,0.0019
2024-02-25:06,17,17,0.0154,0.0092,0.44,0.0019
2024-02-25:05,12,,0.0189,0.0065,0.36,0.0019
2024-02-25:04,11,10,0.0212,0.0074,0.37,0.0019
2024-02-25:03,21,13,0.0201,0.0095,0.46,0.0020
2024-02-25:02,17,17,0.0210,0.0101,0.42,0.0020
2024-02-25:01,28,25,0.0198,0.0140,0.47,0.0019
2024-02-24:24,27,21,0.0215,0.0134,0.42,0.0019
2024-02-24:23,21,20,0.0247,0.0120,0.42,0.0018
2024-02-24:22,18,17,0.0261,0.0097,0.41,0.0018
2024-02-24:21,19,15,0.0300,0.0080,0.38,0.0018
2024-02-24:20,17,16,0.0346,0.0071,0.35,0.0018
2024-02-24:19,17,8,0.0361,0.0073,0.34,0.0019
2024-02-24:18,13,10,0.0365,0.0074,0.33,0.0019
2024-02-24:17,21,11,0.0372,0.0071,0.32,0.0019
2024-02-24:16,20,9,0.0371,0.0073,0.31,0.0018
2024-02-24:15,15,9,0.0379,0.0066,0.30,0.0018
2024-02-24:14,13,8,0.0399,0.0049,0.29,0.0018
2024-02-24:13,15,4,0.0408,0.0044,0.28,0.0018
2024-02-24:12,17,5,0.0405,0.0044,0.28,0.0018
2024-02-24:11,11,7,0.0400,0.0048,0.28,0.0017
2024-02-24:10,14,9,0.0388,0.0056,0.27,0.0017
2024-02-24:09,13,6,0.0380,0.0056,0.27,0.0016
2024-02-24:08,10,7,0.0399,0.0048,0.26,0.0017
2024-02-24:07,10,8,0.0404,0.0042,0.26,0.0017
2024-02-24:06,13,11,0.0381,0.0045,0.28,0.0017
2024-02-24:05,13,7,0.0383,0.0041,0.28,0.0017
2024-02-24:04,9,6,0.0390,0.0041,0.27,0.0017
2024-02-24:03,11,8,0.0388,0.0041,0.27,0.0017
2024-02-24:02,10,10,0.0385,0.0043,0.27,0.0017
2024-02-24:01,21,12,0.0372,0.0054,0.28,0.0017
2024-02-23:24,18,,0.0355,0.0065,0.30,0.0015
2024-02-23:23,27,21,0.0368,0.0067,0.30,0.0013
2024-02-23:22,17,12,0.0366,0.0067,0.28,0.0018
2024-02-23:21,16,15,0.0333,0.0092,0.29,0.0018
2024-02-23:20,20,11,0.0340,0.0091,0.28,0.0019
2024-02-23:19,21,11,0.0346,0.0093,0.28,0.0019
2024-02-23:18,10,6,0.0343,0.0090,0.27,0.0019
2024-02-23:17,11,6,0.0325,0.0096,0.28,0.0019
2024-02-23:16,6,,0.0346,0.0080,0.28,0.0019
2024-02-23:15,3,,0.0353,0.0071,0.27,0.0019
2024-02-23:14,4,4,0.0350,0.0066,0.27,0.0019
2024-02-23:13,4,,0.0334,0.0071,0.28,0.0019
2024-02-23:12,6,,0.0324,0.0075,0.29,0.0019
2024-02-23:11,8,,0.0295,0.0089,0.31,0.0019
2024-02-23:10,7,,0.0261,0.0124,0.32,0.0018
2024-02-23:09,9,7,0.0256,0.0118,0.31,0.0019
2024-02-23:08,5,,0.0272,0.0084,0.30,0.0018
2024-02-23:07,4,,0.0287,0.0064,0.29,0.0019
2024-02-23:06,4,,0.0279,0.0066,0.29,0.0019
2024-02-23:05,4,,0.0277,0.0068,0.30,0.0019
2024-02-23:04,3,,0.0297,0.0056,0.29,0.0019
2024-02-23:03,5,,0.0296,0.0056,0.30,0.0018
2024-02-23:02,6,6,0.0290,0.0057,0.31,0.0019
2024-02-23:01,6,6,0.0293,0.0065,0.32,0.0019
2024-02-22:24,7,5,0.0277,0.0073,0.34,0.0019
2024-02-22:23,10,6,0.0303,0.0071,0.33,0.0018
2024-02-22:22,6,,0.0286,0.0086,0.33,0.0019
2024-02-22:21,18,10,0.0262,0.0106,0.34,0.0019
2024-02-22:20,18,,0.0262,0.0119,0.34,0.0020
2024-02-22:19,8,7,0.0295,0.0101,0.31,0.0019
2024-02-22:18,3,,0.0317,0.0086,0.29,
2024-02-22:17,5,5,0.0325,0.0080,0.28,
2024-02-22:16,5,,0.0340,0.0076,0.28,
2024-02-22:15,4,2,0.0352,0.0064,0.28,
2024-02-22:14,7,4,0.0349,0.0069,0.28,
2024-02-22:13,7,5,0.0335,0.0082,0.29,
2024-02-22:12,5,5,0.0320,0.0088,0.29,
2024-02-22:11,6,4,0.0308,0.0104,0.30,
2024-02-22:10,4,2,0.0307,0.0099,0.30,
2024-02-22:09,2,,0.0303,0.0091,0.30,
2024-02-22:08,2,,0.0310,0.0073,0.30,
2024-02-22:07,1,,0.0312,0.0075,0.30,
2024-02-22:06,,4,0.0315,0.0068,0.30,
2024-02-22:05,1,,0.0317,0.0062,0.29,
2024-02-22:04,4,4,0.0323,0.0053,0.28,
2024-02-22:03,6,6,0.0312,0.0063,0.29,
2024-02-22:02,6,,0.0308,0.0065,0.30,
2024-02-22:01,2,,0.0317,0.0059,0.29,
2024-02-21:24,4,4,0.0318,0.0063,0.28,
2024-02-21:23,5,,0.0311,0.0070,0.29,
2024-02-21:22,7,3,0.0306,0.0080,0.30,
2024-02-21:21,7,,0.0304,0.0086,0.30,
2024-02-21:20,8,5,0.0306,0.0091,0.28,
2024-02-21:19,4,,0.0329,0.0084,0.27,
2024-02-21:18,6,4,0.0339,0.0082,0.26,
2024-02-21:17,3,3,0.0346,0.0084,0.26,
2024-02-21:16,4,4,0.0328,0.0096,0.27,
2024-02-21:15,6,2,0.0324,0.0099,0.28,
2024-02-21:14,1,,0.0342,0.0082,0.26,
2024-02-21:13,3,,0.0338,0.0088,0.26,
2024-02-21:12,3,,0.0343,0.0085,0.26,
2024-02-21:11,,5,0.0338,0.0083,0.28,
2024-02-21:10,4,2,0.0317,0.0087,0.29,
2024-02-21:09,6,2,0.0324,0.0078,0.31,
2024-02-21:08,5,4,0.0341,0.0066,0.34,
2024-02-21:07,4,,0.0305,0.0070,0.33,
2024-02-21:06,1,,0.0332,0.0059,0.35,
2024-02-21:05,1,,0.0329,0.0059,0.35,
2024-02-21:04,3,,0.0297,0.0063,0.34,
2024-02-21:03,4,,0.0304,0.0065,0.35,
2024-02-21:02,5,,0.0299,0.0076,0.36,
2024-02-21:01,5,5,0.0334,0.0070,0.34,
2024-02-20:24,4,,0.0329,0.0072,0.33,
2024-02-20:23,3,,0.0339,0.0073,0.32,
2024-02-20:22,7,2,0.0326,0.0083,0.32,
2024-02-20:21,5,5,0.0330,0.0082,0.32,
2024-02-20:20,6,,0.0301,0.0103,0.32,
2024-02-20:19,4,,0.0314,0.0096,0.32,
2024-02-20:18,3,,0.0308,0.0104,0.33,
2024-02-20:17,20,12,,,,
2024-02-20:16,,,,,,
2024-02-20:15,,,,,,
2024-02-20:14,,,,,,
2024-02-20:13,,,,,,
2024-02-20:12,,,,,,
2024-02-20:11,,,,,,
2024-02-20:10,11,9,0.0157,0.0097,0.36,0.0029
2024-02-20:09,13,8,0.0118,0.0129,0.36,0.0030
2024-02-20:08,17,10,0.0050,0.0170,0.35,0.0030
2024-02-20:07,12,9,0.0073,0.0136,0.34,0.0030
2024-02-20:06,9,,0.0065,0.0173,0.34,0.0030
2024-02-20:05,6,,0.0120,0.0129,0.30,0.0031
2024-02-20:04,5,,0.0196,0.0082,0.28,0.0030
2024-02-20:03,8,6,0.0109,0.0125,0.28,0.0030
2024-02-20:02,7,,0.0131,0.0121,0.28,0.0030
2024-02-20:01,7,,0.0173,0.0097,0.27,0.0030
2024-02-19:24,10,6,0.0225,0.0088,0.26,0.0031
2024-02-19:23,6,6,0.0282,0.0068,0.24,0.0031
2024-02-19:22,2,,0.0273,0.0075,0.23,0.0031
2024-02-19:21,6,6,0.0278,0.0081,0.22,0.0031
2024-02-19:20,8,,0.0274,0.0088,0.23,0.0032
2024-02-19:19,7,,0.0260,0.0082,0.29,0.0033
2024-02-19:18,13,10,0.0248,0.0097,0.30,0.0034
2024-02-19:17,3,,0.0276,0.0094,0.29,0.0035
2024-02-19:16,6,,0.0300,0.0075,0.27,0.0036
2024-02-19:15,4,,0.0320,0.0065,0.24,0.0037
2024-02-19:14,5,,0.0316,0.0071,0.24,0.0040
2024-02-19:13,13,,0.0131,0.0166,0.32,0.0039
2024-02-19:12,13,,0.0123,0.0160,0.32,0.0038
2024-02-19:11,13,,0.0100,0.0166,0.34,0.0035
2024-02-19:10,10,,0.0057,0.0191,0.36,0.0035
2024-02-19:09,15,,0.0027,0.0221,0.39,0.0035
2024-02-19:08,16,,0.0011,0.0260,0.46,0.0035
2024-02-19:07,10,,0.0005,0.0266,0.38,0.0035
2024-02-19:06,12,,0.0024,0.0245,0.36,0.0034
2024-02-19:05,27,22,0.0031,0.0244,0.35,0.0033
2024-02-19:04,15,,0.0081,0.0193,0.33,0.0033
2024-02-19:03,20,17,0.0104,0.0175,0.34,0.0034
2024-02-19:02,11,,0.0111,0.0185,0.32,0.0032
2024-02-19:01,14,13,0.0080,0.0206,0.36,0.0031
2024-02-18:24,13,,0.0054,0.0257,0.35,0.0032
2024-02-18:23,12,,0.0102,0.0208,0.35,0.0031
2024-02-18:22,28,,0.0103,0.0219,0.36,0.0031
2024-02-18:21,17,,0.0151,0.0197,0.38,0.0031
2024-02-18:20,11,,0.0239,0.0143,0.35,0.0031
2024-02-18:19,9,,0.0319,0.0109,0.26,0.0031
2024-02-18:18,19,14,0.0334,0.0103,0.26,0.0031
2024-02-18:17,13,8,0.0347,0.0095,0.25,0.0032
2024-02-18:16,20,17,0.0364,0.0112,0.31,0.0035
2024-02-18:15,26,25,0.0347,0.0136,0.36,0.0036
2024-02-18:14,28,,0.0346,0.0131,0.37,0.0036
2024-02-18:13,33,30,0.0322,0.0132,0.41,0.0035
2024-02-18:12,39,35,0.0262,0.0144,0.49,0.0033
2024-02-18:11,33,31,0.0230,0.0110,0.46,0.0030
2024-02-18:10,43,33,0.0147,0.0119,0.53,0.0030
2024-02-18:09,34,24,0.0058,0.0166,0.53,0.0030
2024-02-18:08,38,27,0.0022,0.0180,0.56,0.0030
2024-02-18:07,33,27,0.0024,0.0176,0.58,0.0029
2024-02-18:06,28,27,0.0055,0.0163,0.54,0.0029
2024-02-18:05,30,25,0.0079,0.0129,0.54,0.0029
2024-02-18:04,30,26,0.0112,0.0134,0.55,0.0029
2024-02-18:03,33,22,0.0113,0.0129,0.53,0.0029
2024-02-18:02,27,25,0.0133,0.0141,0.54,0.0029
2024-02-18:01,30,28,0.0167,0.0142,0.55,0.0029
2024-02-17:24,30,27,0.0174,0.0174,0.58,0.0028
2024-02-17:23,32,25,0.0181,0.0165,0.57,0.0029
2024-02-17:22,26,24,0.0214,0.0171,0.53,0.0029
2024-02-17:21,28,25,0.0258,0.0158,0.52,0.0031
2024-02-17:20,27,19,0.0261,0.0172,0.48,0.0031
2024-02-17:19,23,15,0.0302,0.0145,0.42,0.0032
2024-02-17:18,18,16,0.0444,0.0087,0.36,0.0034
2024-02-17:17,17,9,0.0476,0.0062,0.27,0.0033
2024-02-17:16,9,7,0.0468,0.0052,0.23,0.0031
2024-02-17:15,12,,0.0456,0.0055,0.22,0.0030
2024-02-17:14,12,,0.0439,0.0070,0.29,0.0030
2024-02-17:13,20,12,0.0412,0.0086,0.34,0.0031
2024-02-17:12,27,15,0.0362,0.0105,0.37,0.0032
2024-02-17:11,26,26,0.0232,0.0134,0.43,0.0032
2024-02-17:10,20,,0.0165,0.0120,0.43,0.0030
2024-02-17:09,34,28,0.0070,0.0175,0.51,0.0031
2024-02-17:08,24,19,0.0021,0.0219,0.48,0.0032
2024-02-17:07,28,16,0.0028,0.0201,0.50,0.0030
2024-02-17:06,21,19,0.0022,0.0219,0.47,0.0030
2024-02-17:05,23,18,0.0047,0.0191,0.50,0.0029
2024-02-17:04,24,21,0.0061,0.0189,0.53,0.0029
2024-02-17:03,20,18,0.0075,0.0178,0.49,0.0028
2024-02-17:02,21,17,0.0101,0.0156,0.48,0.0029
2024-02-17:01,20,15,0.0128,0.0165,0.42,0.0028
2024-02-16:24,17,16,0.0112,0.0187,0.37,0.0029
2024-02-16:23,14,,0.0121,0.0202,0.35,0.0029
2024-02-16:22,21,13,0.0136,0.0199,0.37,0.0028
2024-02-16:21,20,17,0.0131,0.0244,0.39,0.0028
2024-02-16:20,15,15,0.0179,0.0219,0.33,0.0028
2024-02-16:19,17,10,0.0263,0.0163,0.35,0.0029
2024-02-16:18,7,7,0.0415,0.0076,0.26,0.0029
2024-02-16:17,10,10,0.0438,0.0056,0.23,0.0030
2024-02-16:16,13,11,0.0435,0.0057,0.22,0.0029
2024-02-16:15,15,13,0.0426,0.0060,0.25,0.0029
2024-02-16:14,6,,0.0414,0.0062,0.31,0.0029
2024-02-16:13,9,5,0.0400,0.0061,0.30,0.0029
2024-02-16:12,12,6,0.0376,0.0071,0.29,0.0030
2024-02-16:11,25,25,0.0242,0.0137,0.34,0.0031
2024-02-16:10,15,,0.0177,0.0167,0.34,0.0029
2024-02-16:09,23,13,0.0049,0.0275,0.37,0.0031
2024-02-16:08,17,17,0.0019,0.0294,0.35,0.0031
2024-02-16:07,15,14,0.0027,0.0270,0.32,0.0029
2024-02-16:06,19,16,0.0068,0.0226,0.32,0.0028
2024-02-16:05,12,,0.0114,0.0174,0.32,0.0029
2024-02-16:04,14,13,0.0185,0.0106,0.30,0.0028
2024-02-16:03,15,,0.0215,0.0105,0.32,0.0028
2024-02-16:02,17,17,0.0210,0.0136,0.32,0.0028
2024-02-16:01,14,,0.0258,0.0117,0.30,0.0028
2024-02-15:24,17,10,0.0328,0.0074,0.29,0.0028
2024-02-15:23,18,12,0.0350,0.0069,0.28,0.0028
2024-02-15:22,16,10,0.0363,0.0063,0.25,0.0029
2024-02-15:21,9,4,0.0379,0.0062,0.23,0.0029
2024-02-15:20,6,3,0.0394,0.0064,0.23,0.0029
2024-02-15:19,6,4,0.0397,0.0066,0.24,0.0029
2024-02-15:18,6,6,0.0433,0.0055,0.22,0.0030
2024-02-15:17,4,,0.0356,0.0080,0.32,0.0030
2024-02-15:16,6,,0.0314,0.0087,0.38,0.0030
2024-02-15:15,5,,0.0317,0.0090,0.42,0.0031
2024-02-15:14,6,,0.0337,0.0098,0.41,0.0031
2024-02-15:13,8,,0.0351,0.0088,0.32,0.0032
2024-02-15:12,14,,0.0157,0.0161,0.41,0.0032
2024-02-15:11,,22,0.0079,0.0146,0.35,0.0032
2024-02-15:10,20,,0.0089,0.0138,0.33,0.0031
2024-02-15:09,14,13,0.0042,0.0185,0.32,0.0033
2024-02-15:08,12,,0.0012,0.0237,0.34,0.0032
2024-02-15:07,10,,0.0025,0.0230,0.26,0.0031
2024-02-15:06,8,,0.0031,0.0198,0.25,0.0031
2024-02-15:05,7,,0.0050,0.0154,0.28,0.0031
2024-02-15:04,16,15,0.0038,0.0137,0.31,0.0031
2024-02-15:03,15,,0.0024,0.0139,0.31,0.0031
2024-02-15:02,27,,0.0012,0.0151,0.36,0.0031
2024-02-15:01,23,21,0.0012,0.0181,0.42,0.0031
2024-02-14:24,23,18,0.0018,0.0177,0.33,0.0031
2024-02-14:23,24,19,0.0037,0.0172,0.31,0.0030
2024-02-14:22,20,18,0.0056,0.0200,0.32,0.0029
2024-02-14:21,27,20,0.0094,0.0190,0.34,0.0030
2024-02-14:20,39,29,0.0137,0.0186,0.36,0.0030
2024-02-14:19,24,22,0.0237,0.0130,0.32,0.0031
2024-02-14:18,22,15,0.0379,0.0090,0.27,0.0032
2024-02-14:17,23,19,0.0411,0.0074,0.25,0.0032
2024-02-14:16,20,17,0.0414,0.0064,0.26,0.0033
2024-02-14:15,16,,0.0374,0.0065,0.28,0.0036
2024-02-14:14,27,,0.0305,0.0102,0.30,0.0035
2024-02-14:13,37,30,0.0265,0.0111,0.35,0.0032
2024-02-14:12,40,35,0.0232,0.0130,0.36,0.0031
2024-02-14:11,51,47,0.0149,0.0168,0.43,0.0030
2024-02-14:10,46,36,0.0052,0.0235,0.47,0.0031
2024-02-14:09,40,34,0.0025,0.0245,0.46,0.0031
2024-02-14:08,45,30,0.0022,0.0239,0.47,0.0030
2024-02-14:07,35,27,0.0012,0.0245,0.45,0.0027
2024-02-14:06,28,23,0.0013,0.0232,0.45,0.0023
2024-02-14:05,31,21,0.0022,0.0230,0.39,0.0019
2024-02-14:04,23,21,0.0035,0.0214,0.34,0.0027
2024-02-14:03,25,21,0.0034,0.0219,0.35,0.0023
2024-02-14:02,26,22,0.0033,0.0253,0.35,0.0022
2024-02-14:01,33,21,0.0047,0.0270,0.36,0.0019
2024-02-13:24,31,25,0.0080,0.0258,0.37,0.0020
2024-02-13:23,27,26,0.0113,0.0251,0.35,0.0024
2024-02-13:22,43,30,0.0160,0.0216,0.44,0.0023
2024-02-13:21,40,32,0.0172,0.0237,0.40,0.0026
2024-02-13:20,32,23,0.0331,0.0137,0.33,0.0029
2024-02-13:19,34,26,0.0354,0.0154,0.32,0.0029
2024-02-13:18,22,17,,,,
2024-02-13:17,,,,,,
2024-02-13:16,,,,,,
2024-02-13:15,24,16,0.0498,0.0072,0.21,
2024-02-13:14,25,20,0.0482,0.0093,0.24,
2024-02-13:13,28,16,0.0425,0.0122,0.35,
2024-02-13:12,50,43,0.0242,0.0219,0.52,
2024-02-13:11,55,41,0.0218,0.0176,0.52,
2024-02-13:10,43,33,0.0174,0.0148,0.49,
2024-02-13:09,38,,0.0056,0.0223,0.54,
2024-02-13:08,42,34,0.0019,0.0226,0.53,
2024-02-13:07,35,31,0.0024,0.0226,0.50,
2024-02-13:06,30,27,0.0026,0.0203,0.52,
2024-02-13:05,31,31,0.0033,0.0226,0.51,
2024-02-13:04,37,32,0.0098,0.0155,0.49,
2024-02-13:03,36,31,0.0096,0.0172,0.50,
2024-02-13:02,29,,0.0091,0.0194,0.49,
2024-02-13:01,31,28,0.0121,0.0176,0.49,
2024-02-12:24,29,,0.0106,0.0159,0.46,
2024-02-12:23,37,31,0.0133,0.0186,0.52,
2024-02-12:22,34,30,0.0170,0.0206,0.52,
2024-02-12:21,29,26,0.0253,0.0186,0.49,
2024-02-12:20,19,19,0.0241,0.0177,0.31,
2024-02-12:19,18,17,0.0263,0.0212,0.28,
2024-02-12:18,11,11,0.0411,0.0073,0.21,
2024-02-12:17,8,8,0.0429,0.0058,0.19,
2024-02-12:16,8,,0.0436,0.0059,0.19,
2024-02-12:15,17,14,0.0430,0.0082,0.25,0.0000
2024-02-12:14,27,24,0.0429,0.0094,0.31,0.0000
2024-02-12:13,40,37,0.0413,0.0107,0.39,0.0000
2024-02-12:12,57,47,0.0389,0.0111,0.44,0.0000
2024-02-12:11,62,55,0.0345,0.0113,0.48,0.0000
2024-02-12:10,66,60,0.0245,0.0135,0.50,0.0000
2024-02-12:09,66,55,0.0111,0.0213,0.53,0.0000
2024-02-12:08,68,57,0.0065,0.0224,0.55,0.0000
2024-02-12:07,58,56,0.0082,0.0222,0.52,0.0000
2024-02-12:06,61,55,0.0118,0.0193,0.49,0.0000
2024-02-12:05,66,52,0.0126,0.0162,0.54,0.0000
2024-02-12:04,61,59,0.0172,0.0148,0.53,0.0000
2024-02-12:03,67,59,0.0242,0.0129,0.54,0.0000
2024-02-12:02,60,57,0.0280,0.0149,0.48,0.0000
2024-02-12:01,67,56,0.0335,0.0124,0.47,0.0000
2024-02-11:24,61,53,0.0385,0.0130,0.44,0.0000
2024-02-11:23,66,55,0.0487,0.0099,0.41,0.0000
2024-02-11:22,62,55,0.0519,0.0093,0.41,0.0000
2024-02-11:21,66,55,0.0520,0.0092,0.41,0.0000
2024-02-11:20,52,44,0.0519,0.0091,0.37,0.0000
2024-02-11:19,46,39,0.0507,0.0089,0.34,0.0000
2024-02-11:18,44,40,0.0502,0.0085,0.35,0.0000
2024-02-11:17,45,37,0.0504,0.0089,0.36,0.0000
2024-02-11:16,64,51,0.0521,0.0099,0.41,0.0000
2024-02-11:15,65,57,0.0531,0.0105,0.46,0.0000
2024-02-11:14,68,59,0.0545,0.0100,0.46,0.0000
2024-02-11:13,73,65,0.0553,0.0099,0.50,0.0000
2024-02-11:12,65,62,0.0532,0.0101,0.49,0.0000
2024-02-11:11,63,59,0.0527,0.0097,0.49,0.0000
2024-02-11:10,53,42,0.0508,0.0090,0.43,0.0000
2024-02-11:09,44,37,0.0486,0.0094,0.41,0.0000
2024-02-11:08,50,42,0.0482,0.0085,0.41,0.0000
2024-02-11:07,47,43,0.0459,0.0087,0.41,0.0000
2024-02-11:06,55,39,0.0406,0.0093,0.47,0.0000
2024-02-11:05,71,68,0.0247,0.0122,0.67,0.0000
2024-02-11:04,80,77,0.0205,0.0126,0.77,0.0000
2024-02-11:03,88,78,0.0211,0.0140,0.75,0.0000
2024-02-11:02,87,77,0.0291,0.0141,0.74,0.0000
2024-02-11:01,86,80,0.0389,0.0138,0.72,0.0000
2024-02-10:24,91,84,0.0388,0.0141,0.72,0.0000
2024-02-10:23,82,80,0.0478,0.0128,0.69,0.0000
