마산항 ( 경상남도 창원시 성산구 적현로 424 (귀곡동) ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-28:17,보통,32,보통,22,보통,0.0584,좋음,0.0185,좋음,0.36,좋음,0.0025
2024-04-28:16,보통,43,보통,25,보통,0.0807,좋음,0.0101,좋음,0.38,좋음,0.0031
2024-04-28:15,보통,55,보통,26,보통,0.0815,좋음,0.0133,좋음,0.41,좋음,0.0033
2024-04-28:14,보통,61,보통,35,보통,0.0777,좋음,0.0199,좋음,0.44,좋음,0.0037
2024-04-28:13,보통,61,나쁨,37,보통,0.0625,좋음,0.0214,좋음,0.43,좋음,0.0032
2024-04-28:12,보통,54,나쁨,36,보통,0.0688,좋음,0.0192,좋음,0.47,좋음,0.0033
2024-04-28:11,보통,60,나쁨,41,보통,0.0565,좋음,0.0267,좋음,0.61,좋음,0.0036
2024-04-28:10,매우나쁨,189,매우나쁨,76,보통,0.0482,좋음,0.0248,좋음,0.62,좋음,0.0032
2024-04-28:09,보통,69,나쁨,52,좋음,0.0177,보통,0.0432,좋음,0.65,좋음,0.0034
2024-04-28:08,보통,66,나쁨,48,좋음,0.0168,보통,0.0335,좋음,0.71,좋음,0.0029
2024-04-28:07,보통,62,나쁨,51,좋음,0.0119,보통,0.0307,좋음,0.69,좋음,0.0020
2024-04-28:06,보통,64,나쁨,52,좋음,0.0108,보통,0.0353,좋음,0.74,좋음,0.0020
2024-04-28:05,보통,67,나쁨,57,좋음,0.0070,보통,0.0433,좋음,1.01,좋음,0.0021
2024-04-28:04,보통,63,나쁨,52,좋음,0.0113,보통,0.0415,좋음,0.74,좋음,0.0022
2024-04-28:03,보통,51,나쁨,42,좋음,0.0204,보통,0.0344,좋음,0.49,좋음,0.0019
2024-04-28:02,보통,62,나쁨,39,보통,0.0360,좋음,0.0221,좋음,0.56,좋음,0.0021
2024-04-28:01,나쁨,87,나쁨,42,보통,0.0351,좋음,0.0266,좋음,0.60,좋음,0.0022
2024-04-27:24,보통,64,나쁨,40,보통,0.0314,보통,0.0355,좋음,0.68,좋음,0.0023
2024-04-27:23,보통,48,보통,29,보통,0.0472,좋음,0.0185,좋음,0.56,좋음,0.0023
2024-04-27:22,보통,50,나쁨,36,보통,0.0490,좋음,0.0211,좋음,0.46,좋음,0.0026
2024-04-27:21,보통,49,보통,28,보통,0.0533,좋음,0.0273,좋음,0.44,좋음,0.0029
2024-04-27:20,보통,51,보통,22,보통,0.0748,좋음,0.0147,좋음,0.38,좋음,0.0028
2024-04-27:19,보통,52,보통,27,보통,0.0731,좋음,0.0177,좋음,0.36,좋음,0.0024
2024-04-27:18,보통,60,보통,25,보통,0.0603,보통,0.0386,좋음,0.35,좋음,0.0029
2024-04-27:17,보통,57,보통,32,보통,0.0808,좋음,0.0177,좋음,0.37,좋음,0.0026
2024-04-27:16,보통,72,나쁨,37,보통,0.0452,보통,0.0522,좋음,0.37,좋음,0.0035
2024-04-27:15,보통,62,보통,26,보통,0.0583,보통,0.0339,좋음,0.39,좋음,0.0028
2024-04-27:14,보통,51,보통,25,보통,0.0583,좋음,0.0281,좋음,0.39,좋음,0.0031
2024-04-27:13,보통,58,보통,35,보통,0.0632,좋음,0.0251,좋음,0.43,좋음,0.0041
2024-04-27:12,보통,72,보통,34,보통,0.0626,좋음,0.0281,좋음,0.48,좋음,0.0043
2024-04-27:11,보통,53,보통,35,보통,0.0569,좋음,0.0216,좋음,0.54,좋음,0.0042
2024-04-27:10,보통,62,나쁨,39,보통,0.0470,좋음,0.0196,좋음,0.56,좋음,0.0037
2024-04-27:09,보통,80,나쁨,48,좋음,0.0247,좋음,0.0246,좋음,0.49,좋음,0.0030
2024-04-27:08,보통,66,나쁨,46,좋음,0.0117,좋음,0.0274,좋음,0.59,좋음,0.0024
2024-04-27:07,보통,51,보통,34,좋음,0.0049,좋음,0.0280,좋음,0.59,좋음,0.0022
2024-04-27:06,보통,39,보통,28,좋음,0.0036,좋음,0.0260,좋음,0.50,좋음,0.0018
2024-04-27:05,보통,33,,,좋음,0.0031,좋음,0.0275,좋음,0.44,좋음,0.0019
2024-04-27:04,보통,32,보통,21,좋음,0.0035,보통,0.0309,좋음,0.39,좋음,0.0017
2024-04-27:03,좋음,29,보통,28,좋음,0.0149,좋음,0.0169,좋음,0.37,좋음,0.0016
2024-04-27:02,보통,31,보통,22,좋음,0.0155,좋음,0.0233,좋음,0.35,좋음,0.0018
2024-04-27:01,좋음,26,보통,22,좋음,0.0137,좋음,0.0221,좋음,0.35,좋음,0.0017
2024-04-26:24,좋음,27,보통,27,좋음,0.0180,좋음,0.0194,좋음,0.37,좋음,0.0017
2024-04-26:23,보통,35,보통,28,좋음,0.0189,좋음,0.0220,좋음,0.45,좋음,0.0018
2024-04-26:22,보통,36,보통,23,좋음,0.0255,좋음,0.0182,좋음,0.42,좋음,0.0019
2024-04-26:21,좋음,20,좋음,14,보통,0.0310,좋음,0.0176,좋음,0.29,좋음,0.0019
2024-04-26:20,좋음,22,보통,19,보통,0.0429,좋음,0.0142,좋음,0.27,좋음,0.0021
2024-04-26:19,보통,34,보통,21,보통,0.0500,좋음,0.0156,좋음,0.32,좋음,0.0024
2024-04-26:18,좋음,28,보통,16,보통,0.0544,좋음,0.0136,좋음,0.31,좋음,0.0025
2024-04-26:17,좋음,28,좋음,13,보통,0.0539,좋음,0.0127,좋음,0.28,좋음,0.0025
2024-04-26:16,보통,38,좋음,15,보통,0.0488,좋음,0.0148,좋음,0.28,좋음,0.0023
2024-04-26:15,보통,53,보통,16,보통,0.0561,좋음,0.0105,좋음,0.37,좋음,0.0033
2024-04-26:14,보통,33,좋음,11,보통,0.0458,좋음,0.0176,좋음,0.39,좋음,0.0036
2024-04-26:13,좋음,30,보통,19,보통,0.0356,좋음,0.0249,좋음,0.52,좋음,0.0037
2024-04-26:12,보통,51,보통,31,좋음,0.0174,보통,0.0413,좋음,0.66,좋음,0.0037
2024-04-26:11,보통,58,보통,27,좋음,0.0135,보통,0.0439,좋음,0.66,좋음,0.0036
