지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
264,함양군,2024-04-10 14:00,19.7,,2.2,70,29
264,함양군,2024-04-10 15:00,20.3,,2.6,20,29
264,함양군,2024-04-10 16:00,20.8,,2.4,20,29
264,함양군,2024-04-10 17:00,20.3,,2.8,90,33
264,함양군,2024-04-10 18:00,18.8,,2.5,90,39
264,함양군,2024-04-10 19:00,17.4,,2.2,90,43
264,함양군,2024-04-10 20:00,14.3,,.2,0,61
264,함양군,2024-04-10 21:00,13.2,,.1,0,67
264,함양군,2024-04-10 22:00,12.6,,.2,0,71
264,함양군,2024-04-10 23:00,12.1,,.1,0,71
264,함양군,2024-04-11 00:00,11.6,,.2,0,76
264,함양군,2024-04-11 01:00,11.1,,.6,140,77
264,함양군,2024-04-11 02:00,11,,.6,200,79
264,함양군,2024-04-11 03:00,10.6,,1.1,70,80
264,함양군,2024-04-11 04:00,10.2,,.2,0,83
264,함양군,2024-04-11 05:00,9.6,,.6,90,86
264,함양군,2024-04-11 06:00,9,,.8,180,87
264,함양군,2024-04-11 07:00,9.4,,.5,140,88
264,함양군,2024-04-11 08:00,10.5,,.2,0,81
264,함양군,2024-04-11 09:00,12,,1.1,230,71
264,함양군,2024-04-11 10:00,13.9,,.6,270,58
264,함양군,2024-04-11 11:00,17.3,,1,340,47
264,함양군,2024-04-11 12:00,18.6,,1.5,20,37
264,함양군,2024-04-11 13:00,20,,2.2,50,33
264,함양군,2024-04-11 14:00,20.4,,3.6,250,39
264,함양군,2024-04-11 15:00,19.4,,3.2,250,44
264,함양군,2024-04-11 16:00,19.2,,2.2,250,45
264,함양군,2024-04-11 17:00,19.2,,2,230,47
264,함양군,2024-04-11 18:00,19.2,,2.3,230,47
264,함양군,2024-04-11 19:00,18,,1.8,200,53
264,함양군,2024-04-11 20:00,14.4,,.5,110,70
264,함양군,2024-04-11 21:00,12.4,,.6,180,77
264,함양군,2024-04-11 22:00,11.3,,.3,0,84
264,함양군,2024-04-11 23:00,10.2,,0,0,87
264,함양군,2024-04-12 00:00,9.6,,.6,200,90
264,함양군,2024-04-12 01:00,8.8,,.2,0,92
264,함양군,2024-04-12 02:00,8.1,,0,0,93
264,함양군,2024-04-12 03:00,7.4,,0,0,93
264,함양군,2024-04-12 04:00,7.1,,.1,0,94
264,함양군,2024-04-12 05:00,6.6,,0,0,94
264,함양군,2024-04-12 06:00,6.4,,.7,230,95
264,함양군,2024-04-12 07:00,7.3,,.5,50,95
264,함양군,2024-04-12 08:00,9.2,,.1,0,95
264,함양군,2024-04-12 09:00,12.8,,.6,90,78
264,함양군,2024-04-12 10:00,15.7,,.8,320,67
264,함양군,2024-04-12 11:00,19.5,,1.1,290,51
264,함양군,2024-04-12 12:00,22.1,,2.5,20,37
264,함양군,2024-04-12 13:00,22.8,,1.9,360,26
264,함양군,2024-04-12 14:00,23.6,,1.1,50,33
264,함양군,2024-04-12 15:00,25,,2,20,27
264,함양군,2024-04-12 16:00,25.4,,2.6,20,25
264,함양군,2024-04-12 17:00,25.2,,2.5,110,26
264,함양군,2024-04-12 18:00,23.6,,1.8,110,31
264,함양군,2024-04-12 19:00,21.1,,1.3,70,40
264,함양군,2024-04-12 20:00,17.2,,1,230,51
264,함양군,2024-04-12 21:00,15,,.6,140,66
264,함양군,2024-04-12 22:00,13.8,,.6,230,71
264,함양군,2024-04-12 23:00,13,,.5,140,78
264,함양군,2024-04-13 00:00,11.9,,.2,0,82
264,함양군,2024-04-13 01:00,10.9,,.1,0,86
264,함양군,2024-04-13 02:00,10.2,,.1,0,90
264,함양군,2024-04-13 03:00,9.8,,0,0,91
264,함양군,2024-04-13 04:00,9.1,,0,0,93
264,함양군,2024-04-13 05:00,8.6,,0,0,94
264,함양군,2024-04-13 06:00,7.9,,0,0,95
264,함양군,2024-04-13 07:00,8.1,,0,0,96
264,함양군,2024-04-13 08:00,11.3,,.2,0,95
264,함양군,2024-04-13 09:00,15.6,,.4,0,70
264,함양군,2024-04-13 10:00,20,,.4,0,54
264,함양군,2024-04-13 11:00,23.8,,1.2,90,36
264,함양군,2024-04-13 12:00,25.3,,2.5,20,26
264,함양군,2024-04-13 13:00,25.7,,3.6,110,24
264,함양군,2024-04-13 14:00,26.1,,3.3,110,22
264,함양군,2024-04-13 15:00,27.3,,2.5,90,19
264,함양군,2024-04-13 16:00,27.4,,3,20,22
264,함양군,2024-04-13 17:00,26.8,,2.6,110,26
264,함양군,2024-04-13 18:00,25.8,,1.9,110,23
264,함양군,2024-04-13 19:00,21.7,,1.6,70,40
264,함양군,2024-04-13 20:00,17.9,,1.3,200,50
264,함양군,2024-04-13 21:00,15.8,,.4,0,61
264,함양군,2024-04-13 22:00,14.5,,.3,0,69
264,함양군,2024-04-13 23:00,13.2,,0,0,74
