tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,10,4,0.0357,0.0129,0.31,0.0024
2024-02-29:23,7,,0.0366,0.0119,0.31,0.0019
2024-02-29:22,3,3,0.0369,0.0129,0.31,0.0023
2024-02-29:21,5,3,0.0372,0.0116,0.32,0.0020
2024-02-29:20,4,,0.0323,0.0149,0.33,0.0023
2024-02-29:19,6,5,0.0275,0.0202,0.36,0.0021
2024-02-29:18,3,2,0.0286,0.0214,0.36,0.0017
2024-02-29:17,1,,0.0282,0.0217,0.35,0.0022
2024-02-29:16,4,3,0.0272,0.0226,0.37,0.0026
2024-02-29:15,7,7,0.0307,0.0203,0.35,0.0025
2024-02-29:14,10,8,0.0276,0.0216,0.39,0.0023
2024-02-29:13,11,7,0.0305,0.0194,0.35,0.0020
2024-02-29:12,19,14,0.0343,0.0172,0.32,0.0025
2024-02-29:11,24,15,0.0074,0.0386,0.46,0.0029
2024-02-29:10,23,15,0.0106,0.0371,0.45,0.0026
2024-02-29:09,24,15,0.0094,0.0368,0.43,0.0026
2024-02-29:08,24,14,0.0113,0.0346,0.41,0.0027
2024-02-29:07,21,14,0.0166,0.0288,0.39,0.0031
2024-02-29:06,17,14,0.0256,0.0213,0.35,0.0034
2024-02-29:05,15,10,0.0331,0.0159,0.33,0.0039
2024-02-29:04,15,8,0.0384,0.0128,0.30,0.0037
2024-02-29:03,17,11,0.0367,0.0137,0.32,0.0030
2024-02-29:02,14,9,0.0371,0.0148,0.32,0.0032
2024-02-29:01,17,9,0.0348,0.0180,0.35,0.0033
2024-02-28:24,15,11,0.0319,0.0218,0.37,0.0032
2024-02-28:23,18,9,0.0275,0.0276,0.39,0.0026
2024-02-28:22,17,8,0.0222,0.0326,0.40,0.0029
2024-02-28:21,19,11,0.0304,0.0266,0.36,0.0030
2024-02-28:20,20,13,0.0319,0.0278,0.37,0.0031
2024-02-28:19,25,12,0.0369,0.0246,0.36,0.0027
2024-02-28:18,36,14,0.0453,0.0193,0.31,0.0029
2024-02-28:17,23,12,0.0449,0.0185,0.31,0.0028
2024-02-28:16,17,10,0.0455,0.0152,0.28,0.0026
2024-02-28:15,18,11,0.0496,0.0088,0.27,0.0025
2024-02-28:14,22,11,0.0476,0.0103,0.28,0.0024
2024-02-28:13,24,13,0.0434,0.0122,0.29,0.0027
2024-02-28:12,24,12,0.0395,0.0135,0.30,0.0027
2024-02-28:11,26,13,0.0320,0.0183,0.37,0.0025
2024-02-28:10,29,13,0.0244,0.0221,0.42,0.0025
2024-02-28:09,25,14,0.0116,0.0327,0.49,0.0028
2024-02-28:08,25,10,0.0059,0.0373,0.49,0.0024
2024-02-28:07,22,11,0.0082,0.0347,0.45,0.0022
2024-02-28:06,21,9,0.0182,0.0236,0.38,0.0020
2024-02-28:05,18,9,0.0261,0.0154,0.35,0.0020
2024-02-28:04,17,8,0.0283,0.0150,0.32,0.0019
2024-02-28:03,18,7,0.0323,0.0125,0.33,0.0022
2024-02-28:02,18,8,0.0315,0.0143,0.33,0.0022
2024-02-28:01,20,7,0.0341,0.0143,0.32,0.0023
2024-02-27:24,18,7,0.0372,0.0127,0.33,0.0024
2024-02-27:23,19,7,0.0333,0.0172,0.35,0.0023
2024-02-27:22,20,7,0.0303,0.0206,0.35,0.0024
2024-02-27:21,21,8,0.0328,0.0177,0.34,0.0022
2024-02-27:20,22,11,0.0366,0.0152,0.30,0.0023
2024-02-27:19,25,13,0.0377,0.0149,0.32,0.0022
2024-02-27:18,28,15,0.0401,0.0128,0.32,0.0023
2024-02-27:17,25,13,0.0427,0.0107,0.30,0.0025
2024-02-27:16,26,14,0.0438,0.0103,0.29,0.0022
2024-02-27:15,26,12,0.0427,0.0110,0.30,0.0024
2024-02-27:14,26,17,0.0437,0.0096,0.29,0.0025
2024-02-27:13,22,12,0.0436,0.0092,0.29,0.0027
2024-02-27:12,21,11,0.0434,0.0097,0.30,0.0021
2024-02-27:11,20,12,0.0416,0.0106,0.31,0.0023
2024-02-27:10,19,9,0.0367,0.0150,0.33,0.0018
2024-02-27:09,14,9,0.0347,0.0158,0.33,0.0019
2024-02-27:08,14,8,0.0307,0.0200,0.35,0.0023
2024-02-27:07,11,7,0.0300,0.0193,0.32,0.0022
2024-02-27:06,8,6,0.0377,0.0104,0.30,0.0018
2024-02-27:05,9,5,0.0393,0.0075,0.29,0.0021
2024-02-27:04,8,7,0.0388,0.0076,0.32,0.0020
2024-02-27:03,6,6,0.0385,0.0082,0.31,0.0023
