tm,pm10,pm25,o3,no2,co,so2
2024-04-26:16,,,0.0647,0.0046,0.31,0.0024
2024-04-26:15,,,0.0637,0.0058,0.35,0.0026
2024-04-26:14,,,0.0663,0.0054,0.34,0.0027
2024-04-26:13,,,0.0617,0.0060,0.33,0.0024
2024-04-26:12,,,0.0510,0.0083,0.35,0.0025
2024-04-26:11,,,0.0389,0.0091,0.35,0.0023
2024-04-26:10,,,0.0259,0.0127,0.39,0.0022
2024-04-26:09,,,0.0150,0.0147,0.40,0.0022
2024-04-26:08,,,0.0082,0.0130,0.40,0.0022
2024-04-26:07,,,0.0103,0.0084,0.34,0.0021
2024-04-26:06,,,0.0133,0.0066,0.33,0.0021
2024-04-26:05,,,0.0156,0.0066,0.32,0.0021
2024-04-26:04,,,0.0178,0.0071,0.35,0.0021
2024-04-26:03,,,0.0215,0.0066,0.34,0.0021
2024-04-26:02,,,0.0231,0.0071,0.32,0.0020
2024-04-26:01,,,0.0250,0.0076,0.34,0.0021
2024-04-25:24,,,0.0288,0.0074,0.34,0.0021
2024-04-25:23,,,0.0327,0.0081,0.33,0.0021
2024-04-25:22,,,0.0399,0.0082,0.33,0.0021
2024-04-25:21,,,0.0488,0.0075,0.33,0.0021
2024-04-25:20,,,0.0603,0.0071,0.33,0.0021
2024-04-25:19,,,0.0666,0.0055,0.32,0.0021
2024-04-25:18,,,0.0674,0.0043,0.30,0.0021
2024-04-25:17,,,,,,
2024-04-25:16,,,,,,
2024-04-25:15,,,,,,
2024-04-25:14,,,,,,
2024-04-25:13,,,,,,
2024-04-25:12,,,,,,
2024-04-25:11,,,,,,
2024-04-25:10,,,,,,
2024-04-25:09,,,,,,
2024-04-25:08,,,,,,
2024-04-25:07,,,,,,
2024-04-25:06,,,,,,
2024-04-25:05,,,,,,
2024-04-25:04,,,,,,
2024-04-25:03,,,,,,
2024-04-25:02,,,,,,
2024-04-25:01,,,,,,
2024-04-24:24,,,,,,
2024-04-24:23,,,,,,
2024-04-24:22,,,,,,
2024-04-24:21,,,,,,
2024-04-24:20,,,,,,
2024-04-24:19,,,,,,
2024-04-24:18,,,,,,
2024-04-24:17,,,,,,
2024-04-24:16,,,,,,
2024-04-24:15,,,,,,
2024-04-24:14,,,,,,
2024-04-24:13,,,,,,
2024-04-24:12,,,,,,
2024-04-24:11,19,8,,,,
2024-04-24:10,19,8,0.0407,0.0051,0.30,0.0020
2024-04-24:09,11,10,0.0204,0.0066,0.29,0.0020
2024-04-24:08,13,11,0.0175,0.0065,0.28,0.0020
2024-04-24:07,15,12,0.0153,0.0070,0.28,0.0020
2024-04-24:06,12,7,0.0218,0.0048,0.27,0.0020
2024-04-24:05,12,9,0.0235,0.0035,0.26,0.0020
2024-04-24:04,11,10,0.0222,0.0036,0.27,0.0019
2024-04-24:03,16,15,0.0230,0.0039,0.28,0.0019
2024-04-24:02,19,10,0.0246,0.0046,0.28,0.0019
2024-04-24:01,13,9,0.0300,0.0041,0.27,0.0019
2024-04-23:24,14,9,0.0255,0.0053,0.29,0.0019
2024-04-23:23,16,15,0.0288,0.0056,0.28,0.0019
2024-04-23:22,20,13,0.0334,0.0062,0.30,0.0020
2024-04-23:21,21,13,0.0358,0.0067,0.30,0.0019
2024-04-23:20,27,18,0.0408,0.0077,0.32,0.0020
2024-04-23:19,31,15,0.0459,0.0080,0.34,0.0021
2024-04-23:18,31,19,0.0492,0.0077,0.31,0.0020
2024-04-23:17,29,16,0.0533,0.0056,0.31,0.0021
2024-04-23:16,26,14,0.0576,0.0049,0.29,0.0021
2024-04-23:15,22,11,0.0590,0.0049,0.29,0.0020
2024-04-23:14,30,13,0.0618,0.0045,0.29,0.0020
2024-04-23:13,27,15,0.0632,0.0044,0.30,0.0019
2024-04-23:12,27,15,0.0623,0.0043,0.29,0.0017
2024-04-23:11,27,9,0.0597,0.0047,0.32,0.0020
2024-04-23:10,23,14,0.0475,0.0064,0.31,0.0020
2024-04-23:09,17,,0.0232,0.0095,0.32,0.0020
2024-04-23:08,18,12,0.0083,0.0111,0.35,0.0019
2024-04-23:07,14,13,0.0044,0.0081,0.34,0.0019
2024-04-23:06,9,,0.0052,0.0079,0.32,0.0019
2024-04-23:05,13,,0.0059,0.0068,0.31,0.0019
2024-04-23:04,14,12,0.0066,0.0070,0.31,0.0018
2024-04-23:03,19,16,0.0062,0.0072,0.31,0.0017
2024-04-23:02,21,16,0.0059,0.0076,0.32,0.0019
2024-04-23:01,27,17,0.0042,0.0076,0.31,0.0018
