tm,pm10,pm25,o3,no2,co,so2
2024-04-26:21,31,27,0.0410,0.0149,0.47,0.0029
2024-04-26:20,35,31,0.0570,0.0148,0.44,0.0035
2024-04-26:19,45,40,0.0673,0.0135,0.41,0.0037
2024-04-26:18,59,45,0.0855,0.0135,0.55,0.0060
2024-04-26:17,58,35,0.1322,0.0209,1.63,0.0187
2024-04-26:16,42,24,0.0969,0.0143,1.47,0.0135
2024-04-26:15,39,23,0.0660,0.0091,0.74,0.0059
2024-04-26:14,39,24,0.0609,0.0123,0.61,0.0061
2024-04-26:13,39,24,0.0455,0.0151,0.60,0.0060
2024-04-26:12,38,23,0.0408,0.0132,0.52,0.0041
2024-04-26:11,35,22,0.0335,0.0121,0.50,0.0032
2024-04-26:10,34,20,0.0255,0.0093,0.49,0.0028
2024-04-26:09,31,22,0.0147,0.0106,0.51,0.0026
2024-04-26:08,30,21,0.0128,0.0104,0.49,0.0025
2024-04-26:07,29,22,0.0127,0.0108,0.45,0.0023
2024-04-26:06,29,22,0.0131,0.0112,0.43,0.0024
2024-04-26:05,28,22,0.0190,0.0070,0.41,0.0024
2024-04-26:04,28,22,0.0221,0.0067,0.39,0.0024
2024-04-26:03,28,20,0.0252,0.0070,0.38,0.0024
2024-04-26:02,27,20,0.0287,0.0067,0.38,0.0023
2024-04-26:01,28,19,0.0307,0.0083,0.40,0.0023
2024-04-25:24,28,17,0.0368,0.0087,0.41,0.0025
2024-04-25:23,28,16,0.0411,0.0096,0.42,0.0028
2024-04-25:22,28,16,0.0511,0.0099,0.41,0.0038
2024-04-25:21,28,17,0.0633,0.0085,0.40,0.0045
2024-04-25:20,27,18,0.0692,0.0088,0.43,0.0043
2024-04-25:19,25,16,0.0766,0.0106,0.52,0.0049
2024-04-25:18,21,11,0.0919,0.0093,0.58,0.0053
2024-04-25:17,19,9,0.0808,0.0065,0.50,0.0046
2024-04-25:16,18,5,0.0698,0.0053,0.40,0.0037
2024-04-25:15,17,2,0.0672,0.0052,0.39,0.0033
2024-04-25:14,21,4,0.0615,0.0057,0.27,0.0025
2024-04-25:13,35,5,0.0520,0.0068,0.29,0.0025
2024-04-25:12,48,7,0.0501,0.0059,0.27,0.0025
2024-04-25:11,,,,,,
2024-04-25:10,,,,,,
2024-04-25:09,16,10,0.0198,0.0130,0.38,0.0026
2024-04-25:08,18,10,0.0199,0.0099,0.34,0.0023
2024-04-25:07,22,12,0.0156,0.0084,0.30,0.0022
2024-04-25:06,26,12,0.0177,0.0069,0.28,0.0022
2024-04-25:05,25,13,0.0217,0.0050,0.28,0.0022
2024-04-25:04,23,12,0.0236,0.0051,0.28,0.0022
2024-04-25:03,22,12,0.0257,0.0055,0.28,0.0022
2024-04-25:02,23,13,0.0327,0.0049,0.26,0.0022
2024-04-25:01,23,11,0.0347,0.0064,0.32,0.0022
2024-04-24:24,22,11,0.0325,0.0087,0.33,0.0022
2024-04-24:23,23,8,0.0410,0.0077,0.33,0.0022
2024-04-24:22,27,10,0.0500,0.0055,0.30,0.0021
2024-04-24:21,28,12,0.0522,0.0043,0.29,0.0021
2024-04-24:20,28,11,0.0526,0.0050,0.27,0.0021
2024-04-24:19,28,9,0.0569,0.0042,0.26,0.0021
2024-04-24:18,27,7,0.0592,0.0035,0.25,0.0021
2024-04-24:17,23,7,0.0599,0.0031,0.28,0.0021
2024-04-24:16,,,,,,
2024-04-24:15,,,,,,
2024-04-24:14,,,,,,
2024-04-24:13,,,,,,
2024-04-24:12,20,13,0.0482,0.0048,0.30,0.0022
2024-04-24:11,17,12,0.0294,0.0075,0.34,0.0026
2024-04-24:10,14,10,0.0210,0.0088,0.31,0.0025
2024-04-24:09,13,10,0.0184,0.0103,0.31,0.0024
2024-04-24:08,12,7,0.0211,0.0079,0.29,0.0023
2024-04-24:07,8,5,0.0201,0.0065,0.28,0.0022
2024-04-24:06,8,5,0.0292,0.0038,0.24,0.0022
2024-04-24:05,8,7,0.0307,0.0028,0.25,0.0021
2024-04-24:04,10,6,0.0315,0.0028,0.25,0.0021
2024-04-24:03,18,5,0.0307,0.0028,0.25,0.0022
2024-04-24:02,14,4,0.0303,0.0029,0.24,0.0020
2024-04-24:01,12,7,0.0300,0.0030,0.24,0.0021
2024-04-23:24,17,10,0.0310,0.0032,0.26,0.0021
2024-04-23:23,23,11,0.0314,0.0039,0.27,0.0021
2024-04-23:22,29,13,0.0335,0.0042,0.29,0.0022
2024-04-23:21,29,11,0.0360,0.0048,0.32,0.0022
2024-04-23:20,28,14,0.0402,0.0057,0.34,0.0023
2024-04-23:19,28,15,0.0457,0.0053,0.29,0.0023
2024-04-23:18,28,12,0.0523,0.0045,0.26,0.0023
2024-04-23:17,28,14,0.0556,0.0039,0.27,0.0023
2024-04-23:16,28,15,0.0586,0.0035,0.25,0.0023
2024-04-23:15,27,15,0.0592,0.0035,0.27,0.0022
2024-04-23:14,25,15,0.0607,0.0035,0.29,0.0022
2024-04-23:13,24,15,0.0632,0.0034,0.29,0.0023
2024-04-23:12,23,16,0.0612,0.0036,0.29,0.0023
2024-04-23:11,21,17,0.0606,0.0033,0.28,0.0022
2024-04-23:10,17,,0.0558,0.0036,0.29,0.0023
2024-04-23:09,18,11,0.0510,0.0042,0.28,0.0022
2024-04-23:08,19,10,0.0472,0.0044,0.28,0.0022
2024-04-23:07,23,14,0.0435,0.0056,0.29,0.0022
2024-04-23:06,27,13,0.0449,0.0042,0.29,0.0023
2024-04-23:05,30,14,0.0431,0.0034,0.28,0.0022
2024-04-23:04,33,16,0.0438,0.0030,0.27,0.0022
2024-04-23:03,35,17,0.0441,0.0032,0.23,0.0022
2024-04-23:02,33,18,0.0419,0.0034,0.26,0.0022
2024-04-23:01,30,13,0.0334,0.0047,0.25,0.0022
2024-04-22:24,30,15,0.0313,0.0049,0.25,0.0022
2024-04-22:23,31,16,0.0304,0.0056,0.27,0.0022
2024-04-22:22,31,16,0.0302,0.0065,0.28,0.0021
2024-04-22:21,29,13,0.0300,0.0073,0.28,0.0022
2024-04-22:20,30,12,0.0422,0.0045,0.26,0.0020
2024-04-22:19,31,11,0.0427,0.0048,0.26,0.0021
2024-04-22:18,31,13,0.0400,0.0053,0.26,0.0022
2024-04-22:17,31,14,0.0410,0.0044,0.26,0.0021
2024-04-22:16,30,15,0.0428,0.0041,0.27,0.0022
2024-04-22:15,29,16,0.0433,0.0040,0.25,0.0022
2024-04-22:14,30,16,0.0432,0.0045,0.27,0.0022
2024-04-22:13,31,17,0.0419,0.0047,0.27,0.0022
2024-04-22:12,32,17,0.0418,0.0045,0.28,0.0021
2024-04-22:11,37,19,0.0447,0.0038,0.29,0.0021
2024-04-22:10,41,18,0.0452,0.0043,0.30,0.0022
2024-04-22:09,41,18,0.0409,0.0051,0.32,0.0022
2024-04-22:08,45,19,0.0382,0.0053,0.30,0.0022
2024-04-22:07,42,20,0.0387,0.0052,0.31,0.0022
2024-04-22:06,40,21,0.0432,0.0042,0.32,0.0021
2024-04-22:05,38,18,0.0459,0.0032,0.30,0.0022
2024-04-22:04,35,17,0.0471,0.0029,0.30,0.0021
2024-04-22:03,28,17,0.0427,0.0034,0.29,0.0021
2024-04-22:02,25,16,0.0394,0.0034,0.29,0.0021
2024-04-22:01,22,11,0.0379,0.0034,0.27,0.0021
2024-04-21:24,18,8,0.0363,0.0036,0.26,0.0021
2024-04-21:23,16,7,0.0353,0.0039,0.27,0.0021
2024-04-21:22,16,8,0.0357,0.0046,0.27,0.0022
