tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,11,4,0.0209,0.0048,0.13,0.0025
2024-06-30:23,11,4,0.0211,0.0071,0.16,0.0026
2024-06-30:22,9,4,0.0242,0.0084,0.16,0.0027
2024-06-30:21,11,7,0.0192,0.0142,0.16,0.0027
2024-06-30:20,11,5,0.0273,0.0079,0.15,0.0027
2024-06-30:19,11,3,0.0344,0.0040,0.14,0.0026
2024-06-30:18,11,4,0.0357,0.0038,0.15,0.0027
2024-06-30:17,9,5,0.0338,0.0042,0.14,0.0026
2024-06-30:16,11,3,0.0227,0.0059,0.13,0.0026
2024-06-30:15,9,,0.0188,0.0062,0.13,0.0026
2024-06-30:14,5,1,0.0220,0.0037,0.13,0.0025
2024-06-30:13,3,,0.0246,0.0031,0.12,0.0025
2024-06-30:12,3,1,0.0233,0.0024,0.12,0.0026
2024-06-30:11,7,3,0.0198,0.0028,0.12,0.0025
2024-06-30:10,9,6,0.0208,0.0021,0.11,0.0024
2024-06-30:09,7,3,0.0216,0.0018,0.11,0.0025
2024-06-30:08,7,5,0.0217,0.0019,0.10,0.0026
2024-06-30:07,9,5,0.0233,0.0019,0.10,0.0026
2024-06-30:06,13,5,0.0266,0.0011,0.11,0.0026
2024-06-30:05,17,6,0.0285,0.0006,0.11,0.0025
2024-06-30:04,19,5,0.0273,0.0008,0.11,0.0025
2024-06-30:03,19,6,0.0254,0.0011,0.10,0.0026
2024-06-30:02,13,6,0.0218,0.0034,0.10,0.0027
2024-06-30:01,17,7,0.0233,0.0028,0.10,0.0025
2024-06-29:24,15,8,0.0225,0.0034,0.11,0.0026
2024-06-29:23,15,7,0.0244,0.0035,0.11,0.0025
2024-06-29:22,9,3,0.0195,0.0046,0.11,0.0025
2024-06-29:21,5,1,0.0218,0.0036,0.11,0.0025
2024-06-29:20,7,1,0.0228,0.0039,0.13,0.0026
2024-06-29:19,9,2,0.0212,0.0048,0.14,0.0025
2024-06-29:18,7,2,0.0276,0.0062,0.15,0.0025
2024-06-29:17,11,4,0.0335,0.0059,0.16,0.0025
2024-06-29:16,13,7,0.0430,0.0079,0.23,0.0026
2024-06-29:15,19,13,0.0528,0.0072,0.23,0.0027
2024-06-29:14,17,14,0.0530,0.0061,0.18,0.0026
2024-06-29:13,17,12,0.0580,0.0073,0.20,0.0026
2024-06-29:12,17,10,0.0567,0.0082,0.20,0.0027
2024-06-29:11,17,8,0.0557,0.0082,0.20,0.0027
2024-06-29:10,21,9,0.0439,0.0138,0.18,0.0026
