tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,17,9,0.0353,0.0058,0.28,0.0027
2024-02-29:23,17,9,0.0365,0.0058,0.23,0.0026
2024-02-29:22,9,4,0.0375,0.0057,0.23,0.0027
2024-02-29:21,11,5,0.0371,0.0059,0.24,0.0028
2024-02-29:20,7,5,0.0362,0.0061,0.24,0.0028
2024-02-29:19,7,5,0.0332,0.0066,0.24,0.0030
2024-02-29:18,,,0.0341,0.0064,0.24,0.0031
2024-02-29:17,15,6,0.0354,0.0065,0.25,0.0033
2024-02-29:16,11,8,0.0355,0.0064,0.25,0.0034
2024-02-29:15,11,7,0.0387,0.0064,0.25,0.0035
2024-02-29:14,13,7,0.0408,0.0063,0.24,0.0035
2024-02-29:13,13,9,0.0378,0.0065,0.24,0.0036
2024-02-29:12,17,6,0.0412,0.0066,0.25,0.0037
2024-02-29:11,21,6,0.0371,0.0073,0.26,0.0037
2024-02-29:10,19,4,0.0404,0.0076,0.27,0.0038
2024-02-29:09,47,18,0.0216,0.0094,0.33,0.0041
2024-02-29:08,45,19,0.0062,0.0097,0.33,0.0039
2024-02-29:07,33,17,0.0276,0.0072,0.28,0.0038
2024-02-29:06,31,16,0.0249,0.0078,0.30,0.0040
2024-02-29:05,35,21,0.0175,0.0083,0.31,0.0042
2024-02-29:04,37,22,0.0239,0.0078,0.31,0.0040
2024-02-29:03,31,14,0.0321,0.0067,0.27,0.0036
2024-02-29:02,25,13,0.0362,0.0066,0.26,0.0035
2024-02-29:01,25,10,0.0396,0.0065,0.26,0.0033
2024-02-28:24,25,7,0.0414,0.0063,0.25,0.0033
2024-02-28:23,21,9,0.0474,0.0058,0.24,0.0033
2024-02-28:22,25,9,0.0465,0.0061,0.25,0.0034
2024-02-28:21,21,9,0.0452,0.0064,0.25,0.0034
2024-02-28:20,31,11,0.0444,0.0067,0.25,0.0037
2024-02-28:19,25,9,0.0447,0.0069,0.25,0.0037
2024-02-28:18,21,8,0.0488,0.0065,0.24,0.0037
2024-02-28:17,25,10,0.0492,0.0065,0.25,0.0038
2024-02-28:16,33,10,0.0486,0.0067,0.26,0.0038
2024-02-28:15,33,13,0.0468,0.0071,0.26,0.0039
2024-02-28:14,39,13,0.0395,0.0076,0.27,0.0038
2024-02-28:13,37,13,0.0310,0.0080,0.29,0.0041
2024-02-28:12,47,14,,0.0086,0.30,0.0045
2024-02-28:11,61,20,0.0033,0.0076,0.31,0.0041
2024-02-28:10,71,25,0.0012,0.0073,0.36,0.0037
2024-02-28:09,65,22,0.0010,0.0071,0.37,0.0034
2024-02-28:08,47,19,0.0010,0.0070,0.32,0.0031
2024-02-28:07,33,13,0.0012,0.0068,0.27,0.0026
2024-02-28:06,39,17,0.0016,0.0060,0.25,0.0027
2024-02-28:05,33,13,0.0021,0.0056,0.23,0.0026
2024-02-28:04,33,13,0.0023,0.0053,0.23,0.0026
2024-02-28:03,31,12,0.0024,0.0051,0.23,0.0025
2024-02-28:02,25,6,0.0024,0.0050,0.22,0.0024
2024-02-28:01,29,7,0.0025,0.0051,0.22,0.0024
2024-02-27:24,27,6,0.0029,0.0051,0.22,0.0024
2024-02-27:23,25,7,0.0031,0.0052,0.23,0.0024
2024-02-27:22,31,8,0.0029,0.0054,0.23,0.0026
2024-02-27:21,25,9,0.0027,0.0055,0.24,0.0027
2024-02-27:20,31,8,0.0027,0.0055,0.25,0.0029
2024-02-27:19,27,9,0.0024,0.0056,0.26,0.0030
2024-02-27:18,31,10,0.0024,0.0055,0.27,0.0031
2024-02-27:17,31,11,0.0024,0.0056,0.29,0.0029
2024-02-27:16,31,11,0.0024,0.0057,0.33,0.0027
2024-02-27:15,33,9,0.0026,0.0055,0.39,0.0024
2024-02-27:14,31,12,0.0026,0.0057,0.53,0.0023
2024-02-27:13,35,13,0.0036,0.0072,0.64,0.0022
2024-02-27:12,,,,,,
2024-02-27:11,,,,,,
2024-02-27:10,,,,,,
2024-02-27:09,25,11,0.0455,0.0072,0.22,0.0028
2024-02-27:08,25,11,0.0431,0.0087,0.23,0.0027
2024-02-27:07,21,9,0.0451,0.0073,0.23,0.0028
2024-02-27:06,23,9,0.0455,0.0060,0.24,0.0030
2024-02-27:05,17,10,0.0442,0.0060,0.27,0.0031
2024-02-27:04,17,10,0.0442,0.0058,0.26,0.0030
2024-02-27:03,15,7,0.0434,0.0057,0.24,0.0031
2024-02-27:02,17,7,0.0429,0.0060,0.25,0.0031
2024-02-27:01,11,8,0.0442,0.0056,0.22,0.0030
2024-02-26:24,15,7,0.0436,0.0061,0.25,0.0031
2024-02-26:23,17,6,0.0429,0.0069,0.27,0.0032
2024-02-26:22,21,7,0.0420,0.0075,0.28,0.0032
2024-02-26:21,19,9,0.0429,0.0069,0.24,0.0033
2024-02-26:20,15,4,0.0429,0.0072,0.23,0.0034
2024-02-26:19,15,6,0.0402,0.0088,0.23,0.0036
2024-02-26:18,11,4,0.0428,0.0079,0.22,0.0038
2024-02-26:17,15,5,0.0423,0.0080,0.23,0.0041
2024-02-26:16,13,6,0.0432,0.0078,0.23,0.0041
2024-02-26:15,17,5,0.0457,0.0071,0.22,0.0041
2024-02-26:14,9,3,0.0461,0.0072,0.20,0.0038
2024-02-26:13,11,1,0.0451,0.0068,0.20,0.0036
2024-02-26:12,13,4,0.0428,0.0072,0.20,0.0034
2024-02-26:11,19,7,0.0367,0.0082,0.22,0.0035
2024-02-26:10,23,9,0.0301,0.0089,0.23,0.0032
2024-02-26:09,25,8,0.0246,0.0092,0.25,0.0030
2024-02-26:08,19,8,0.0150,0.0153,0.31,0.0029
2024-02-26:07,15,10,0.0177,0.0122,0.28,0.0031
2024-02-26:06,15,7,0.0187,0.0103,0.27,0.0029
2024-02-26:05,15,9,0.0243,0.0076,0.24,0.0030
2024-02-26:04,17,6,0.0252,0.0071,0.24,0.0032
2024-02-26:03,,,0.0245,0.0077,0.23,0.0031
2024-02-26:02,15,8,0.0269,0.0079,0.24,0.0033
2024-02-26:01,11,3,0.0248,0.0092,0.24,0.0033
2024-02-25:24,9,4,0.0300,0.0080,0.25,0.0033
2024-02-25:23,7,4,0.0313,0.0081,0.23,0.0034
2024-02-25:22,17,6,0.0310,0.0081,0.23,0.0035
2024-02-25:21,11,6,0.0293,0.0090,0.25,0.0037
2024-02-25:20,7,3,0.0301,0.0094,0.24,0.0036
2024-02-25:19,5,4,0.0317,0.0088,0.23,0.0037
2024-02-25:18,7,5,0.0348,0.0076,0.22,0.0038
2024-02-25:17,7,3,0.0360,0.0074,0.22,0.0037
2024-02-25:16,11,3,0.0377,0.0066,0.21,0.0037
2024-02-25:15,13,3,0.0351,0.0072,0.22,0.0036
2024-02-25:14,9,5,0.0338,0.0077,0.22,0.0035
2024-02-25:13,7,7,0.0332,0.0071,0.22,0.0032
2024-02-25:12,9,6,0.0316,0.0068,0.22,0.0030
2024-02-25:11,11,6,0.0297,0.0074,0.23,0.0028
2024-02-25:10,9,5,0.0264,0.0082,0.23,0.0027
2024-02-25:09,9,6,0.0266,0.0077,0.24,0.0027
2024-02-25:08,9,5,0.0265,0.0077,0.24,0.0027
2024-02-25:07,9,5,0.0283,0.0064,0.24,0.0027
2024-02-25:06,7,6,0.0289,0.0062,0.24,0.0027
