tm,pm10,pm25,o3,no2,co,so2
2024-04-26:20,31,13,0.0417,0.0240,0.29,0.0027
2024-04-26:19,35,15,0.0416,0.0300,0.29,0.0029
2024-04-26:18,39,14,0.0470,0.0285,0.28,0.0031
2024-04-26:17,35,17,0.0602,0.0207,0.28,0.0028
2024-04-26:16,27,13,0.0595,0.0162,0.24,0.0028
2024-04-26:15,49,15,0.0536,0.0220,0.27,0.0030
2024-04-26:14,57,28,0.0436,0.0359,0.38,0.0035
2024-04-26:13,75,38,0.0378,0.0381,0.46,0.0038
2024-04-26:12,79,42,0.0171,0.0452,0.52,0.0034
2024-04-26:11,71,33,0.0098,0.0467,0.54,0.0033
2024-04-26:10,75,35,0.0085,0.0468,0.52,0.0034
2024-04-26:09,55,25,0.0133,0.0368,0.49,0.0031
2024-04-26:08,31,16,0.0186,0.0246,0.50,0.0027
2024-04-26:07,41,25,0.0096,0.0296,0.45,0.0028
2024-04-26:06,33,15,0.0234,0.0184,0.47,0.0027
2024-04-26:05,43,22,0.0209,0.0204,0.44,0.0027
2024-04-26:04,31,13,0.0302,0.0141,0.39,0.0026
2024-04-26:03,29,16,0.0314,0.0139,0.37,0.0026
2024-04-26:02,25,11,0.0367,0.0112,0.34,0.0024
2024-04-26:01,25,15,0.0378,0.0115,0.33,0.0024
2024-04-25:24,25,9,0.0390,0.0123,0.32,0.0024
2024-04-25:23,25,11,0.0454,0.0125,0.33,0.0025
2024-04-25:22,25,11,0.0451,0.0143,0.34,0.0026
2024-04-25:21,29,11,0.0474,0.0157,0.34,0.0026
2024-04-25:20,31,15,0.0552,0.0165,0.36,0.0028
2024-04-25:19,29,10,0.0645,0.0194,0.35,0.0029
2024-04-25:18,31,11,0.0636,0.0164,0.28,0.0027
2024-04-25:17,37,9,0.0666,0.0134,0.25,0.0027
2024-04-25:16,43,10,0.0595,0.0195,0.24,0.0026
2024-04-25:15,43,9,0.0607,0.0172,0.24,0.0025
2024-04-25:14,25,8,0.0674,0.0077,0.22,0.0023
2024-04-25:13,27,6,0.0646,0.0060,0.22,0.0023
2024-04-25:12,23,6,0.0602,0.0067,0.21,0.0025
2024-04-25:11,21,5,0.0573,0.0072,0.22,0.0024
2024-04-25:10,19,6,0.0550,0.0074,0.23,0.0023
2024-04-25:09,21,8,0.0507,0.0078,0.24,0.0023
2024-04-25:08,23,10,0.0460,0.0077,0.24,0.0023
2024-04-25:07,19,10,0.0419,0.0087,0.25,0.0023
2024-04-25:06,21,9,0.0415,0.0083,0.24,0.0023
2024-04-25:05,19,7,0.0395,0.0078,0.24,0.0023
2024-04-25:04,21,9,0.0418,0.0070,0.24,0.0023
2024-04-25:03,23,11,0.0445,0.0062,0.24,0.0025
2024-04-25:02,23,10,0.0434,0.0063,0.23,0.0025
2024-04-25:01,29,8,0.0432,0.0070,0.24,0.0026
2024-04-24:24,29,9,0.0487,0.0065,0.23,0.0025
2024-04-24:23,31,9,0.0420,0.0104,0.26,0.0022
2024-04-24:22,29,12,0.0365,0.0122,0.26,0.0022
2024-04-24:21,29,13,0.0354,0.0135,0.28,0.0022
2024-04-24:20,33,15,0.0406,0.0124,0.27,0.0023
2024-04-24:19,33,13,0.0525,0.0107,0.25,0.0022
2024-04-24:18,35,10,0.0632,0.0056,0.20,0.0022
2024-04-24:17,35,13,0.0617,0.0061,0.20,0.0022
2024-04-24:16,,,,,,
2024-04-24:15,,,,,,
2024-04-24:14,,,,,,
2024-04-24:13,,,,,,
2024-04-24:12,23,12,0.0327,0.0137,0.24,0.0022
2024-04-24:11,23,11,0.0192,0.0191,0.26,0.0022
2024-04-24:10,23,13,0.0137,0.0245,0.26,0.0023
2024-04-24:09,17,6,0.0242,0.0148,0.24,0.0023
2024-04-24:08,13,6,0.0258,0.0089,0.23,0.0022
2024-04-24:07,13,7,0.0234,0.0089,0.23,0.0021
2024-04-24:06,11,6,0.0271,0.0067,0.22,0.0020
2024-04-24:05,11,5,0.0329,0.0049,0.20,0.0019
2024-04-24:04,15,5,0.0307,0.0045,0.21,0.0018
2024-04-24:03,11,6,0.0279,0.0058,0.22,0.0018
2024-04-24:02,7,4,0.0295,0.0048,0.22,0.0019
2024-04-24:01,5,4,0.0313,0.0051,0.22,0.0019
2024-04-23:24,7,3,0.0303,0.0062,0.24,0.0018
2024-04-23:23,5,1,0.0386,0.0054,0.23,0.0018
2024-04-23:22,9,3,0.0411,0.0047,0.20,0.0018
2024-04-23:21,15,6,0.0336,0.0070,0.22,0.0018
