tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,7,5,0.0117,0.0300,0.33,0.0026
2024-02-29:23,6,1,0.0127,0.0305,0.31,0.0025
2024-02-29:22,5,3,0.0159,0.0286,0.33,0.0025
2024-02-29:21,7,3,0.0318,0.0137,0.32,0.0025
2024-02-29:20,7,0,0.0299,0.0168,0.35,0.0024
2024-02-29:19,7,1,0.0271,0.0226,0.41,0.0026
2024-02-29:18,7,4,0.0322,0.0183,0.44,0.0028
2024-02-29:17,10,5,0.0326,0.0187,0.47,0.0028
2024-02-29:16,11,5,0.0289,0.0228,0.42,0.0026
2024-02-29:15,11,6,0.0331,0.0192,0.35,0.0030
2024-02-29:14,14,9,0.0340,0.0201,0.35,0.0029
2024-02-29:13,19,12,0.0293,0.0240,0.44,0.0032
2024-02-29:12,24,16,0.0159,0.0361,0.44,0.0033
2024-02-29:11,26,13,0.0186,0.0334,0.40,0.0036
2024-02-29:10,23,8,0.0244,0.0270,0.36,0.0030
2024-02-29:09,21,8,0.0252,0.0234,0.32,0.0027
2024-02-29:08,22,10,0.0145,0.0331,0.32,0.0025
2024-02-29:07,20,10,0.0196,0.0278,0.32,0.0029
2024-02-29:06,19,8,0.0331,0.0137,0.28,0.0027
2024-02-29:05,21,9,0.0317,0.0139,0.30,0.0027
2024-02-29:04,23,11,0.0236,0.0192,0.36,0.0028
2024-02-29:03,26,15,0.0203,0.0216,0.34,0.0033
2024-02-29:02,25,11,0.0250,0.0181,0.36,0.0033
2024-02-29:01,22,13,0.0296,0.0161,0.32,0.0033
2024-02-28:24,22,13,0.0287,0.0193,0.32,0.0033
2024-02-28:23,25,12,0.0315,0.0182,0.35,0.0031
2024-02-28:22,23,11,0.0218,0.0270,0.40,0.0040
2024-02-28:21,23,12,0.0207,0.0315,0.35,0.0041
2024-02-28:20,24,11,0.0314,0.0246,0.32,0.0064
2024-02-28:19,26,13,0.0448,0.0141,0.31,0.0085
2024-02-28:18,24,12,0.0476,0.0145,0.29,0.0063
2024-02-28:17,23,14,0.0515,0.0138,0.28,0.0049
2024-02-28:16,24,11,0.0521,0.0111,0.28,0.0044
2024-02-28:15,20,10,0.0502,0.0100,0.28,0.0032
2024-02-28:14,21,10,0.0496,0.0084,0.29,0.0027
2024-02-28:13,19,11,0.0508,0.0077,0.30,0.0028
2024-02-28:12,23,10,0.0482,0.0092,0.29,0.0030
2024-02-28:11,29,8,0.0415,0.0133,0.27,0.0026
2024-02-28:10,32,8,0.0260,0.0291,0.35,0.0025
2024-02-28:09,29,8,0.0063,0.0503,0.59,0.0027
2024-02-28:08,25,8,0.0042,0.0442,0.57,0.0021
2024-02-28:07,25,9,0.0028,0.0408,0.34,0.0025
2024-02-28:06,23,7,0.0096,0.0304,0.32,0.0024
2024-02-28:05,23,9,0.0235,0.0184,0.30,0.0021
2024-02-28:04,21,8,0.0330,0.0110,0.29,0.0023
2024-02-28:03,24,11,0.0282,0.0149,0.30,0.0022
2024-02-28:02,24,9,0.0257,0.0172,0.29,0.0021
2024-02-28:01,29,11,0.0277,0.0157,0.33,0.0026
2024-02-27:24,29,12,0.0224,0.0214,0.35,0.0024
2024-02-27:23,30,12,0.0220,0.0236,0.49,0.0027
2024-02-27:22,31,13,0.0299,0.0181,0.36,0.0025
2024-02-27:21,30,11,0.0291,0.0207,0.44,0.0029
2024-02-27:20,29,14,0.0313,0.0196,0.41,0.0027
2024-02-27:19,31,13,0.0353,0.0165,0.49,0.0032
2024-02-27:18,29,12,0.0390,0.0132,0.42,0.0028
2024-02-27:17,27,11,0.0420,0.0108,0.31,0.0027
2024-02-27:16,32,8,0.0443,0.0086,0.28,0.0021
2024-02-27:15,34,12,0.0392,0.0138,0.34,0.0021
2024-02-27:14,37,10,0.0413,0.0114,0.30,0.0027
2024-02-27:13,34,14,0.0419,0.0109,0.34,0.0024
2024-02-27:12,28,12,0.0378,0.0150,0.34,0.0027
2024-02-27:11,27,15,0.0345,0.0179,0.36,0.0025
2024-02-27:10,28,11,0.0327,0.0195,0.40,0.0026
2024-02-27:09,26,12,0.0245,0.0270,0.45,0.0027
2024-02-27:08,24,9,0.0171,0.0339,0.36,0.0026
