tm,pm10,pm25,o3,no2,co,so2
2024-04-26:20,42,33,0.0510,0.0121,0.71,0.0023
2024-04-26:19,48,38,0.0638,0.0138,0.71,0.0025
2024-04-26:18,51,36,0.0734,0.0122,0.69,0.0027
2024-04-26:17,49,36,0.0777,0.0126,0.74,0.0040
2024-04-26:16,55,34,0.0713,0.0155,0.69,0.0034
2024-04-26:15,55,33,0.0704,0.0115,0.71,0.0036
2024-04-26:14,46,37,0.0708,0.0083,0.72,0.0046
2024-04-26:13,48,30,0.0621,0.0069,0.70,0.0037
2024-04-26:12,53,36,0.0446,0.0078,0.62,0.0019
2024-04-26:11,46,37,0.0346,0.0073,0.56,0.0016
2024-04-26:10,42,31,0.0260,0.0068,0.55,0.0015
2024-04-26:09,33,32,0.0178,0.0072,0.56,0.0014
2024-04-26:08,35,28,0.0154,0.0081,0.55,0.0013
2024-04-26:07,30,21,0.0124,0.0086,0.52,0.0013
2024-04-26:06,30,21,0.0153,0.0066,0.51,0.0014
2024-04-26:05,33,18,0.0159,0.0066,0.50,0.0013
2024-04-26:04,35,27,0.0185,0.0059,0.49,0.0014
2024-04-26:03,34,21,0.0199,0.0071,0.51,0.0014
2024-04-26:02,31,20,0.0207,0.0070,0.49,0.0014
2024-04-26:01,45,22,0.0262,0.0072,0.50,0.0018
2024-04-25:24,29,24,0.0291,0.0076,0.50,0.0014
2024-04-25:23,35,22,0.0305,0.0079,0.49,0.0015
2024-04-25:22,33,26,0.0347,0.0087,0.51,0.0015
2024-04-25:21,32,19,0.0470,0.0091,0.51,0.0017
2024-04-25:20,37,18,0.0543,0.0089,0.49,0.0018
2024-04-25:19,48,17,0.0581,0.0096,0.45,0.0016
2024-04-25:18,72,19,0.0654,0.0043,0.33,0.0013
2024-04-25:17,55,11,0.0702,0.0039,0.35,0.0014
2024-04-25:16,46,18,0.0717,0.0042,0.37,0.0014
2024-04-25:15,37,12,0.0683,0.0042,0.38,0.0014
2024-04-25:14,32,11,0.0643,0.0043,0.38,0.0015
2024-04-25:13,26,13,0.0589,0.0044,0.38,0.0015
2024-04-25:12,27,10,0.0534,0.0044,0.37,0.0014
2024-04-25:11,18,15,0.0488,0.0043,0.38,0.0014
2024-04-25:10,29,15,0.0423,0.0048,0.39,0.0015
2024-04-25:09,25,18,0.0364,0.0049,0.40,0.0014
2024-04-25:08,30,18,0.0298,0.0052,0.39,0.0015
2024-04-25:07,24,20,0.0246,0.0061,0.39,0.0013
2024-04-25:06,23,17,0.0264,0.0055,0.38,0.0014
2024-04-25:05,22,15,0.0287,0.0053,0.38,0.0012
2024-04-25:04,27,14,0.0296,0.0046,0.37,0.0013
2024-04-25:03,27,20,0.0312,0.0045,0.37,0.0013
2024-04-25:02,27,14,0.0308,0.0045,0.37,0.0012
2024-04-25:01,26,12,0.0334,0.0042,0.36,0.0013
2024-04-24:24,27,10,0.0344,0.0039,0.36,0.0013
2024-04-24:23,31,15,0.0359,0.0041,0.36,0.0013
2024-04-24:22,33,14,0.0443,0.0041,0.36,0.0013
2024-04-24:21,33,13,0.0448,0.0045,0.34,0.0013
2024-04-24:20,32,17,0.0555,0.0037,0.33,0.0012
2024-04-24:19,33,14,0.0591,0.0035,0.32,0.0012
2024-04-24:18,38,16,0.0616,0.0032,0.31,0.0012
2024-04-24:17,35,,0.0606,0.0031,0.31,0.0012
2024-04-24:16,46,19,0.0585,0.0031,0.33,0.0012
2024-04-24:15,42,13,0.0563,0.0032,0.35,0.0013
2024-04-24:14,29,15,0.0517,0.0036,0.39,0.0013
2024-04-24:13,28,16,0.0435,0.0046,0.41,0.0013
2024-04-24:12,22,18,0.0318,0.0072,0.42,0.0013
2024-04-24:11,16,15,0.0236,0.0084,0.43,0.0012
2024-04-24:10,18,17,0.0220,0.0098,0.41,0.0012
2024-04-24:09,12,10,0.0285,0.0043,0.37,0.0012
2024-04-24:08,13,13,0.0235,0.0036,0.37,0.0012
2024-04-24:07,12,6,0.0210,0.0046,0.37,0.0012
2024-04-24:06,6,,0.0242,0.0032,0.36,0.0012
2024-04-24:05,6,5,0.0276,0.0028,0.36,0.0012
2024-04-24:04,9,9,0.0278,0.0028,0.37,0.0012
2024-04-24:03,6,,0.0333,0.0024,0.36,0.0012
2024-04-24:02,5,,0.0330,0.0025,0.36,0.0012
2024-04-24:01,6,,0.0330,0.0025,0.36,0.0012
2024-04-23:24,9,5,0.0323,0.0029,0.37,0.0012
2024-04-23:23,6,5,0.0331,0.0031,0.38,0.0012
2024-04-23:22,8,7,0.0353,0.0031,0.38,0.0012
2024-04-23:21,12,7,0.0343,0.0034,0.39,0.0012
2024-04-23:20,13,,0.0363,0.0038,0.39,0.0013
2024-04-23:19,28,18,0.0396,0.0040,0.37,0.0013
2024-04-23:18,27,13,0.0426,0.0039,0.36,0.0013
2024-04-23:17,31,16,0.0459,0.0038,0.36,0.0013
2024-04-23:16,,,,,,
2024-04-23:15,,,,,,
2024-04-23:14,23,12,0.0602,0.0030,0.43,0.0013
2024-04-23:13,34,14,0.0608,0.0031,0.43,0.0014
2024-04-23:12,34,12,0.0598,0.0030,0.43,0.0014
2024-04-23:11,35,18,0.0603,0.0031,0.44,0.0013
2024-04-23:10,39,16,0.0616,0.0034,0.46,0.0013
2024-04-23:09,31,25,0.0498,0.0046,0.50,0.0014
2024-04-23:08,31,23,0.0295,0.0074,0.51,0.0012
2024-04-23:07,24,18,0.0123,0.0085,0.49,0.0012
2024-04-23:06,26,25,0.0165,0.0066,0.47,0.0012
2024-04-23:05,33,19,0.0184,0.0053,0.47,0.0012
2024-04-23:04,28,22,0.0227,0.0052,0.47,0.0012
2024-04-23:03,29,16,0.0216,0.0056,0.48,0.0012
2024-04-23:02,24,16,0.0284,0.0050,0.48,0.0013
2024-04-23:01,35,18,0.0357,0.0059,0.47,0.0012
2024-04-22:24,30,22,0.0448,0.0046,0.46,0.0013
2024-04-22:23,32,15,0.0474,0.0040,0.45,0.0014
2024-04-22:22,34,18,0.0484,0.0039,0.45,0.0014
2024-04-22:21,39,17,0.0486,0.0044,0.45,0.0012
2024-04-22:20,35,12,0.0468,0.0045,0.46,0.0013
2024-04-22:19,36,18,0.0474,0.0041,0.46,0.0012
2024-04-22:18,33,17,0.0471,0.0039,0.45,0.0012
2024-04-22:17,34,18,0.0453,0.0040,0.45,0.0012
2024-04-22:16,30,17,0.0440,0.0042,0.46,0.0013
2024-04-22:15,33,16,0.0439,0.0040,0.45,0.0012
2024-04-22:14,36,14,0.0441,0.0039,0.46,0.0012
2024-04-22:13,26,15,0.0450,0.0040,0.46,0.0012
2024-04-22:12,28,16,0.0463,0.0037,0.46,0.0012
2024-04-22:11,27,13,0.0472,0.0037,0.47,0.0012
2024-04-22:10,26,14,0.0479,0.0037,0.48,0.0012
2024-04-22:09,25,12,0.0488,0.0038,0.48,0.0012
2024-04-22:08,19,12,0.0485,0.0036,0.46,0.0012
2024-04-22:07,18,13,0.0498,0.0033,0.45,0.0012
2024-04-22:06,26,15,0.0512,0.0029,0.45,0.0012
2024-04-22:05,30,13,0.0530,0.0025,0.46,0.0012
2024-04-22:04,31,19,0.0534,0.0025,0.47,0.0012
2024-04-22:03,37,21,0.0540,0.0026,0.47,0.0012
2024-04-22:02,38,27,0.0547,0.0027,0.48,0.0012
2024-04-22:01,46,22,0.0532,0.0027,0.48,0.0012
2024-04-21:24,45,24,0.0515,0.0028,0.48,0.0012
2024-04-21:23,39,25,0.0523,0.0025,0.47,0.0012
2024-04-21:22,25,15,0.0506,0.0026,0.48,0.0012
2024-04-21:21,20,14,0.0501,0.0027,0.49,0.0012
2024-04-21:20,20,11,0.0503,0.0028,0.50,0.0011
2024-04-21:19,19,11,0.0475,0.0031,0.53,0.0012
2024-04-21:18,13,12,0.0454,0.0036,0.54,0.0012
2024-04-21:17,16,10,0.0465,0.0035,0.53,0.0012
2024-04-21:16,17,13,0.0385,0.0037,0.54,0.0012
2024-04-21:15,24,12,0.0286,0.0042,0.56,0.0013
2024-04-21:14,24,12,0.0290,0.0037,0.56,0.0013
2024-04-21:13,23,7,0.0306,0.0039,0.55,0.0012
2024-04-21:12,19,6,0.0286,0.0038,0.55,0.0013
2024-04-21:11,21,7,0.0285,0.0037,0.54,0.0012
2024-04-21:10,9,,0.0280,0.0035,0.52,0.0012
2024-04-21:09,26,14,0.0270,0.0034,0.50,0.0012
2024-04-21:08,19,3,0.0293,0.0034,0.48,0.0013
2024-04-21:07,19,5,0.0279,0.0037,0.47,0.0012
2024-04-21:06,11,5,0.0312,0.0035,0.46,0.0012
2024-04-21:05,17,1,0.0359,0.0027,0.46,0.0012
2024-04-21:04,15,2,0.0387,0.0024,0.45,0.0012
2024-04-21:03,15,4,0.0404,0.0023,0.44,0.0012
2024-04-21:02,6,4,0.0419,0.0024,0.44,0.0012
2024-04-21:01,8,0,0.0429,0.0025,0.44,0.0012
2024-04-20:24,13,1,0.0422,0.0028,0.45,0.0012
2024-04-20:23,9,6,0.0478,0.0029,0.45,0.0012
2024-04-20:22,8,,0.0452,0.0035,0.44,0.0013
2024-04-20:21,6,5,0.0482,0.0034,0.44,0.0012
2024-04-20:20,9,4,0.0501,0.0037,0.44,0.0012
2024-04-20:19,13,7,0.0528,0.0039,0.44,0.0013
2024-04-20:18,21,12,0.0510,0.0056,0.47,0.0013
2024-04-20:17,24,10,0.0524,0.0051,0.46,0.0012
2024-04-20:16,57,30,0.0497,0.0064,0.50,0.0013
2024-04-20:15,79,36,0.0436,0.0104,0.57,0.0016
2024-04-20:14,79,44,0.0305,0.0140,0.62,0.0015
2024-04-20:13,92,39,0.0311,0.0137,0.60,0.0015
2024-04-20:12,105,47,0.0297,0.0147,0.60,0.0017
2024-04-20:11,104,44,0.0275,0.0135,0.60,0.0016
2024-04-20:10,102,45,0.0265,0.0113,0.59,0.0017
2024-04-20:09,94,32,0.0288,0.0103,0.59,0.0018
2024-04-20:08,87,44,0.0267,0.0081,0.59,0.0018
2024-04-20:07,76,44,0.0210,0.0092,0.58,0.0018
2024-04-20:06,83,46,0.0251,0.0075,0.57,0.0015
2024-04-20:05,85,34,0.0256,0.0086,0.55,0.0015
2024-04-20:04,80,40,0.0284,0.0076,0.56,0.0016
2024-04-20:03,89,38,0.0327,0.0074,0.56,0.0015
2024-04-20:02,85,43,0.0328,0.0080,0.56,0.0016
2024-04-20:01,86,44,0.0379,0.0079,0.56,0.0016
2024-04-19:24,98,39,0.0368,0.0093,0.57,0.0016
2024-04-19:23,99,39,0.0423,0.0105,0.57,0.0017
2024-04-19:22,110,40,0.0496,0.0113,0.57,0.0020
2024-04-19:21,115,35,0.0585,0.0132,0.53,0.0020
2024-04-19:20,125,35,0.0610,0.0157,0.56,0.0018
2024-04-19:19,144,42,0.0814,0.0122,0.58,0.0024
2024-04-19:18,129,39,0.0823,0.0098,0.53,0.0028
2024-04-19:17,140,35,0.0820,0.0086,0.51,0.0028
2024-04-19:16,149,41,0.0803,0.0119,0.49,0.0027
2024-04-19:15,105,26,0.0778,0.0064,0.41,0.0019
2024-04-19:14,88,22,0.0758,0.0042,0.40,0.0018
2024-04-19:13,105,31,0.0733,0.0045,0.43,0.0019
2024-04-19:12,148,43,0.0683,0.0052,0.48,0.0021
2024-04-19:11,219,64,0.0623,0.0070,0.59,0.0029
2024-04-19:10,279,81,0.0457,0.0085,0.58,0.0024
2024-04-19:09,264,73,0.0357,0.0058,0.51,0.0018
2024-04-19:08,252,77,0.0221,0.0073,0.50,0.0016
2024-04-19:07,232,61,0.0192,0.0067,0.48,0.0013
2024-04-19:06,218,61,0.0157,0.0070,0.47,0.0015
2024-04-19:05,217,59,0.0170,0.0067,0.48,0.0020
2024-04-19:04,250,67,0.0202,0.0064,0.47,0.0013
2024-04-19:03,241,61,0.0193,0.0076,0.48,0.0013
2024-04-19:02,240,61,0.0193,0.0086,0.49,0.0014
2024-04-19:01,268,69,0.0236,0.0091,0.48,0.0014
2024-04-18:24,284,68,0.0241,0.0097,0.48,0.0014
2024-04-18:23,318,72,0.0307,0.0109,0.49,0.0015
2024-04-18:22,335,81,0.0363,0.0104,0.48,0.0017
2024-04-18:21,348,73,0.0426,0.0104,0.48,0.0015
2024-04-18:20,313,77,0.0569,0.0097,0.49,0.0017
2024-04-18:19,301,78,0.0731,0.0107,0.51,0.0021
2024-04-18:18,301,70,0.0731,0.0120,0.51,0.0021
2024-04-18:17,236,57,0.0714,0.0089,0.44,0.0018
2024-04-18:16,138,37,0.0722,0.0041,0.40,0.0017
2024-04-18:15,185,46,0.0728,0.0049,0.45,0.0018
2024-04-18:14,233,68,0.0778,0.0065,0.52,0.0019
2024-04-18:13,231,61,0.0724,0.0065,0.52,0.0021
2024-04-18:12,226,63,0.0663,0.0067,0.51,0.0022
2024-04-18:11,225,63,0.0513,0.0081,0.51,0.0020
2024-04-18:10,219,57,0.0386,0.0089,0.50,0.0019
2024-04-18:09,189,54,0.0294,0.0074,0.51,0.0018
2024-04-18:08,169,54,0.0190,0.0076,0.51,0.0016
2024-04-18:07,147,45,0.0112,0.0101,0.51,0.0019
2024-04-18:06,153,47,0.0147,0.0082,0.51,0.0017
2024-04-18:05,153,46,0.0153,0.0084,0.50,0.0015
2024-04-18:04,172,46,0.0189,0.0083,0.50,0.0018
2024-04-18:03,181,46,0.0195,0.0093,0.50,0.0022
2024-04-18:02,174,48,0.0197,0.0095,0.50,0.0016
2024-04-18:01,193,53,0.0209,0.0111,0.50,0.0016
2024-04-17:24,225,61,0.0266,0.0112,0.50,0.0017
2024-04-17:23,237,57,0.0290,0.0114,0.49,0.0017
2024-04-17:22,270,62,0.0318,0.0138,0.49,0.0018
2024-04-17:21,300,57,0.0413,0.0133,0.46,0.0018
2024-04-17:20,287,61,0.0447,0.0134,0.47,0.0018
2024-04-17:19,239,55,0.0483,0.0158,0.49,0.0020
2024-04-17:18,226,46,0.0610,0.0115,0.46,0.0022
2024-04-17:17,233,48,0.0640,0.0093,0.44,0.0021
2024-04-17:16,245,47,,,,
2024-04-17:15,271,61,,,,
2024-04-17:14,,,,,,
2024-04-17:13,,,,,,
2024-04-17:12,,,,,,
2024-04-17:11,,,0.0463,0.0042,0.45,0.0015
2024-04-17:10,158,40,0.0354,0.0068,0.48,0.0018
2024-04-17:09,136,31,0.0293,0.0071,0.47,0.0018
2024-04-17:08,93,29,0.0187,0.0075,0.46,0.0016
2024-04-17:07,88,24,0.0178,0.0071,0.44,0.0015
2024-04-17:06,78,23,0.0187,0.0054,0.44,0.0023
2024-04-17:05,86,24,0.0205,0.0057,0.44,0.0015
2024-04-17:04,82,22,0.0205,0.0053,0.43,0.0015
2024-04-17:03,77,22,0.0223,0.0047,0.43,0.0014
2024-04-17:02,82,23,0.0245,0.0041,0.42,0.0014
2024-04-17:01,94,24,0.0275,0.0044,0.42,0.0017
2024-04-16:24,103,22,0.0289,0.0046,0.42,0.0020
2024-04-16:23,105,29,0.0324,0.0050,0.41,0.0016
2024-04-16:22,115,27,0.0385,0.0046,0.40,0.0014
2024-04-16:21,131,33,0.0455,0.0039,0.38,0.0014
2024-04-16:20,147,32,0.0529,0.0035,0.37,0.0013
2024-04-16:19,134,32,0.0562,0.0037,0.38,0.0013
2024-04-16:18,116,24,0.0606,0.0031,0.39,0.0012
2024-04-16:17,107,26,0.0612,0.0029,0.38,0.0012
2024-04-16:16,76,22,0.0614,0.0029,0.43,0.0012
2024-04-16:15,57,27,0.0639,0.0041,0.60,0.0017
2024-04-16:14,67,28,0.0666,0.0048,0.70,0.0021
2024-04-16:13,68,35,0.0608,0.0056,0.82,0.0028
2024-04-16:12,71,30,0.0441,0.0055,0.80,0.0020
2024-04-16:11,67,27,0.0388,0.0051,0.71,0.0016
2024-04-16:10,63,27,0.0365,0.0048,0.66,0.0015
2024-04-16:09,35,15,0.0315,0.0051,0.55,0.0012
2024-04-16:08,32,17,0.0244,0.0053,0.56,0.0012
2024-04-16:07,29,8,0.0219,0.0055,0.54,0.0012
2024-04-16:06,25,14,0.0234,0.0051,0.55,0.0012
2024-04-16:05,23,12,0.0296,0.0040,0.55,0.0012
