tm,pm10,pm25,o3,no2,co,so2
2024-06-26:21,25,13,0.0408,0.0218,0.42,0.0061
2024-06-26:20,22,12,0.0514,0.0174,0.33,0.0050
2024-06-26:19,28,10,0.0517,0.0170,0.32,0.0061
2024-06-26:18,24,14,0.0613,0.0123,0.30,0.0042
2024-06-26:17,30,20,0.0758,0.0143,0.56,0.0121
2024-06-26:16,29,19,0.1068,0.0177,1.02,0.0140
2024-06-26:15,21,12,0.0843,0.0120,0.95,0.0112
2024-06-26:14,9,7,0.0681,0.0055,0.38,0.0046
2024-06-26:13,12,6,0.0585,0.0042,0.20,0.0028
2024-06-26:12,9,9,0.0590,0.0035,0.20,0.0031
2024-06-26:11,12,8,0.0556,0.0035,0.20,0.0029
2024-06-26:10,10,7,0.0492,0.0040,0.20,0.0026
2024-06-26:09,10,7,0.0425,0.0046,0.20,0.0025
2024-06-26:08,11,8,0.0327,0.0049,0.22,0.0026
2024-06-26:07,11,10,0.0283,0.0041,0.21,0.0027
2024-06-26:06,14,9,0.0259,0.0038,0.20,0.0024
2024-06-26:05,14,9,0.0256,0.0039,0.21,0.0025
2024-06-26:04,14,12,0.0328,0.0037,0.20,0.0025
2024-06-26:03,14,8,0.0320,0.0040,0.21,0.0025
2024-06-26:02,17,10,0.0355,0.0043,0.22,0.0027
2024-06-26:01,15,11,0.0312,0.0055,0.25,0.0028
2024-06-25:24,17,11,0.0340,0.0063,0.26,0.0028
2024-06-25:23,24,10,0.0417,0.0074,0.26,0.0031
2024-06-25:22,50,10,0.0347,0.0110,0.32,0.0037
2024-06-25:21,19,11,0.0373,0.0130,0.34,0.0042
2024-06-25:20,20,9,0.0400,0.0134,0.35,0.0044
2024-06-25:19,20,10,0.0477,0.0143,0.40,0.0048
2024-06-25:18,26,11,0.0673,0.0134,0.45,0.0054
2024-06-25:17,22,12,0.0729,0.0111,0.41,0.0049
2024-06-25:16,14,6,0.0552,0.0060,0.29,0.0034
2024-06-25:15,9,6,0.0514,0.0035,0.19,0.0026
2024-06-25:14,16,7,0.0510,0.0035,0.19,0.0027
2024-06-25:13,21,10,0.0515,0.0040,0.21,0.0026
2024-06-25:12,17,10,0.0506,0.0040,0.22,0.0025
2024-06-25:11,20,10,0.0486,0.0049,0.22,0.0027
2024-06-25:10,23,11,0.0472,0.0047,0.23,0.0028
2024-06-25:09,24,13,0.0451,0.0051,0.24,0.0026
2024-06-25:08,29,12,0.0464,0.0047,0.24,0.0026
2024-06-25:07,41,21,0.0462,0.0045,0.23,0.0025
2024-06-25:06,57,23,0.0441,0.0041,0.24,0.0027
2024-06-25:05,81,32,0.0455,0.0039,0.24,0.0027
2024-06-25:04,101,37,0.0497,0.0036,0.24,0.0024
2024-06-25:03,116,43,0.0509,0.0036,0.24,0.0028
2024-06-25:02,134,46,0.0532,0.0037,0.25,0.0025
2024-06-25:01,124,43,0.0632,0.0033,0.23,0.0025
2024-06-24:24,78,33,0.0719,0.0033,0.27,0.0027
2024-06-24:23,57,24,0.0753,0.0037,0.30,0.0025
2024-06-24:22,45,21,0.0657,0.0051,0.31,0.0024
2024-06-24:21,36,19,0.0614,0.0058,0.32,0.0027
2024-06-24:20,30,19,0.0625,0.0058,0.31,0.0024
2024-06-24:19,31,16,0.0619,0.0057,0.30,0.0026
2024-06-24:18,29,19,0.0614,0.0053,0.30,0.0025
2024-06-24:17,28,15,0.0619,0.0060,0.29,0.0028
2024-06-24:16,,,,,,
2024-06-24:15,,,,,,
2024-06-24:14,24,19,0.0634,0.0046,0.33,0.0025
2024-06-24:13,21,16,0.0619,0.0047,0.32,0.0026
2024-06-24:12,16,15,0.0584,0.0050,0.32,0.0027
2024-06-24:11,16,11,0.0505,0.0051,0.28,0.0025
2024-06-24:10,13,9,0.0488,0.0045,0.26,0.0025
