tm,pm10,pm25,o3,no2,co,so2
2024-06-30:24,8,2,0.0294,0.0025,0.16,0.0017
2024-06-30:23,5,3,0.0303,0.0026,0.15,0.0017
2024-06-30:22,2,1,0.0266,0.0029,0.14,0.0017
2024-06-30:21,0,0,0.0208,0.0032,0.14,0.0014
2024-06-30:20,2,1,0.0252,0.0036,0.15,0.0015
2024-06-30:19,9,2,0.0294,0.0033,0.15,0.0014
2024-06-30:18,14,1,0.0297,0.0027,0.15,0.0014
2024-06-30:17,14,2,0.0296,0.0027,0.15,0.0015
2024-06-30:16,6,0,0.0296,0.0026,0.14,0.0017
2024-06-30:15,2,0,0.0230,0.0028,0.14,0.0016
2024-06-30:14,1,,0.0188,0.0035,0.14,0.0018
2024-06-30:13,3,,0.0171,0.0032,0.13,0.0016
2024-06-30:12,1,,0.0147,0.0030,0.14,0.0014
2024-06-30:11,5,5,0.0149,0.0026,0.13,0.0016
2024-06-30:10,5,,0.0151,0.0026,0.13,0.0016
2024-06-30:09,20,9,0.0147,0.0025,0.12,0.0016
2024-06-30:08,16,1,0.0141,0.0027,0.12,0.0016
2024-06-30:07,16,2,0.0143,0.0028,0.12,0.0015
2024-06-30:06,15,3,0.0175,0.0014,0.12,0.0015
2024-06-30:05,20,2,0.0201,0.0013,0.12,0.0014
2024-06-30:04,15,1,0.0210,0.0014,0.13,0.0016
2024-06-30:03,17,1,0.0194,0.0020,0.12,0.0015
2024-06-30:02,17,0,0.0181,0.0018,0.12,0.0015
2024-06-30:01,20,,0.0176,0.0018,0.13,0.0014
2024-06-29:24,17,3,0.0188,0.0020,0.12,0.0013
2024-06-29:23,17,2,0.0195,0.0017,0.12,0.0014
2024-06-29:22,11,4,0.0200,0.0016,0.13,0.0016
2024-06-29:21,1,,0.0199,0.0017,0.12,0.0014
2024-06-29:20,,,0.0206,0.0019,0.13,0.0015
2024-06-29:19,4,,0.0203,0.0057,0.17,0.0014
2024-06-29:18,13,0,0.0203,0.0036,0.15,0.0014
2024-06-29:17,9,0,0.0194,0.0019,0.13,0.0013
2024-06-29:16,1,,0.0244,0.0018,0.15,0.0017
2024-06-29:15,5,0,0.0348,0.0043,0.23,0.0017
2024-06-29:14,9,5,0.0403,0.0047,0.25,0.0017
2024-06-29:13,12,7,0.0438,0.0040,0.23,0.0014
2024-06-29:12,5,4,0.0502,0.0027,0.23,0.0020
2024-06-29:11,5,,0.0508,0.0030,0.22,0.0016
2024-06-29:10,2,,0.0490,0.0035,0.23,0.0017
2024-06-29:09,6,4,0.0380,0.0079,0.25,0.0016
2024-06-29:08,8,4,0.0257,0.0112,0.24,0.0015
2024-06-29:07,12,1,0.0292,0.0071,0.20,0.0013
2024-06-29:06,6,4,0.0277,0.0050,0.20,0.0015
2024-06-29:05,8,2,0.0489,0.0026,0.16,0.0017
2024-06-29:04,8,4,0.0415,0.0035,0.18,0.0020
2024-06-29:03,9,0,0.0347,0.0038,0.19,0.0020
2024-06-29:02,5,3,0.0331,0.0050,0.19,0.0020
2024-06-29:01,5,,0.0301,0.0054,0.19,0.0020
2024-06-28:24,3,1,0.0283,0.0062,0.20,0.0021
2024-06-28:23,4,0,0.0392,0.0055,0.18,0.0019
2024-06-28:22,7,1,0.0530,0.0031,0.16,0.0019
2024-06-28:21,8,,0.0551,0.0042,0.17,0.0022
2024-06-28:20,6,0,0.0534,0.0056,0.18,0.0022
2024-06-28:19,11,0,0.0560,0.0041,0.16,0.0021
2024-06-28:18,0,,0.0540,0.0042,0.17,0.0021
2024-06-28:17,5,4,0.0573,0.0049,0.19,0.0021
2024-06-28:16,12,6,0.0598,0.0051,0.20,0.0035
2024-06-28:15,15,8,0.0574,0.0050,0.20,0.0025
2024-06-28:14,18,10,0.0644,0.0100,0.22,0.0025
2024-06-28:13,26,20,0.0670,0.0172,0.24,0.0029
2024-06-28:12,17,14,0.0558,0.0276,0.28,0.0033
2024-06-28:11,13,10,0.0556,0.0090,0.24,0.0021
2024-06-28:10,14,10,0.0424,0.0143,0.28,0.0027
2024-06-28:09,9,8,0.0253,0.0203,0.40,0.0026
2024-06-28:08,21,9,0.0148,0.0182,0.38,0.0023
2024-06-28:07,21,11,0.0114,0.0150,0.34,0.0022
2024-06-28:06,23,15,0.0128,0.0114,0.30,0.0022
2024-06-28:05,15,14,0.0185,0.0124,0.29,0.0021
2024-06-28:04,16,12,0.0232,0.0089,0.28,0.0021
2024-06-28:03,19,12,0.0234,0.0103,0.28,0.0023
2024-06-28:02,16,7,0.0228,0.0121,0.29,0.0019
2024-06-28:01,18,1,0.0218,0.0120,0.31,0.0020
2024-06-27:24,21,8,0.0243,0.0149,0.32,0.0018
2024-06-27:23,22,11,0.0306,0.0148,0.29,0.0021
2024-06-27:22,17,14,0.0374,0.0144,0.27,0.0021
2024-06-27:21,20,9,0.0430,0.0091,0.25,0.0020
2024-06-27:20,16,10,0.0308,0.0158,0.29,0.0018
2024-06-27:19,11,9,0.0380,0.0147,0.32,0.0020
2024-06-27:18,14,5,0.0428,0.0116,0.26,0.0017
2024-06-27:17,15,8,0.0479,0.0072,0.23,0.0016
2024-06-27:16,26,12,0.0542,0.0062,0.23,0.0018
2024-06-27:15,48,32,0.0300,0.0424,0.33,0.0040
2024-06-27:14,64,37,0.0235,0.0598,0.38,0.0047
2024-06-27:13,59,42,0.0099,0.0805,0.42,0.0065
2024-06-27:12,34,18,0.0128,0.0599,0.40,0.0046
2024-06-27:11,15,7,0.0300,0.0255,0.37,0.0030
2024-06-27:10,26,5,0.0237,0.0214,0.40,0.0026
2024-06-27:09,11,4,0.0162,0.0228,0.40,0.0023
2024-06-27:08,13,5,0.0172,0.0207,0.37,0.0020
2024-06-27:07,9,3,0.0276,0.0112,0.29,0.0022
2024-06-27:06,11,6,0.0370,0.0049,0.24,0.0022
2024-06-27:05,10,5,0.0406,0.0039,0.22,0.0021
2024-06-27:04,13,4,0.0412,0.0039,0.22,0.0024
2024-06-27:03,11,7,0.0437,0.0041,0.22,0.0025
2024-06-27:02,5,3,0.0408,0.0048,0.22,0.0023
2024-06-27:01,5,5,0.0411,0.0054,0.22,0.0021
2024-06-26:24,11,5,0.0451,0.0056,0.22,0.0024
2024-06-26:23,11,4,0.0438,0.0073,0.23,0.0024
2024-06-26:22,11,2,0.0458,0.0070,0.22,0.0025
2024-06-26:21,18,6,0.0513,0.0067,0.22,0.0024
2024-06-26:20,16,10,0.0654,0.0106,0.27,0.0027
2024-06-26:19,22,8,0.0716,0.0061,0.24,0.0027
2024-06-26:18,14,5,0.0711,0.0054,0.23,0.0026
2024-06-26:17,14,7,0.0720,0.0092,0.24,0.0029
2024-06-26:16,23,17,0.0768,0.0080,0.24,0.0028
2024-06-26:15,,,,,,
2024-06-26:14,,,,,,
2024-06-26:13,,,,,,
2024-06-26:12,,,,,,
2024-06-26:11,32,16,0.0475,0.0196,0.25,0.0043
2024-06-26:10,34,14,0.0377,0.0236,0.27,0.0045
2024-06-26:09,25,6,0.0298,0.0215,0.33,0.0039
2024-06-26:08,17,5,0.0143,0.0221,0.41,0.0036
2024-06-26:07,19,11,0.0218,0.0123,0.30,0.0034
2024-06-26:06,17,6,0.0273,0.0070,0.26,0.0034
2024-06-26:05,16,10,0.0287,0.0057,0.25,0.0035
2024-06-26:04,16,9,0.0323,0.0060,0.25,0.0036
2024-06-26:03,17,12,0.0347,0.0047,0.26,0.0037
2024-06-26:02,19,12,0.0330,0.0056,0.28,0.0038
2024-06-26:01,20,8,0.0321,0.0069,0.30,0.0038
2024-06-25:24,22,8,0.0334,0.0095,0.30,0.0039
2024-06-25:23,21,11,0.0362,0.0118,0.34,0.0039
2024-06-25:22,23,14,0.0424,0.0117,0.38,0.0041
2024-06-25:21,31,11,0.0546,0.0104,0.39,0.0047
2024-06-25:20,29,16,0.0695,0.0077,0.40,0.0056
2024-06-25:19,27,7,0.0747,0.0059,0.32,0.0052
2024-06-25:18,18,1,0.0648,0.0043,0.24,0.0041
2024-06-25:17,13,1,0.0562,0.0037,0.22,0.0034
2024-06-25:16,12,4,0.0523,0.0035,0.22,0.0034
2024-06-25:15,15,4,0.0503,0.0058,0.21,0.0034
2024-06-25:14,17,4,0.0548,0.0049,0.21,0.0035
2024-06-25:13,26,10,0.0535,0.0056,0.22,0.0035
2024-06-25:12,39,11,0.0492,0.0067,0.23,0.0034
2024-06-25:11,37,8,0.0421,0.0089,0.23,0.0033
2024-06-25:10,38,9,0.0384,0.0100,0.24,0.0034
2024-06-25:09,55,26,0.0363,0.0119,0.24,0.0035
2024-06-25:08,82,23,0.0390,0.0100,0.30,0.0035
2024-06-25:07,79,27,0.0331,0.0108,0.44,0.0041
2024-06-25:06,66,23,0.0353,0.0082,0.50,0.0044
2024-06-25:05,61,20,0.0475,0.0045,0.38,0.0040
2024-06-25:04,64,22,0.0559,0.0059,0.44,0.0045
2024-06-25:03,63,18,0.0587,0.0039,0.41,0.0041
2024-06-25:02,57,30,0.0642,0.0041,0.43,0.0047
2024-06-25:01,48,15,0.0648,0.0040,0.40,0.0045
2024-06-24:24,41,20,0.0661,0.0038,0.42,0.0046
2024-06-24:23,23,14,0.0671,0.0029,0.33,0.0033
2024-06-24:22,21,11,0.0676,0.0028,0.31,0.0034
2024-06-24:21,22,11,0.0667,0.0028,0.29,0.0033
2024-06-24:20,20,9,0.0683,0.0029,0.28,0.0033
2024-06-24:19,20,10,0.0652,0.0044,0.29,0.0033
2024-06-24:18,21,16,0.0625,0.0044,0.27,0.0033
2024-06-24:17,18,8,0.0616,0.0041,0.26,0.0033
2024-06-24:16,12,1,0.0606,0.0034,0.25,0.0033
2024-06-24:15,12,3,0.0599,0.0035,0.25,0.0033
2024-06-24:14,11,6,0.0595,0.0034,0.25,0.0032
2024-06-24:13,18,16,0.0619,0.0027,0.28,0.0032
2024-06-24:12,21,21,0.0600,0.0031,0.33,0.0032
2024-06-24:11,19,12,0.0602,0.0020,0.33,0.0032
2024-06-24:10,14,3,0.0621,0.0018,0.31,0.0032
2024-06-24:09,8,4,0.0545,0.0021,0.26,0.0032
2024-06-24:08,5,4,0.0519,0.0021,0.24,0.0032
2024-06-24:07,8,5,0.0557,0.0017,0.24,0.0033
2024-06-24:06,5,4,0.0498,0.0019,0.23,0.0032
2024-06-24:05,14,3,0.0473,0.0018,0.22,0.0032
2024-06-24:04,11,6,0.0450,0.0019,0.23,0.0031
2024-06-24:03,17,9,0.0507,0.0024,0.26,0.0036
2024-06-24:02,16,2,0.0551,0.0032,0.33,0.0043
2024-06-24:01,7,0,0.0429,0.0042,0.37,0.0046
2024-06-23:24,9,3,0.0345,0.0046,0.35,0.0040
2024-06-23:23,7,6,0.0391,0.0041,0.28,0.0036
2024-06-23:22,10,3,0.0430,0.0039,0.29,0.0036
2024-06-23:21,11,5,0.0480,0.0036,0.32,0.0041
2024-06-23:20,9,8,0.0505,0.0034,0.32,0.0037
2024-06-23:19,13,6,0.0519,0.0026,0.29,0.0034
2024-06-23:18,9,8,0.0541,0.0028,0.31,0.0035
2024-06-23:17,12,9,0.0583,0.0031,0.35,0.0038
2024-06-23:16,17,12,0.0552,0.0036,0.39,0.0045
2024-06-23:15,11,10,0.0573,0.0039,0.43,0.0048
2024-06-23:14,8,3,0.0535,0.0033,0.38,0.0043
2024-06-23:13,10,3,0.0468,0.0024,0.27,0.0033
2024-06-23:12,8,3,0.0458,0.0032,0.29,0.0035
2024-06-23:11,5,3,0.0446,0.0036,0.28,0.0032
2024-06-23:10,9,0,0.0489,0.0023,0.27,0.0031
2024-06-23:09,9,1,0.0533,0.0018,0.27,0.0031
2024-06-23:08,7,2,0.0556,0.0016,0.28,0.0030
2024-06-23:07,4,1,0.0573,0.0013,0.28,0.0030
2024-06-23:06,6,2,0.0603,0.0013,0.28,0.0030
2024-06-23:05,2,1,0.0615,0.0013,0.29,0.0029
2024-06-23:04,3,3,0.0621,0.0012,0.29,0.0031
2024-06-23:03,3,,0.0590,0.0015,0.28,0.0030
2024-06-23:02,17,14,0.0518,0.0021,0.28,0.0029
2024-06-23:01,18,7,0.0477,0.0023,0.28,0.0023
2024-06-22:24,17,5,0.0436,0.0027,0.25,0.0024
2024-06-22:23,20,6,0.0407,0.0028,0.23,0.0025
2024-06-22:22,14,5,0.0391,0.0027,0.21,0.0027
2024-06-22:21,11,2,0.0369,0.0026,0.19,0.0026
2024-06-22:20,4,0,0.0342,0.0027,0.17,0.0025
2024-06-22:19,0,,0.0323,0.0027,0.17,0.0024
2024-06-22:18,1,,0.0293,0.0029,0.16,0.0024
2024-06-22:17,0,,0.0260,0.0021,0.14,0.0026
2024-06-22:16,,,0.0241,0.0030,0.14,0.0025
2024-06-22:15,0,0,0.0237,0.0029,0.14,0.0024
2024-06-22:14,0,0,0.0262,0.0044,0.16,0.0024
2024-06-22:13,,1,0.0276,0.0039,0.17,0.0024
2024-06-22:12,4,1,0.0260,0.0064,0.19,0.0025
2024-06-22:11,7,1,0.0094,0.0255,0.29,0.0026
2024-06-22:10,3,,0.0096,0.0251,0.31,0.0025
2024-06-22:09,7,,0.0148,0.0169,0.25,0.0025
2024-06-22:08,11,3,0.0170,0.0133,0.24,0.0026
2024-06-22:07,7,3,0.0263,0.0080,0.21,0.0028
2024-06-22:06,6,4,0.0341,0.0047,0.20,0.0030
2024-06-22:05,5,1,0.0379,0.0030,0.18,0.0029
