아주동 ( 경남 거제시 아주동 산164-1 거제시 옥포 유해대기측정소 ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-28:17,좋음,28,보통,17,보통,0.0807,좋음,0.0106,좋음,0.45,좋음,0.0030
2024-04-28:16,좋음,30,보통,22,보통,0.0854,좋음,0.0103,좋음,0.46,좋음,0.0031
2024-04-28:15,보통,35,보통,28,보통,0.0810,좋음,0.0116,좋음,0.46,좋음,0.0030
2024-04-28:14,보통,42,보통,33,보통,0.0757,좋음,0.0163,좋음,0.50,좋음,0.0034
2024-04-28:13,보통,50,나쁨,39,보통,0.0630,좋음,0.0241,좋음,0.54,좋음,0.0039
2024-04-28:12,보통,51,나쁨,41,보통,0.0461,보통,0.0311,좋음,0.53,좋음,0.0040
2024-04-28:11,보통,50,나쁨,37,보통,0.0357,보통,0.0345,좋음,0.57,좋음,0.0040
2024-04-28:10,보통,46,보통,27,보통,0.0337,보통,0.0355,좋음,0.55,좋음,0.0042
2024-04-28:09,보통,40,보통,21,보통,0.0422,좋음,0.0236,좋음,0.52,좋음,0.0038
2024-04-28:08,보통,36,보통,19,보통,0.0492,좋음,0.0141,좋음,0.51,좋음,0.0028
2024-04-28:07,보통,33,보통,21,보통,0.0528,좋음,0.0098,좋음,0.45,좋음,0.0024
2024-04-28:06,보통,34,보통,21,보통,0.0560,좋음,0.0075,좋음,0.45,좋음,0.0026
2024-04-28:05,보통,32,보통,17,보통,0.0550,좋음,0.0072,좋음,0.46,좋음,0.0026
2024-04-28:04,보통,32,보통,17,보통,0.0585,좋음,0.0070,좋음,0.44,좋음,0.0025
2024-04-28:03,보통,32,보통,17,보통,0.0593,좋음,0.0061,좋음,0.44,좋음,0.0026
2024-04-28:02,보통,34,보통,20,보통,0.0501,좋음,0.0084,좋음,0.42,좋음,0.0029
2024-04-28:01,보통,37,보통,22,보통,0.0473,좋음,0.0102,좋음,0.45,좋음,0.0029
2024-04-27:24,보통,39,보통,23,보통,0.0518,좋음,0.0103,좋음,0.47,좋음,0.0029
2024-04-27:23,보통,39,보통,21,보통,0.0495,좋음,0.0130,좋음,0.50,좋음,0.0028
2024-04-27:22,보통,39,보통,20,보통,0.0613,좋음,0.0084,좋음,0.46,좋음,0.0025
2024-04-27:21,보통,38,보통,20,보통,0.0651,좋음,0.0080,좋음,0.42,좋음,0.0025
2024-04-27:20,보통,37,보통,20,보통,0.0703,좋음,0.0070,좋음,0.43,좋음,0.0024
2024-04-27:19,보통,36,보통,19,보통,0.0855,좋음,0.0079,좋음,0.46,좋음,0.0030
2024-04-27:18,보통,37,보통,18,보통,0.0895,좋음,0.0073,좋음,0.46,좋음,0.0032
2024-04-27:17,보통,41,보통,21,보통,0.0885,좋음,0.0074,좋음,0.41,좋음,0.0029
2024-04-27:16,보통,48,보통,28,보통,0.0893,좋음,0.0082,좋음,0.42,좋음,0.0027
2024-04-27:15,보통,52,보통,32,보통,0.0878,좋음,0.0153,좋음,0.41,좋음,0.0028
2024-04-27:14,보통,52,보통,35,보통,0.0855,좋음,0.0185,좋음,0.42,좋음,0.0030
2024-04-27:13,보통,52,나쁨,37,보통,0.0872,좋음,0.0166,좋음,0.44,좋음,0.0029
2024-04-27:12,보통,47,보통,31,보통,0.0633,보통,0.0357,좋음,0.48,좋음,0.0040
2024-04-27:11,보통,37,보통,19,보통,0.0454,보통,0.0460,좋음,0.49,좋음,0.0048
2024-04-27:10,좋음,19,좋음,5,보통,0.0426,보통,0.0397,좋음,0.45,좋음,0.0043
2024-04-27:09,좋음,9,,,보통,0.0370,좋음,0.0280,좋음,0.38,좋음,0.0025
2024-04-27:08,좋음,8,,,보통,0.0354,좋음,0.0129,좋음,0.34,좋음,0.0020
2024-04-27:07,좋음,12,좋음,0,보통,0.0380,좋음,0.0079,좋음,0.28,좋음,0.0020
2024-04-27:06,좋음,13,좋음,5,보통,0.0417,좋음,0.0034,좋음,0.28,좋음,0.0019
2024-04-27:05,좋음,15,좋음,10,보통,0.0406,좋음,0.0028,좋음,0.29,좋음,0.0019
2024-04-27:04,좋음,17,좋음,12,보통,0.0386,좋음,0.0038,좋음,0.31,좋음,0.0021
2024-04-27:03,좋음,16,좋음,7,보통,0.0402,좋음,0.0050,좋음,0.31,좋음,0.0021
2024-04-27:02,좋음,18,좋음,4,보통,0.0386,좋음,0.0045,좋음,0.30,좋음,0.0021
2024-04-27:01,좋음,18,좋음,6,보통,0.0389,좋음,0.0045,좋음,0.31,좋음,0.0021
2024-04-26:24,좋음,18,좋음,8,보통,0.0387,좋음,0.0061,좋음,0.33,좋음,0.0020
2024-04-26:23,좋음,18,좋음,9,보통,0.0397,좋음,0.0062,좋음,0.32,좋음,0.0020
2024-04-26:22,좋음,18,좋음,8,보통,0.0319,좋음,0.0140,좋음,0.36,좋음,0.0022
2024-04-26:21,좋음,19,좋음,9,보통,0.0379,좋음,0.0071,좋음,0.33,좋음,0.0021
2024-04-26:20,좋음,20,좋음,8,보통,0.0360,좋음,0.0104,좋음,0.34,좋음,0.0021
2024-04-26:19,좋음,19,좋음,7,보통,0.0393,좋음,0.0144,좋음,0.37,좋음,0.0023
2024-04-26:18,좋음,20,좋음,8,보통,0.0497,좋음,0.0111,좋음,0.33,좋음,0.0022
2024-04-26:17,좋음,23,좋음,11,보통,0.0523,좋음,0.0100,좋음,0.33,좋음,0.0023
2024-04-26:16,보통,33,보통,20,보통,0.0518,좋음,0.0072,좋음,0.31,좋음,0.0022
2024-04-26:15,보통,47,보통,33,보통,0.0486,좋음,0.0113,좋음,0.33,좋음,0.0024
2024-04-26:14,보통,58,나쁨,41,보통,0.0399,보통,0.0397,좋음,0.40,좋음,0.0033
2024-04-26:13,보통,68,나쁨,49,좋음,0.0284,보통,0.0427,좋음,0.41,좋음,0.0034
2024-04-26:12,보통,66,나쁨,50,좋음,0.0140,보통,0.0545,좋음,0.46,좋음,0.0038
