tm,pm10,pm25,o3,no2,co,so2
2024-06-26:21,23,10,0.0594,0.0256,0.25,0.0042
2024-06-26:20,31,17,0.0643,0.0311,0.28,0.0055
2024-06-26:19,33,15,0.0814,0.0260,0.29,0.0064
2024-06-26:18,29,16,0.0894,0.0199,0.24,0.0050
2024-06-26:17,28,14,0.0853,0.0181,0.24,0.0035
2024-06-26:16,38,14,0.0831,0.0211,0.27,0.0034
2024-06-26:15,37,15,0.0737,0.0236,0.27,0.0033
2024-06-26:14,16,7,0.0768,0.0109,0.19,0.0027
2024-06-26:13,13,5,0.0625,0.0088,0.17,0.0025
2024-06-26:12,5,,0.0584,0.0091,0.15,0.0026
2024-06-26:11,17,9,0.0570,0.0114,0.17,0.0027
2024-06-26:10,24,9,0.0465,0.0169,0.20,0.0029
2024-06-26:09,19,10,0.0384,0.0187,0.24,0.0030
2024-06-26:08,23,10,0.0329,0.0179,0.27,0.0034
2024-06-26:07,35,16,0.0115,0.0301,0.41,0.0040
2024-06-26:06,26,12,0.0198,0.0201,0.40,0.0038
2024-06-26:05,25,16,0.0232,0.0186,0.35,0.0046
2024-06-26:04,22,12,0.0284,0.0183,0.38,0.0139
2024-06-26:03,15,14,0.0190,0.0268,0.38,0.0079
2024-06-26:02,27,14,0.0185,0.0287,0.52,
2024-06-26:01,25,10,0.0201,0.0283,0.46,0.0113
2024-06-25:24,24,9,0.0170,0.0325,0.43,0.0077
2024-06-25:23,22,10,0.0196,0.0325,0.44,0.0107
2024-06-25:22,29,12,0.0325,0.0268,0.42,0.0069
2024-06-25:21,25,10,0.0333,0.0251,0.38,0.0111
2024-06-25:20,18,5,0.0468,0.0153,0.23,0.0044
2024-06-25:19,13,4,0.0513,0.0104,0.20,0.0025
2024-06-25:18,15,4,0.0491,0.0130,0.20,0.0024
2024-06-25:17,12,3,0.0528,0.0109,0.17,0.0024
2024-06-25:16,8,2,0.0564,0.0073,0.14,0.0024
2024-06-25:15,10,3,0.0548,0.0073,0.12,0.0024
2024-06-25:14,17,6,0.0562,0.0072,0.14,0.0025
2024-06-25:13,27,9,0.0564,0.0061,0.15,0.0025
2024-06-25:12,27,12,0.0532,0.0065,0.16,0.0024
2024-06-25:11,38,10,0.0524,0.0071,0.17,0.0024
2024-06-25:10,69,18,0.0453,0.0094,0.22,0.0024
2024-06-25:09,76,20,0.0436,0.0098,0.22,0.0024
2024-06-25:08,89,23,0.0362,0.0167,0.26,0.0029
2024-06-25:07,77,22,0.0280,0.0239,0.27,
2024-06-25:06,80,21,0.0387,0.0138,0.23,
2024-06-25:05,90,24,0.0457,0.0078,0.26,
2024-06-25:04,99,27,0.0511,0.0062,0.28,
2024-06-25:03,53,18,0.0407,0.0103,0.35,
2024-06-25:02,40,15,0.0317,0.0135,0.43,
2024-06-25:01,29,14,0.0373,0.0133,0.42,
2024-06-24:24,31,15,0.0402,0.0147,0.44,
2024-06-24:23,32,15,0.0446,0.0141,0.44,
2024-06-24:22,34,14,0.0497,0.0137,0.45,
2024-06-24:21,29,14,0.0520,0.0124,0.42,
2024-06-24:20,29,13,0.0524,0.0145,0.43,
2024-06-24:19,30,14,0.0565,0.0140,0.41,
2024-06-24:18,29,10,0.0647,0.0083,0.35,
2024-06-24:17,23,10,,,,
2024-06-24:16,17,8,0.0610,0.0034,0.37,
2024-06-24:15,17,8,0.0652,0.0030,0.39,
2024-06-24:14,16,11,0.0687,0.0032,0.43,
2024-06-24:13,24,12,0.0709,0.0050,0.45,
2024-06-24:12,24,10,0.0650,0.0053,0.44,
2024-06-24:11,22,8,0.0542,0.0093,0.42,
2024-06-24:10,20,8,0.0429,0.0113,0.39,
2024-06-24:09,20,8,0.0268,0.0163,0.41,
2024-06-24:08,18,9,0.0200,0.0180,0.44,
2024-06-24:07,22,13,0.0132,0.0215,0.57,0.0386
2024-06-24:06,17,8,0.0178,0.0129,0.43,
2024-06-24:05,21,9,0.0164,0.0119,0.51,
2024-06-24:04,18,10,0.0152,0.0109,0.54,0.0443
2024-06-24:03,22,10,0.0163,0.0109,0.62,
2024-06-24:02,16,9,0.0164,0.0123,0.52,0.0266
2024-06-24:01,19,10,0.0182,0.0134,0.49,0.0216
2024-06-23:24,25,11,0.0178,0.0200,0.55,
2024-06-23:23,13,7,0.0168,0.0209,0.56,0.0104
2024-06-23:22,13,6,0.0230,0.0189,0.59,0.0029
2024-06-23:21,13,7,0.0356,0.0108,0.53,0.0032
2024-06-23:20,9,5,0.0486,0.0025,0.44,0.0029
