tm,pm10,pm25,o3,no2,co,so2
2024-04-30:24,7,,0.0556,0.0064,0.38,0.0020
2024-04-30:23,8,,0.0527,0.0078,0.41,0.0022
2024-04-30:22,13,11,0.0482,0.0093,0.42,0.0027
2024-04-30:21,27,12,0.0532,0.0104,0.44,0.0021
2024-04-30:20,35,21,0.0560,0.0133,0.46,0.0022
2024-04-30:19,36,20,0.0491,0.0154,0.44,0.0021
2024-04-30:18,31,23,0.0478,0.0161,0.45,0.0023
2024-04-30:17,16,16,0.0544,0.0119,0.40,0.0020
2024-04-30:16,14,11,0.0552,0.0102,0.39,0.0021
2024-04-30:15,,,,,,
2024-04-30:14,25,15,0.0431,0.0117,0.43,0.0021
2024-04-30:13,25,15,0.0417,0.0125,0.44,0.0022
2024-04-30:12,22,12,0.0403,0.0145,0.46,0.0022
2024-04-30:11,22,10,0.0405,0.0119,0.44,0.0020
2024-04-30:10,18,13,0.0343,0.0116,0.43,0.0020
2024-04-30:09,22,10,0.0323,0.0120,0.42,0.0021
2024-04-30:08,27,14,0.0237,0.0117,0.45,0.0020
2024-04-30:07,21,10,0.0272,0.0088,0.43,0.0020
2024-04-30:06,20,9,0.0289,0.0073,0.40,0.0020
2024-04-30:05,19,8,0.0356,0.0057,0.38,0.0020
2024-04-30:04,17,10,0.0380,0.0055,0.39,0.0020
2024-04-30:03,20,11,0.0349,0.0057,0.39,0.0020
2024-04-30:02,22,12,0.0408,0.0059,0.39,0.0020
2024-04-30:01,25,14,0.0399,0.0064,0.42,0.0020
2024-04-29:24,17,9,0.0417,0.0069,0.40,0.0020
2024-04-29:23,18,12,0.0434,0.0074,0.43,0.0020
2024-04-29:22,22,11,0.0415,0.0086,0.45,0.0020
2024-04-29:21,18,12,0.0435,0.0088,0.48,0.0020
2024-04-29:20,15,13,0.0453,0.0091,0.49,0.0020
2024-04-29:19,11,8,0.0502,0.0086,0.48,0.0021
2024-04-29:18,10,7,0.0531,0.0079,0.44,0.0020
2024-04-29:17,10,8,0.0502,0.0092,0.45,0.0021
2024-04-29:16,7,6,0.0487,0.0099,0.46,0.0021
2024-04-29:15,10,6,0.0512,0.0089,0.45,0.0021
2024-04-29:14,8,8,0.0516,0.0089,0.44,0.0021
2024-04-29:13,11,8,0.0482,0.0098,0.45,0.0022
2024-04-29:12,8,,0.0489,0.0089,0.45,0.0021
2024-04-29:11,4,,0.0470,0.0089,0.46,0.0022
2024-04-29:10,14,12,0.0423,0.0100,0.50,0.0021
2024-04-29:09,34,22,0.0406,0.0108,0.53,0.0021
2024-04-29:08,42,26,0.0435,0.0095,0.51,0.0022
2024-04-29:07,42,25,0.0463,0.0080,0.49,0.0023
2024-04-29:06,41,23,0.0524,0.0064,0.47,0.0023
2024-04-29:05,42,17,0.0572,0.0060,0.43,0.0025
2024-04-29:04,42,20,0.0587,0.0059,0.43,0.0028
2024-04-29:03,45,22,0.0610,0.0067,0.44,0.0029
2024-04-29:02,45,19,0.0595,0.0078,0.47,0.0030
2024-04-29:01,38,25,0.0606,0.0085,0.47,0.0032
2024-04-28:24,35,21,0.0574,0.0110,0.54,0.0038
2024-04-28:23,44,29,0.0385,0.0193,0.69,0.0048
2024-04-28:22,32,22,0.0396,0.0192,0.71,0.0044
2024-04-28:21,24,15,0.0456,0.0146,0.49,0.0032
2024-04-28:20,22,16,0.0578,0.0113,0.44,0.0030
2024-04-28:19,21,10,0.0622,0.0106,0.42,0.0029
2024-04-28:18,23,12,0.0758,0.0104,0.43,0.0032
2024-04-28:17,27,17,0.0912,0.0105,0.47,0.0034
2024-04-28:16,30,21,0.0897,0.0122,0.51,0.0036
2024-04-28:15,34,24,0.0862,0.0142,0.53,0.0036
2024-04-28:14,50,28,0.0835,0.0168,0.62,0.0036
2024-04-28:13,49,36,0.1038,0.0142,0.81,0.0045
2024-04-28:12,51,36,0.0962,0.0128,0.82,0.0046
2024-04-28:11,48,37,0.0785,0.0135,0.73,0.0037
2024-04-28:10,52,34,0.0608,0.0145,0.68,0.0029
2024-04-28:09,51,33,0.0440,0.0149,0.65,0.0025
2024-04-28:08,48,28,0.0345,0.0149,0.64,0.0024
2024-04-28:07,46,26,0.0305,0.0132,0.61,0.0022
2024-04-28:06,47,21,0.0364,0.0112,0.56,0.0023
2024-04-28:05,43,20,0.0408,0.0110,0.53,0.0023
2024-04-28:04,44,24,0.0436,0.0113,0.54,0.0024
2024-04-28:03,45,23,0.0440,0.0118,0.53,0.0023
2024-04-28:02,47,23,0.0446,0.0131,0.54,0.0023
2024-04-28:01,47,30,0.0510,0.0135,0.54,0.0024
2024-04-27:24,44,27,0.0546,0.0141,0.53,0.0024
2024-04-27:23,47,23,0.0592,0.0157,0.54,0.0024
2024-04-27:22,49,23,0.0727,0.0143,0.53,0.0027
2024-04-27:21,51,26,0.0810,0.0141,0.53,0.0029
2024-04-27:20,48,23,0.0899,0.0142,0.53,0.0031
2024-04-27:19,46,23,0.1014,0.0126,0.50,0.0031
2024-04-27:18,43,26,0.1050,0.0119,0.50,0.0030
2024-04-27:17,31,16,0.0985,0.0115,0.47,0.0028
2024-04-27:16,22,13,0.0783,0.0090,0.36,0.0023
2024-04-27:15,26,15,0.0799,0.0095,0.41,0.0025
2024-04-27:14,26,16,0.0845,0.0098,0.47,0.0027
2024-04-27:13,31,21,0.0843,0.0102,0.45,0.0026
2024-04-27:12,32,,0.0876,0.0132,0.57,0.0032
2024-04-27:11,33,33,0.0716,0.0165,0.65,0.0039
2024-04-27:10,35,,0.0454,0.0194,0.68,0.0037
2024-04-27:09,32,,0.0286,0.0199,0.72,0.0028
2024-04-27:08,29,27,0.0162,0.0190,0.73,0.0024
2024-04-27:07,36,22,0.0108,0.0181,0.66,0.0023
2024-04-27:06,37,25,0.0125,0.0153,0.63,0.0022
2024-04-27:05,39,27,0.0135,0.0158,0.64,0.0022
2024-04-27:04,43,29,0.0141,0.0171,0.67,0.0023
2024-04-27:03,45,33,0.0148,0.0202,0.71,0.0024
2024-04-27:02,49,23,0.0125,0.0229,0.75,0.0023
2024-04-27:01,44,28,0.0146,0.0236,0.73,0.0025
2024-04-26:24,41,26,0.0146,0.0252,0.77,0.0027
2024-04-26:23,37,25,0.0222,0.0228,0.74,0.0026
2024-04-26:22,37,23,0.0259,0.0230,0.67,0.0028
2024-04-26:21,41,27,0.0322,0.0230,0.65,0.0032
2024-04-26:20,32,22,0.0411,0.0205,0.56,0.0030
2024-04-26:19,29,21,0.0580,0.0154,0.51,0.0033
2024-04-26:18,36,21,0.0681,0.0150,0.55,0.0038
2024-04-26:17,27,19,0.0696,0.0162,0.65,0.0049
2024-04-26:16,27,20,0.0718,0.0134,0.50,0.0043
2024-04-26:15,28,16,0.0694,0.0157,0.48,0.0042
2024-04-26:14,23,21,0.0575,0.0198,0.55,0.0045
