tm,pm10,pm25,o3,no2,co,so2
2024-02-29:24,12,6,0.0160,0.0220,0.38,0.0022
2024-02-29:23,11,7,0.0210,0.0224,0.35,0.0024
2024-02-29:22,8,5,0.0260,0.0201,0.34,0.0022
2024-02-29:21,9,6,0.0250,0.0213,0.35,0.0023
2024-02-29:20,8,7,0.0230,0.0242,0.36,0.0023
2024-02-29:19,6,3,0.0230,0.0254,0.48,0.0024
2024-02-29:18,5,2,0.0230,0.0273,0.37,0.0023
2024-02-29:17,5,2,0.0290,0.0220,0.34,0.0025
2024-02-29:16,6,0,0.0340,0.0186,0.32,0.0024
2024-02-29:15,12,3,0.0350,0.0188,0.33,0.0025
2024-02-29:14,18,6,0.0290,0.0206,0.38,0.0025
2024-02-29:13,20,8,0.0230,0.0242,0.35,0.0026
2024-02-29:12,21,9,0.0220,0.0229,0.37,0.0025
2024-02-29:11,29,9,0.0240,0.0222,0.35,0.0024
2024-02-29:10,28,11,0.0170,0.0278,0.38,0.0025
2024-02-29:09,30,10,0.0080,0.0373,0.43,0.0027
2024-02-29:08,24,6,0.0220,0.0261,0.38,0.0028
2024-02-29:07,25,7,0.0230,0.0244,0.36,0.0027
2024-02-29:06,25,9,0.0290,0.0168,0.33,0.0031
2024-02-29:05,24,11,0.0280,0.0156,0.33,0.0031
2024-02-29:04,25,9,0.0290,0.0159,0.34,0.0033
2024-02-29:03,25,9,0.0320,0.0169,0.34,0.0033
2024-02-29:02,22,8,0.0350,0.0150,0.32,0.0034
2024-02-29:01,20,5,0.0370,0.0149,0.32,0.0033
2024-02-28:24,21,5,0.0360,0.0178,0.33,0.0034
2024-02-28:23,20,5,0.0360,0.0181,0.33,0.0032
2024-02-28:22,22,5,0.0390,0.0167,0.32,0.0029
2024-02-28:21,26,6,0.0380,0.0178,0.33,0.0028
2024-02-28:20,31,8,0.0390,0.0194,0.34,0.0030
2024-02-28:19,30,6,0.0370,0.0217,0.35,0.0028
2024-02-28:18,24,4,0.0410,0.0171,0.32,0.0024
2024-02-28:17,27,5,0.0460,0.0115,0.30,0.0024
2024-02-28:16,60,7,0.0470,0.0125,0.29,0.0021
2024-02-28:15,29,5,0.0470,0.0113,0.29,0.0021
2024-02-28:14,30,6,0.0460,0.0106,0.28,0.0021
2024-02-28:13,33,6,0.0440,0.0088,0.28,0.0022
2024-02-28:12,45,4,0.0400,0.0101,0.29,0.0023
2024-02-28:11,42,6,0.0360,0.0102,0.30,0.0021
2024-02-28:10,,,,,,
2024-02-28:09,,,,,,
2024-02-28:08,39,14,0.0060,0.0393,0.49,0.0022
2024-02-28:07,28,7,0.0060,0.0366,0.41,0.0020
2024-02-28:06,26,6,0.0140,0.0285,0.36,0.0024
2024-02-28:05,25,5,0.0260,0.0164,0.34,0.0021
2024-02-28:04,25,6,0.0260,0.0165,0.35,0.0021
2024-02-28:03,25,6,0.0280,0.0154,0.33,0.0021
2024-02-28:02,26,6,0.0270,0.0165,0.35,0.0020
2024-02-28:01,26,8,0.0240,0.0248,0.34,0.0021
2024-02-27:24,27,7,0.0360,0.0133,0.34,0.0023
2024-02-27:23,25,5,0.0330,0.0174,0.32,0.0023
2024-02-27:22,25,6,0.0370,0.0155,0.28,0.0022
2024-02-27:21,28,6,0.0330,0.0209,0.32,0.0026
2024-02-27:20,28,5,0.0340,0.0192,0.32,0.0023
2024-02-27:19,32,5,0.0360,0.0176,0.31,0.0021
2024-02-27:18,36,6,0.0390,0.0144,0.30,0.0021
2024-02-27:17,39,7,0.0420,0.0145,0.30,0.0021
2024-02-27:16,39,6,0.0430,0.0117,0.30,0.0022
2024-02-27:15,32,6,0.0450,0.0087,0.30,0.0021
2024-02-27:14,37,6,0.0440,0.0099,0.29,0.0020
2024-02-27:13,36,6,0.0450,0.0085,0.30,0.0022
2024-02-27:12,36,5,0.0450,0.0089,0.29,0.0026
2024-02-27:11,31,6,0.0390,0.0134,0.32,0.0023
2024-02-27:10,23,7,0.0350,0.0167,0.34,0.0022
2024-02-27:09,19,7,0.0290,0.0214,0.38,0.0020
2024-02-27:08,19,4,0.0230,0.0245,0.36,0.0021
2024-02-27:07,14,4,0.0170,0.0287,0.35,0.0018
2024-02-27:06,11,6,0.0310,0.0133,0.31,0.0022
2024-02-27:05,10,3,0.0350,0.0091,0.29,0.0019
2024-02-27:04,9,3,0.0370,0.0075,0.31,0.0022
2024-02-27:03,10,4,0.0370,0.0083,0.29,0.0021
