tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-19:09,좋음,3,좋음,3,좋음,0.0060,보통,0.0534,좋음,0.58,좋음,0.0032
2024-02-19:08,좋음,3,,,좋음,0.0072,보통,0.0512,좋음,0.49,좋음,0.0030
2024-02-19:07,좋음,2,좋음,2,좋음,0.0199,보통,0.0365,좋음,0.38,좋음,0.0030
2024-02-19:06,,,좋음,1,보통,0.0361,좋음,0.0195,좋음,0.28,좋음,0.0033
2024-02-19:05,좋음,2,,,보통,0.0370,좋음,0.0178,좋음,0.28,좋음,0.0029
2024-02-19:04,좋음,4,좋음,3,보통,0.0356,좋음,0.0179,좋음,0.29,좋음,0.0028
2024-02-19:03,좋음,4,,,보통,0.0393,좋음,0.0164,좋음,0.27,좋음,0.0031
2024-02-19:02,좋음,5,,,보통,0.0369,좋음,0.0169,좋음,0.28,좋음,0.0033
2024-02-19:01,좋음,12,좋음,9,보통,0.0338,좋음,0.0178,좋음,0.30,좋음,0.0034
2024-02-18:24,좋음,17,좋음,14,보통,0.0351,좋음,0.0178,좋음,0.30,좋음,0.0033
2024-02-18:23,좋음,20,보통,16,보통,0.0328,좋음,0.0201,좋음,0.31,좋음,0.0034
2024-02-18:22,좋음,26,보통,19,좋음,0.0276,좋음,0.0238,좋음,0.33,좋음,0.0037
2024-02-18:21,보통,51,나쁨,39,좋음,0.0102,보통,0.0394,좋음,0.66,좋음,0.0035
2024-02-18:20,보통,54,나쁨,41,좋음,0.0072,보통,0.0404,좋음,0.64,좋음,0.0032
2024-02-18:19,보통,47,보통,34,좋음,0.0078,보통,0.0430,좋음,0.64,좋음,0.0034
2024-02-18:18,보통,52,보통,32,좋음,0.0164,보통,0.0333,좋음,0.57,좋음,0.0032
2024-02-18:17,보통,47,보통,28,좋음,0.0124,보통,0.0426,좋음,0.57,좋음,0.0033
2024-02-18:16,보통,44,보통,25,좋음,0.0167,보통,0.0382,좋음,0.55,좋음,0.0035
2024-02-18:15,보통,44,보통,25,좋음,0.0221,보통,0.0323,좋음,0.49,좋음,0.0038
2024-02-18:14,보통,44,보통,26,좋음,0.0242,좋음,0.0295,좋음,0.49,좋음,0.0034
2024-02-18:13,보통,43,보통,29,좋음,0.0250,좋음,0.0268,좋음,0.49,좋음,0.0034
2024-02-18:12,보통,40,보통,26,좋음,0.0246,좋음,0.0226,좋음,0.49,좋음,0.0032
2024-02-18:11,보통,35,보통,22,좋음,0.0183,좋음,0.0213,좋음,0.50,좋음,0.0033
2024-02-18:10,보통,34,보통,21,좋음,0.0109,좋음,0.0218,좋음,0.54,좋음,0.0030
2024-02-18:09,보통,32,보통,20,좋음,0.0100,좋음,0.0212,좋음,0.48,좋음,0.0028
2024-02-18:08,보통,35,보통,19,좋음,0.0032,좋음,0.0244,좋음,0.54,좋음,0.0029
2024-02-18:07,좋음,28,보통,20,좋음,0.0038,좋음,0.0236,좋음,0.50,좋음,0.0028
2024-02-18:06,좋음,27,보통,18,좋음,0.0074,좋음,0.0229,좋음,0.46,좋음,0.0027
2024-02-18:05,좋음,29,보통,19,좋음,0.0055,좋음,0.0250,좋음,0.49,좋음,0.0031
2024-02-18:04,좋음,27,보통,17,좋음,0.0051,좋음,0.0283,좋음,0.49,좋음,0.0032
2024-02-18:03,좋음,26,보통,17,좋음,0.0106,좋음,0.0262,좋음,0.50,좋음,0.0033
2024-02-18:02,보통,32,보통,19,좋음,0.0097,좋음,0.0279,좋음,0.53,좋음,0.0034
2024-02-18:01,보통,31,보통,17,좋음,0.0091,보통,0.0334,좋음,0.56,좋음,0.0030
2024-02-17:24,보통,32,보통,20,좋음,0.0126,보통,0.0334,좋음,0.54,좋음,0.0035
2024-02-17:23,보통,33,보통,20,좋음,0.0082,보통,0.0398,좋음,0.65,좋음,0.0040
2024-02-17:22,보통,36,보통,20,좋음,0.0103,보통,0.0410,좋음,0.62,좋음,0.0036
2024-02-17:21,보통,41,보통,25,좋음,0.0103,보통,0.0456,좋음,0.63,좋음,0.0042
2024-02-17:20,보통,38,보통,24,좋음,0.0198,보통,0.0413,좋음,0.56,좋음,0.0046
2024-02-17:19,좋음,29,보통,20,보통,0.0329,보통,0.0309,좋음,0.53,좋음,0.0043
2024-02-17:18,좋음,27,보통,18,보통,0.0467,좋음,0.0201,좋음,0.43,좋음,0.0032
2024-02-17:17,좋음,23,좋음,15,보통,0.0467,좋음,0.0192,좋음,0.40,좋음,0.0034
2024-02-17:16,좋음,24,좋음,14,보통,0.0480,좋음,0.0164,좋음,0.36,좋음,0.0030
2024-02-17:15,좋음,23,좋음,13,보통,0.0472,좋음,0.0160,좋음,0.37,좋음,0.0032
2024-02-17:14,좋음,25,보통,17,보통,0.0468,좋음,0.0153,좋음,0.36,좋음,0.0033
2024-02-17:13,보통,31,보통,18,보통,0.0460,좋음,0.0139,좋음,0.37,좋음,0.0035
2024-02-17:12,보통,34,보통,23,보통,0.0412,좋음,0.0146,좋음,0.35,좋음,0.0031
2024-02-17:11,보통,42,보통,24,좋음,0.0257,좋음,0.0204,좋음,0.40,좋음,0.0031
2024-02-17:10,보통,37,보통,20,좋음,0.0122,좋음,0.0238,좋음,0.47,좋음,0.0028
2024-02-17:09,보통,33,좋음,11,좋음,0.0086,좋음,0.0248,좋음,0.43,좋음,0.0029
2024-02-17:08,좋음,30,보통,18,좋음,0.0039,좋음,0.0272,좋음,0.49,좋음,0.0027
2024-02-17:07,좋음,28,좋음,15,좋음,0.0025,좋음,0.0279,좋음,0.43,좋음,0.0029
2024-02-17:06,좋음,25,좋음,15,좋음,0.0047,좋음,0.0258,좋음,0.40,좋음,0.0025
2024-02-17:05,좋음,26,좋음,14,좋음,0.0075,좋음,0.0233,좋음,0.40,좋음,0.0029
2024-02-17:04,좋음,24,좋음,15,좋음,0.0136,좋음,0.0188,좋음,0.34,좋음,0.0028
2024-02-17:03,좋음,25,좋음,14,좋음,0.0107,좋음,0.0255,좋음,0.40,좋음,0.0030
2024-02-17:02,좋음,27,좋음,12,좋음,0.0056,보통,0.0318,좋음,0.43,좋음,0.0031
2024-02-17:01,보통,32,좋음,15,좋음,0.0052,보통,0.0337,좋음,0.48,좋음,0.0027
2024-02-16:24,좋음,29,좋음,14,좋음,0.0042,보통,0.0405,좋음,0.48,좋음,0.0029
2024-02-16:23,좋음,22,좋음,12,좋음,0.0150,보통,0.0349,좋음,0.44,좋음,0.0035
2024-02-16:22,좋음,23,좋음,11,좋음,0.0232,좋음,0.0284,좋음,0.37,좋음,0.0036
2024-02-16:21,좋음,25,좋음,11,좋음,0.0293,좋음,0.0237,좋음,0.34,좋음,0.0036
2024-02-16:20,좋음,25,좋음,13,보통,0.0336,좋음,0.0215,좋음,0.32,좋음,0.0036
2024-02-16:19,좋음,25,좋음,13,보통,0.0329,좋음,0.0231,좋음,0.33,좋음,0.0033
2024-02-16:18,좋음,21,좋음,13,보통,0.0382,좋음,0.0193,좋음,0.31,좋음,0.0026
2024-02-16:17,좋음,18,좋음,8,보통,0.0468,좋음,0.0126,좋음,0.29,좋음,0.0026
2024-02-16:16,좋음,18,좋음,9,보통,0.0489,좋음,0.0101,좋음,0.27,좋음,0.0025
2024-02-16:15,좋음,14,좋음,5,보통,0.0481,좋음,0.0090,좋음,0.27,좋음,0.0026
2024-02-16:14,좋음,17,좋음,9,보통,0.0474,좋음,0.0081,좋음,0.26,좋음,0.0025
2024-02-16:13,좋음,17,좋음,10,보통,0.0446,좋음,0.0089,좋음,0.27,좋음,0.0025
2024-02-16:12,좋음,17,좋음,9,보통,0.0444,좋음,0.0082,좋음,0.27,좋음,0.0025
2024-02-16:11,좋음,12,좋음,6,보통,0.0411,좋음,0.0085,좋음,0.28,좋음,0.0026
2024-02-16:10,좋음,10,좋음,5,보통,0.0332,좋음,0.0154,좋음,0.31,좋음,0.0026
2024-02-16:09,좋음,8,좋음,0,좋음,0.0290,좋음,0.0194,좋음,0.34,좋음,0.0026
2024-02-16:08,좋음,7,좋음,1,좋음,0.0166,보통,0.0318,좋음,0.39,좋음,0.0025
2024-02-16:07,좋음,2,,,보통,0.0336,좋음,0.0139,좋음,0.33,좋음,0.0026
2024-02-16:06,좋음,6,좋음,5,보통,0.0372,좋음,0.0100,좋음,0.32,좋음,0.0026
2024-02-16:05,좋음,11,좋음,7,보통,0.0329,좋음,0.0106,좋음,0.31,좋음,0.0025
2024-02-16:04,좋음,11,좋음,9,보통,0.0311,좋음,0.0115,좋음,0.32,좋음,0.0025
2024-02-16:03,좋음,11,좋음,11,보통,0.0323,좋음,0.0109,좋음,0.33,좋음,0.0028
2024-02-16:02,좋음,14,좋음,10,보통,0.0328,좋음,0.0119,좋음,0.32,좋음,0.0024
2024-02-16:01,좋음,12,좋음,7,보통,0.0351,좋음,0.0120,좋음,0.34,좋음,0.0028
2024-02-15:24,좋음,8,좋음,5,보통,0.0370,좋음,0.0113,좋음,0.31,좋음,0.0026
2024-02-15:23,좋음,7,좋음,5,보통,0.0392,좋음,0.0121,좋음,0.33,좋음,0.0025
2024-02-15:22,좋음,4,,,보통,0.0398,좋음,0.0136,좋음,0.34,좋음,0.0026
2024-02-15:21,좋음,7,좋음,5,보통,0.0429,좋음,0.0134,좋음,0.32,좋음,0.0026
2024-02-15:20,좋음,7,좋음,6,보통,0.0416,좋음,0.0148,좋음,0.35,좋음,0.0027
2024-02-15:19,좋음,10,좋음,5,보통,0.0383,좋음,0.0169,좋음,0.39,좋음,0.0027
2024-02-15:18,좋음,12,좋음,10,보통,0.0308,좋음,0.0184,좋음,0.47,좋음,0.0027
2024-02-15:17,좋음,13,좋음,11,보통,0.0401,좋음,0.0154,좋음,0.41,좋음,0.0026
2024-02-15:16,좋음,13,좋음,9,보통,0.0428,좋음,0.0150,좋음,0.35,좋음,0.0028
2024-02-15:15,좋음,22,좋음,15,보통,0.0395,좋음,0.0183,좋음,0.37,좋음,0.0031
2024-02-15:14,좋음,21,좋음,14,보통,0.0417,좋음,0.0213,좋음,0.40,좋음,0.0037
2024-02-15:13,좋음,29,보통,17,좋음,0.0283,좋음,0.0290,좋음,0.43,좋음,0.0039
2024-02-15:12,보통,31,보통,18,좋음,0.0115,보통,0.0379,좋음,0.49,좋음,0.0033
2024-02-15:11,보통,31,보통,18,좋음,0.0070,보통,0.0380,좋음,0.54,좋음,0.0034
2024-02-15:10,보통,31,좋음,15,좋음,0.0045,보통,0.0393,좋음,0.70,좋음,0.0037
2024-02-15:09,좋음,20,좋음,14,좋음,0.0039,보통,0.0357,좋음,0.69,좋음,0.0034
2024-02-15:08,좋음,17,좋음,13,좋음,0.0030,보통,0.0316,좋음,0.59,좋음,0.0033
2024-02-15:07,좋음,19,좋음,13,좋음,0.0027,보통,0.0316,좋음,0.56,좋음,0.0031
2024-02-15:06,좋음,13,좋음,10,좋음,0.0026,보통,0.0305,좋음,0.50,좋음,0.0033
2024-02-15:05,좋음,13,좋음,9,좋음,0.0024,좋음,0.0290,좋음,0.43,좋음,0.0030
2024-02-15:04,좋음,14,좋음,9,좋음,0.0027,좋음,0.0286,좋음,0.48,좋음,0.0032
2024-02-15:03,좋음,17,좋음,12,좋음,0.0029,좋음,0.0300,좋음,0.52,좋음,0.0028
2024-02-15:02,좋음,21,좋음,13,좋음,0.0027,보통,0.0315,좋음,0.54,좋음,0.0031
2024-02-15:01,좋음,23,보통,16,좋음,0.0030,보통,0.0379,좋음,0.58,좋음,0.0029
2024-02-14:24,좋음,26,보통,17,좋음,0.0024,보통,0.0426,좋음,0.74,좋음,0.0032
2024-02-14:23,좋음,30,보통,17,좋음,0.0042,보통,0.0457,좋음,0.73,좋음,0.0030
2024-02-14:22,좋음,26,보통,17,좋음,0.0092,보통,0.0446,좋음,0.59,좋음,0.0029
2024-02-14:21,좋음,22,좋음,12,좋음,0.0274,좋음,0.0293,좋음,0.44,좋음,0.0028
2024-02-14:20,좋음,23,좋음,15,보통,0.0376,좋음,0.0191,좋음,0.35,좋음,0.0028
2024-02-14:19,좋음,15,좋음,14,보통,0.0322,좋음,0.0241,좋음,0.41,좋음,0.0030
2024-02-14:18,좋음,12,좋음,4,보통,0.0336,좋음,0.0188,좋음,0.31,좋음,0.0031
2024-02-14:17,,,,,,,,,,,,
2024-02-14:16,보통,33,보통,20,좋음,0.0303,좋음,0.0295,좋음,0.36,좋음,0.0039
2024-02-14:15,보통,52,나쁨,37,좋음,0.0115,보통,0.0440,좋음,0.53,좋음,0.0041
2024-02-14:14,보통,76,나쁨,47,좋음,0.0107,보통,0.0478,좋음,0.61,좋음,0.0048
2024-02-14:13,보통,71,나쁨,45,좋음,0.0068,보통,0.0488,좋음,0.71,좋음,0.0040
2024-02-14:12,보통,78,나쁨,47,좋음,0.0046,보통,0.0468,좋음,0.71,좋음,0.0035
2024-02-14:11,나쁨,86,나쁨,45,좋음,0.0043,보통,0.0463,좋음,0.72,좋음,0.0039
2024-02-14:10,보통,59,보통,32,좋음,0.0040,보통,0.0437,좋음,0.79,좋음,0.0040
2024-02-14:09,보통,50,보통,24,좋음,0.0029,보통,0.0439,좋음,0.86,좋음,0.0039
2024-02-14:08,보통,39,보통,19,좋음,0.0024,보통,0.0409,좋음,0.71,좋음,0.0034
2024-02-14:07,보통,36,보통,22,좋음,0.0030,보통,0.0374,좋음,0.54,좋음,0.0035
2024-02-14:06,보통,40,보통,23,좋음,0.0032,보통,0.0356,좋음,0.49,좋음,0.0033
2024-02-14:05,보통,38,보통,24,좋음,0.0101,좋음,0.0293,좋음,0.42,좋음,0.0034
2024-02-14:04,보통,33,보통,21,좋음,0.0032,보통,0.0384,좋음,0.46,좋음,0.0032
2024-02-14:03,보통,35,보통,23,좋음,0.0076,보통,0.0364,좋음,0.47,좋음,0.0031
2024-02-14:02,보통,40,보통,22,좋음,0.0070,보통,0.0398,좋음,0.51,좋음,0.0030
2024-02-14:01,보통,52,보통,28,좋음,0.0088,보통,0.0430,좋음,0.54,좋음,0.0032
2024-02-13:24,보통,42,보통,26,좋음,0.0233,보통,0.0326,좋음,0.51,좋음,0.0031
2024-02-13:23,보통,31,보통,19,보통,0.0481,좋음,0.0172,좋음,0.36,좋음,0.0027
2024-02-13:22,좋음,29,보통,17,보통,0.0492,좋음,0.0163,좋음,0.37,좋음,0.0025
2024-02-13:21,좋음,29,보통,16,보통,0.0485,좋음,0.0171,좋음,0.36,좋음,0.0029
2024-02-13:20,좋음,29,보통,17,보통,0.0475,좋음,0.0177,좋음,0.36,좋음,0.0031
2024-02-13:19,좋음,28,좋음,15,보통,0.0467,좋음,0.0188,좋음,0.34,좋음,0.0031
2024-02-13:18,좋음,27,좋음,12,보통,0.0514,좋음,0.0132,좋음,0.29,좋음,0.0026
2024-02-13:17,좋음,26,좋음,14,보통,0.0532,좋음,0.0128,좋음,0.30,좋음,0.0029
2024-02-13:16,좋음,27,좋음,12,보통,0.0539,좋음,0.0124,좋음,0.30,좋음,0.0030
2024-02-13:15,보통,32,좋음,11,보통,0.0527,좋음,0.0107,좋음,0.29,좋음,0.0028
2024-02-13:14,보통,49,보통,24,보통,0.0522,좋음,0.0101,좋음,0.29,좋음,0.0030
2024-02-13:13,나쁨,81,나쁨,47,보통,0.0433,좋음,0.0182,좋음,0.43,좋음,0.0035
2024-02-13:12,나쁨,95,나쁨,51,좋음,0.0229,보통,0.0362,좋음,0.63,좋음,0.0039
2024-02-13:11,나쁨,84,나쁨,42,좋음,0.0100,보통,0.0422,좋음,0.76,좋음,0.0039
2024-02-13:10,보통,62,보통,32,좋음,0.0073,보통,0.0368,좋음,0.74,좋음,0.0034
2024-02-13:09,보통,54,보통,30,좋음,0.0051,보통,0.0358,좋음,0.82,좋음,0.0032
2024-02-13:08,보통,52,보통,31,좋음,0.0043,보통,0.0306,좋음,0.65,좋음,0.0027
2024-02-13:07,보통,50,보통,30,좋음,0.0036,보통,0.0326,좋음,0.57,좋음,0.0027
2024-02-13:06,보통,45,보통,31,좋음,0.0043,보통,0.0308,좋음,0.56,좋음,0.0026
2024-02-13:05,보통,45,보통,30,좋음,0.0045,보통,0.0321,좋음,0.55,좋음,0.0025
2024-02-13:04,보통,39,보통,28,좋음,0.0065,보통,0.0311,좋음,0.54,좋음,0.0028
2024-02-13:03,보통,44,보통,31,좋음,0.0100,보통,0.0305,좋음,0.56,좋음,0.0028
2024-02-13:02,보통,45,보통,32,좋음,0.0092,보통,0.0315,좋음,0.59,좋음,0.0026
2024-02-13:01,보통,42,보통,27,좋음,0.0064,보통,0.0409,좋음,0.69,좋음,0.0027
2024-02-12:24,보통,41,보통,27,좋음,0.0184,보통,0.0355,좋음,0.57,좋음,0.0032
2024-02-12:23,보통,50,보통,31,좋음,0.0208,보통,0.0380,좋음,0.62,좋음,0.0040
2024-02-12:22,보통,48,보통,30,좋음,0.0187,보통,0.0413,좋음,0.63,좋음,0.0036
2024-02-12:21,보통,45,보통,29,보통,0.0350,보통,0.0321,좋음,0.58,좋음,0.0030
2024-02-12:20,보통,34,보통,23,보통,0.0325,좋음,0.0294,좋음,0.52,좋음,0.0032
2024-02-12:19,보통,34,보통,25,보통,0.0452,좋음,0.0170,좋음,0.44,좋음,0.0027
2024-02-12:18,보통,31,보통,23,보통,0.0468,좋음,0.0147,좋음,0.39,좋음,0.0028
2024-02-12:17,보통,34,보통,27,보통,0.0490,좋음,0.0130,좋음,0.40,좋음,0.0031
2024-02-12:16,보통,34,보통,25,보통,0.0522,좋음,0.0109,좋음,0.38,좋음,0.0031
2024-02-12:15,보통,47,나쁨,36,보통,0.0497,좋음,0.0123,좋음,0.41,좋음,0.0029
2024-02-12:14,보통,56,나쁨,44,보통,0.0472,좋음,0.0131,좋음,0.47,좋음,0.0028
2024-02-12:13,보통,60,나쁨,44,보통,0.0476,좋음,0.0110,좋음,0.49,좋음,0.0028
2024-02-12:12,보통,64,나쁨,47,보통,0.0458,좋음,0.0109,좋음,0.50,좋음,0.0024
2024-02-12:11,보통,60,나쁨,43,보통,0.0313,좋음,0.0168,좋음,0.54,좋음,0.0025
2024-02-12:10,보통,56,나쁨,37,좋음,0.0280,좋음,0.0171,좋음,0.52,좋음,0.0025
2024-02-12:09,보통,56,나쁨,37,좋음,0.0172,좋음,0.0235,좋음,0.56,좋음,0.0023
2024-02-12:08,보통,53,나쁨,37,좋음,0.0076,보통,0.0315,좋음,0.57,좋음,0.0020
2024-02-12:07,보통,54,나쁨,36,좋음,0.0130,좋음,0.0285,좋음,0.54,좋음,0.0021
2024-02-12:06,보통,53,나쁨,37,좋음,0.0172,좋음,0.0252,좋음,0.53,좋음,0.0022
2024-02-12:05,보통,50,보통,34,좋음,0.0185,좋음,0.0253,좋음,0.53,좋음,0.0021
2024-02-12:04,보통,49,나쁨,36,좋음,0.0272,좋음,0.0194,좋음,0.51,좋음,0.0024
2024-02-12:03,보통,51,나쁨,36,보통,0.0328,좋음,0.0171,좋음,0.51,좋음,0.0025
2024-02-12:02,보통,48,나쁨,36,보통,0.0405,좋음,0.0163,좋음,0.50,좋음,0.0024
2024-02-12:01,보통,47,보통,35,보통,0.0433,좋음,0.0157,좋음,0.51,좋음,0.0024
2024-02-11:24,보통,49,보통,32,보통,0.0430,좋음,0.0163,좋음,0.50,좋음,0.0027
2024-02-11:23,보통,46,보통,31,보통,0.0426,좋음,0.0169,좋음,0.51,좋음,0.0027
2024-02-11:22,보통,43,보통,32,보통,0.0443,좋음,0.0158,좋음,0.51,좋음,0.0025
2024-02-11:21,보통,45,보통,32,보통,0.0442,좋음,0.0155,좋음,0.53,좋음,0.0027
2024-02-11:20,보통,52,나쁨,37,보통,0.0458,좋음,0.0146,좋음,0.50,좋음,0.0028
2024-02-11:19,보통,62,나쁨,44,보통,0.0434,좋음,0.0198,좋음,0.59,좋음,0.0026
2024-02-11:18,보통,54,나쁨,41,보통,0.0500,좋음,0.0145,좋음,0.53,좋음,0.0028
2024-02-11:17,보통,59,나쁨,43,보통,0.0533,좋음,0.0120,좋음,0.50,좋음,0.0027
2024-02-11:16,보통,64,나쁨,49,보통,0.0555,좋음,0.0113,좋음,0.52,좋음,0.0029
2024-02-11:15,보통,68,나쁨,51,보통,0.0566,좋음,0.0105,좋음,0.55,좋음,0.0029
2024-02-11:14,보통,66,나쁨,49,보통,0.0559,좋음,0.0096,좋음,0.56,좋음,0.0031
2024-02-11:13,보통,66,나쁨,49,보통,0.0544,좋음,0.0091,좋음,0.57,좋음,0.0031
2024-02-11:12,보통,63,나쁨,46,보통,0.0534,좋음,0.0087,좋음,0.59,좋음,0.0034
2024-02-11:11,보통,57,나쁨,42,보통,0.0439,좋음,0.0107,좋음,0.59,좋음,0.0032
2024-02-11:10,보통,58,나쁨,44,좋음,0.0304,좋음,0.0177,좋음,0.69,좋음,0.0030
2024-02-11:09,보통,57,나쁨,41,좋음,0.0171,좋음,0.0255,좋음,0.71,좋음,0.0025
2024-02-11:08,보통,61,나쁨,47,좋음,0.0130,좋음,0.0270,좋음,0.70,좋음,0.0022
2024-02-11:07,보통,54,나쁨,39,좋음,0.0114,좋음,0.0266,좋음,0.68,좋음,0.0022
2024-02-11:06,보통,50,나쁨,41,좋음,0.0162,좋음,0.0229,좋음,0.62,좋음,0.0021
2024-02-11:05,보통,51,나쁨,37,좋음,0.0178,좋음,0.0210,좋음,0.62,좋음,0.0025
2024-02-11:04,보통,52,나쁨,40,좋음,0.0184,좋음,0.0243,좋음,0.64,좋음,0.0023
2024-02-11:03,보통,52,나쁨,38,좋음,0.0258,좋음,0.0206,좋음,0.62,좋음,0.0024
2024-02-11:02,보통,51,나쁨,40,좋음,0.0253,좋음,0.0226,좋음,0.66,좋음,0.0026
2024-02-11:01,보통,56,나쁨,40,좋음,0.0249,좋음,0.0280,좋음,0.72,좋음,0.0025
2024-02-10:24,보통,56,나쁨,38,좋음,0.0235,보통,0.0308,좋음,0.74,좋음,0.0027
2024-02-10:23,보통,59,나쁨,40,좋음,0.0177,보통,0.0403,좋음,0.73,좋음,0.0028
2024-02-10:22,보통,55,나쁨,41,보통,0.0331,좋음,0.0301,좋음,0.64,좋음,0.0029
2024-02-10:21,보통,59,나쁨,43,보통,0.0361,좋음,0.0293,좋음,0.69,좋음,0.0032
2024-02-10:20,보통,58,나쁨,44,보통,0.0405,좋음,0.0259,좋음,0.68,좋음,0.0031
2024-02-10:19,보통,48,나쁨,37,보통,0.0458,좋음,0.0211,좋음,0.61,좋음,0.0032
2024-02-10:18,보통,35,보통,27,보통,0.0548,좋음,0.0141,좋음,0.49,좋음,0.0035
2024-02-10:17,좋음,30,보통,24,보통,0.0566,좋음,0.0111,좋음,0.43,좋음,0.0033
2024-02-10:16,좋음,28,보통,21,보통,0.0575,좋음,0.0097,좋음,0.40,좋음,0.0034
2024-02-10:15,좋음,30,보통,23,보통,0.0566,좋음,0.0090,좋음,0.39,좋음,0.0030
2024-02-10:14,보통,35,보통,26,보통,0.0559,좋음,0.0088,좋음,0.39,좋음,0.0032
2024-02-10:13,좋음,27,보통,21,보통,0.0562,좋음,0.0086,좋음,0.41,좋음,0.0032
2024-02-10:12,좋음,25,보통,18,보통,0.0503,좋음,0.0081,좋음,0.36,좋음,0.0028
2024-02-10:11,좋음,27,보통,18,보통,0.0449,좋음,0.0095,좋음,0.39,좋음,0.0028
2024-02-10:10,좋음,21,좋음,11,보통,0.0348,좋음,0.0150,좋음,0.41,좋음,0.0028
2024-02-10:09,좋음,20,좋음,12,보통,0.0310,좋음,0.0128,좋음,0.38,좋음,0.0027
2024-02-10:08,좋음,22,좋음,14,좋음,0.0248,좋음,0.0198,좋음,0.40,좋음,0.0022
2024-02-10:07,좋음,22,좋음,15,좋음,0.0233,좋음,0.0221,좋음,0.40,좋음,0.0024
2024-02-10:06,좋음,18,좋음,12,좋음,0.0286,좋음,0.0188,좋음,0.37,좋음,0.0023
2024-02-10:05,좋음,17,좋음,14,보통,0.0354,좋음,0.0133,좋음,0.35,좋음,0.0024
2024-02-10:04,좋음,20,좋음,14,보통,0.0404,좋음,0.0115,좋음,0.35,좋음,0.0024
2024-02-10:03,좋음,19,좋음,13,보통,0.0407,좋음,0.0116,좋음,0.34,좋음,0.0024
2024-02-10:02,좋음,19,좋음,14,보통,0.0419,좋음,0.0114,좋음,0.34,좋음,0.0026
2024-02-10:01,좋음,19,좋음,14,보통,0.0396,좋음,0.0133,좋음,0.34,좋음,0.0023
2024-02-09:24,좋음,19,좋음,15,보통,0.0396,좋음,0.0144,좋음,0.37,좋음,0.0024
2024-02-09:23,좋음,24,보통,17,좋음,0.0293,좋음,0.0251,좋음,0.44,좋음,0.0027
2024-02-09:22,좋음,22,보통,16,좋음,0.0298,좋음,0.0256,좋음,0.44,좋음,0.0027
2024-02-09:21,보통,31,보통,26,보통,0.0325,좋음,0.0244,좋음,0.51,좋음,0.0029
2024-02-09:20,보통,44,나쁨,37,보통,0.0340,좋음,0.0237,좋음,0.58,좋음,0.0029
2024-02-09:19,보통,35,보통,26,좋음,0.0217,보통,0.0383,좋음,0.69,좋음,0.0028
2024-02-09:18,좋음,23,보통,21,보통,0.0469,좋음,0.0169,좋음,0.41,좋음,0.0030
2024-02-09:17,좋음,23,보통,20,보통,0.0526,좋음,0.0128,좋음,0.39,좋음,0.0028
2024-02-09:16,보통,31,보통,25,보통,0.0552,좋음,0.0127,좋음,0.38,좋음,0.0028
2024-02-09:15,보통,41,보통,32,보통,0.0562,좋음,0.0123,좋음,0.44,좋음,0.0031
2024-02-09:14,보통,46,보통,35,보통,0.0499,좋음,0.0130,좋음,0.48,좋음,0.0031
2024-02-09:13,보통,47,나쁨,38,보통,0.0434,좋음,0.0132,좋음,0.49,좋음,0.0030
2024-02-09:12,보통,45,보통,35,보통,0.0384,좋음,0.0125,좋음,0.49,좋음,0.0030
2024-02-09:11,보통,50,보통,35,보통,0.0316,좋음,0.0146,좋음,0.50,좋음,0.0031
2024-02-09:10,보통,50,나쁨,36,좋음,0.0196,좋음,0.0179,좋음,0.52,좋음,0.0030
2024-02-09:09,보통,46,보통,33,좋음,0.0109,좋음,0.0240,좋음,0.54,좋음,0.0030
2024-02-09:08,보통,41,보통,30,좋음,0.0125,좋음,0.0210,좋음,0.49,좋음,0.0027
2024-02-09:07,보통,37,보통,28,좋음,0.0166,좋음,0.0180,좋음,0.47,좋음,0.0029
2024-02-09:06,보통,34,보통,27,좋음,0.0133,좋음,0.0207,좋음,0.50,좋음,0.0026
2024-02-09:05,보통,36,보통,27,좋음,0.0136,좋음,0.0204,좋음,0.48,좋음,0.0025
2024-02-09:04,보통,39,보통,28,좋음,0.0166,좋음,0.0173,좋음,0.46,좋음,0.0029
2024-02-09:03,보통,34,보통,25,좋음,0.0101,좋음,0.0263,좋음,0.53,좋음,0.0032
2024-02-09:02,보통,36,보통,25,좋음,0.0066,좋음,0.0304,좋음,0.55,좋음,0.0031
2024-02-09:01,보통,45,보통,32,좋음,0.0035,보통,0.0391,좋음,0.61,좋음,0.0028
2024-02-08:24,보통,46,보통,26,좋음,0.0040,보통,0.0421,좋음,0.61,좋음,0.0034
2024-02-08:23,보통,45,보통,27,좋음,0.0035,보통,0.0451,좋음,0.69,좋음,0.0035
2024-02-08:22,보통,49,보통,31,좋음,0.0038,보통,0.0485,좋음,0.69,좋음,0.0038
2024-02-08:21,보통,58,나쁨,36,좋음,0.0052,보통,0.0485,좋음,0.77,좋음,0.0033
2024-02-08:20,보통,43,보통,25,좋음,0.0066,보통,0.0531,좋음,0.71,좋음,0.0044
2024-02-08:19,보통,33,보통,22,좋음,0.0194,보통,0.0411,좋음,0.58,좋음,0.0032
2024-02-08:18,좋음,29,보통,24,보통,0.0427,좋음,0.0219,좋음,0.46,좋음,0.0027
2024-02-08:17,좋음,25,보통,20,보통,0.0500,좋음,0.0154,좋음,0.42,좋음,0.0029
