tm,pm10,pm25,o3,no2,co,so2
2024-06-26:21,18,13,0.0717,0.0057,0.26,0.0032
2024-06-26:20,23,13,0.0777,0.0052,0.25,0.0030
2024-06-26:19,20,11,0.0787,0.0050,0.26,0.0029
2024-06-26:18,19,11,0.0745,0.0050,0.26,0.0028
2024-06-26:17,16,7,0.0634,0.0049,0.22,0.0027
2024-06-26:16,13,9,0.0639,0.0048,0.21,0.0028
2024-06-26:15,10,8,0.0611,0.0057,0.19,0.0027
2024-06-26:14,12,6,0.0590,0.0045,0.18,0.0027
2024-06-26:13,16,9,0.0575,0.0042,0.19,0.0027
2024-06-26:12,17,7,0.0555,0.0044,0.19,0.0028
2024-06-26:11,17,8,0.0544,0.0054,0.22,0.0029
2024-06-26:10,23,14,0.0510,0.0071,0.23,0.0029
2024-06-26:09,20,12,0.0427,0.0072,0.27,0.0029
2024-06-26:08,20,12,0.0300,0.0072,0.29,0.0028
2024-06-26:07,20,13,0.0249,0.0053,0.28,0.0027
2024-06-26:06,13,10,0.0256,0.0048,0.27,0.0028
2024-06-26:05,14,10,0.0271,0.0048,0.28,0.0027
2024-06-26:04,18,8,0.0269,0.0049,0.29,0.0027
2024-06-26:03,19,7,0.0330,0.0048,0.30,0.0030
2024-06-26:02,19,14,0.0345,0.0052,0.33,0.0029
2024-06-26:01,20,18,0.0365,0.0056,0.37,0.0029
2024-06-25:24,27,12,0.0376,0.0066,0.38,0.0032
2024-06-25:23,25,12,0.0377,0.0074,0.41,0.0033
2024-06-25:22,27,11,0.0413,0.0077,0.41,0.0037
2024-06-25:21,21,12,0.0455,0.0056,0.38,0.0039
2024-06-25:20,22,9,0.0510,0.0045,0.28,0.0033
2024-06-25:19,19,9,0.0570,0.0039,0.24,0.0029
2024-06-25:18,9,7,0.0590,0.0037,0.21,0.0028
2024-06-25:17,10,6,0.0564,0.0038,0.20,0.0027
2024-06-25:16,12,7,0.0551,0.0039,0.18,0.0027
2024-06-25:15,9,6,0.0557,0.0046,0.17,0.0028
2024-06-25:14,15,10,0.0557,0.0047,0.20,0.0028
2024-06-25:13,22,13,0.0537,0.0053,0.21,0.0028
2024-06-25:12,20,11,0.0520,0.0050,0.21,0.0027
